time,some 10,some 60,some 300
2023-01-08 18:13:42,0.16,0.67,0.32
2023-01-08 18:13:41,0.2,0.7,0.32
2023-01-08 18:13:40,0.2,0.7,0.32
2023-01-08 18:13:39,0.25,0.72,0.32
2023-01-08 18:13:38,0.25,0.72,0.32
2023-01-08 18:13:37,0.31,0.74,0.32
2023-01-08 18:13:36,0.31,0.74,0.32
2023-01-08 18:13:35,0.37,0.77,0.33
2023-01-08 18:13:34,0.37,0.77,0.33
2023-01-08 18:13:33,0.46,0.8,0.33
2023-01-08 18:13:32,0.46,0.8,0.33
2023-01-08 18:13:31,0.56,0.82,0.33
2023-01-08 18:13:30,0.56,0.82,0.33
2023-01-08 18:13:29,0.69,0.85,0.33
2023-01-08 18:13:28,0.69,0.85,0.33
2023-01-08 18:13:27,0.84,0.88,0.34
2023-01-08 18:13:26,0.84,0.88,0.34
2023-01-08 18:13:25,1.03,0.91,0.34
2023-01-08 18:13:24,1.03,0.91,0.34
2023-01-08 18:13:23,1.26,0.94,0.34
2023-01-08 18:13:22,1.26,0.94,0.34
2023-01-08 18:13:21,1.54,0.97,0.34
2023-01-08 18:13:20,1.54,0.97,0.34
2023-01-08 18:13:19,1.88,1.01,0.35
2023-01-08 18:13:18,1.88,1.01,0.35
2023-01-08 18:13:17,2.29,1.04,0.35
2023-01-08 18:13:16,2.29,1.04,0.35
2023-01-08 18:13:15,2.14,0.98,0.33
2023-01-08 18:13:14,2.14,0.98,0.33
2023-01-08 18:13:13,2.62,1.01,0.33
2023-01-08 18:13:12,2.62,1.01,0.33
2023-01-08 18:13:11,1.65,0.81,0.28
2023-01-08 18:13:10,1.65,0.81,0.28
2023-01-08 18:13:09,2.02,0.84,0.28
2023-01-08 18:13:08,2.02,0.84,0.28
2023-01-08 18:13:07,1.58,0.73,0.26
2023-01-08 18:13:06,1.58,0.73,0.26
2023-01-08 18:13:05,1.93,0.75,0.27
2023-01-08 18:13:04,1.93,0.75,0.27
2023-01-08 18:13:03,1.48,0.64,0.24
2023-01-08 18:13:02,1.48,0.64,0.24
2023-01-08 18:13:01,1.81,0.67,0.24
2023-01-08 18:13:00,1.81,0.67,0.24
2023-01-08 18:12:59,1.54,0.59,0.22
2023-01-08 18:12:58,1.54,0.59,0.22
2023-01-08 18:12:57,1.88,0.61,0.22
2023-01-08 18:12:56,1.88,0.61,0.22
2023-01-08 18:12:55,1.2,0.46,0.19
2023-01-08 18:12:54,1.2,0.46,0.19
2023-01-08 18:12:53,1.46,0.47,0.19
2023-01-08 18:12:52,1.46,0.47,0.19
2023-01-08 18:12:51,1.56,0.46,0.19
2023-01-08 18:12:50,1.56,0.46,0.19
2023-01-08 18:12:49,1.47,0.4,0.17
2023-01-08 18:12:48,1.47,0.4,0.17
2023-01-08 18:12:47,1.12,0.32,0.15
2023-01-08 18:12:46,1.12,0.32,0.15
2023-01-08 18:12:45,1.38,0.33,0.16
2023-01-08 18:12:44,1.38,0.33,0.16
2023-01-08 18:12:43,0.8,0.2,0.13
2023-01-08 18:12:42,0.8,0.2,0.13
2023-01-08 18:12:41,0.98,0.21,0.13
2023-01-08 18:12:40,0.98,0.21,0.13
2023-01-08 18:12:39,0.54,0.12,0.11
2023-01-08 18:12:38,0.54,0.12,0.11
2023-01-08 18:12:37,0,0.02,0.09
2023-01-08 18:12:36,0,0.02,0.09
2023-01-08 18:12:35,0,0.02,0.09
2023-01-08 18:12:34,0,0.02,0.09
2023-01-08 18:12:33,0,0.02,0.09
2023-01-08 18:12:32,0,0.02,0.09
2023-01-08 18:12:31,0,0.02,0.09
2023-01-08 18:12:30,0,0.02,0.09
2023-01-08 18:12:29,0,0.02,0.09
2023-01-08 18:12:28,0,0.02,0.09
2023-01-08 18:12:27,0,0.02,0.09
2023-01-08 18:12:26,0,0.02,0.09
2023-01-08 18:12:25,0,0.02,0.1
2023-01-08 18:12:24,0,0.02,0.1
2023-01-08 18:12:23,0,0.02,0.1
2023-01-08 18:12:22,0,0.02,0.1
2023-01-08 18:12:21,0,0.03,0.1
2023-01-08 18:12:20,0,0.03,0.1
2023-01-08 18:12:19,0,0.03,0.1
2023-01-08 18:12:18,0,0.03,0.1
2023-01-08 18:12:17,0,0.03,0.1
2023-01-08 18:12:16,0,0.03,0.1
2023-01-08 18:12:15,0,0.03,0.1
2023-01-08 18:12:14,0,0.03,0.1
2023-01-08 18:12:13,0,0.03,0.1
2023-01-08 18:12:12,0,0.03,0.1
2023-01-08 18:12:11,0,0.03,0.1
2023-01-08 18:12:10,0,0.03,0.1
2023-01-08 18:12:09,0,0.03,0.1
2023-01-08 18:12:08,0,0.03,0.1
2023-01-08 18:12:07,0,0.04,0.1
2023-01-08 18:12:06,0,0.04,0.1
2023-01-08 18:12:05,0,0.04,0.11
2023-01-08 18:12:04,0,0.04,0.11
2023-01-08 18:12:03,0,0.04,0.11
2023-01-08 18:12:02,0,0.04,0.11
2023-01-08 18:12:01,0,0.04,0.11
2023-01-08 18:12:00,0,0.04,0.11
2023-01-08 18:11:59,0,0.04,0.11
2023-01-08 18:11:58,0,0.04,0.11
2023-01-08 18:11:57,0,0.04,0.11
2023-01-08 18:11:56,0,0.04,0.11
2023-01-08 18:11:55,0,0.05,0.11
2023-01-08 18:11:54,0,0.05,0.11
2023-01-08 18:11:53,0,0.05,0.11
2023-01-08 18:11:52,0,0.05,0.11
2023-01-08 18:11:51,0,0.05,0.11
2023-01-08 18:11:50,0,0.05,0.11
2023-01-08 18:11:49,0,0.05,0.11
2023-01-08 18:11:48,0,0.05,0.11
2023-01-08 18:11:47,0,0.05,0.11
2023-01-08 18:11:46,0,0.05,0.11
2023-01-08 18:11:45,0,0.06,0.12
2023-01-08 18:11:44,0,0.06,0.12
2023-01-08 18:11:43,0,0.06,0.12
