time,read,write
2023-01-08 18:13:42,0,0
2023-01-08 18:13:41,0,0
2023-01-08 18:13:40,0,0
2023-01-08 18:13:39,0,0
2023-01-08 18:13:38,0,0
2023-01-08 18:13:37,0,0
2023-01-08 18:13:36,0,0
2023-01-08 18:13:35,0,0
2023-01-08 18:13:34,0,0
2023-01-08 18:13:33,0,0
2023-01-08 18:13:32,0,0
2023-01-08 18:13:31,0,0
2023-01-08 18:13:30,0,0
2023-01-08 18:13:29,0,0
2023-01-08 18:13:28,0,0
2023-01-08 18:13:27,0,0
2023-01-08 18:13:26,0,0
2023-01-08 18:13:25,0,0
2023-01-08 18:13:24,0,0
2023-01-08 18:13:23,0,0
2023-01-08 18:13:22,0,0
2023-01-08 18:13:21,0,0
2023-01-08 18:13:20,0,0
2023-01-08 18:13:19,0,0
2023-01-08 18:13:18,0,0
2023-01-08 18:13:17,0,0
2023-01-08 18:13:16,674.2678,-1.1997648
2023-01-08 18:13:15,1573.7322,-2.800235
2023-01-08 18:13:14,0,0
2023-01-08 18:13:13,792.9633,-1.199642
2023-01-08 18:13:12,1851.037,-2.800358
2023-01-08 18:13:11,0,0
2023-01-08 18:13:10,0,0
2023-01-08 18:13:09,216.104,-1.200578
2023-01-08 18:13:08,503.896,-2.799422
2023-01-08 18:13:07,0,0
2023-01-08 18:13:06,0,0
2023-01-08 18:13:05,0,-1.1996144
2023-01-08 18:13:04,4.800611,-2.800386
2023-01-08 18:13:03,11.199389,0
2023-01-08 18:13:02,0,0
2023-01-08 18:13:01,0,0
2023-01-08 18:13:00,1068.3015,-1.2003388
2023-01-08 18:12:59,2491.698,-2.799661
2023-01-08 18:12:58,0,0
2023-01-08 18:12:57,0,0
2023-01-08 18:12:56,0,-1.2004699
2023-01-08 18:12:55,0,-2.79953
2023-01-08 18:12:54,0,0
2023-01-08 18:12:53,0,0
2023-01-08 18:12:52,0,-1.2002164
2023-01-08 18:12:51,0,-2.799784
2023-01-08 18:12:50,0,0
2023-01-08 18:12:49,0,0
2023-01-08 18:12:48,0,-1.20015
2023-01-08 18:12:47,0,-2.79985
2023-01-08 18:12:46,0,0
2023-01-08 18:12:45,0,0
2023-01-08 18:12:44,0,-1.2024366
2023-01-08 18:12:43,0,-2.797563
2023-01-08 18:12:42,0,0
2023-01-08 18:12:41,0,-1.1997632
2023-01-08 18:12:40,0,-2.800237
2023-01-08 18:12:39,0,0
2023-01-08 18:12:38,0,-1.1998384
2023-01-08 18:12:37,0,-2.800162
2023-01-08 18:12:36,0,0
2023-01-08 18:12:35,0,0
2023-01-08 18:12:34,0,0
2023-01-08 18:12:33,0,0
2023-01-08 18:12:32,0,0
2023-01-08 18:12:31,0,0
2023-01-08 18:12:30,0,0
2023-01-08 18:12:29,0,0
2023-01-08 18:12:28,0,0
2023-01-08 18:12:27,0,0
2023-01-08 18:12:26,0,0
2023-01-08 18:12:25,0,0
2023-01-08 18:12:24,0,0
2023-01-08 18:12:23,0,0
2023-01-08 18:12:22,0,0
2023-01-08 18:12:21,0,0
2023-01-08 18:12:20,0,0
2023-01-08 18:12:19,0,0
2023-01-08 18:12:18,0,0
2023-01-08 18:12:17,0,0
2023-01-08 18:12:16,0,0
2023-01-08 18:12:15,0,0
2023-01-08 18:12:14,0,0
2023-01-08 18:12:13,0,0
2023-01-08 18:12:12,0,0
2023-01-08 18:12:11,0,0
2023-01-08 18:12:10,0,0
2023-01-08 18:12:09,0,0
2023-01-08 18:12:08,0,0
2023-01-08 18:12:07,0,0
2023-01-08 18:12:06,0,0
2023-01-08 18:12:05,0,0
2023-01-08 18:12:04,0,0
2023-01-08 18:12:03,0,0
2023-01-08 18:12:02,0,0
2023-01-08 18:12:01,0,0
2023-01-08 18:12:00,0,0
2023-01-08 18:11:59,0,0
2023-01-08 18:11:58,0,0
2023-01-08 18:11:57,0,0
2023-01-08 18:11:56,0,0
2023-01-08 18:11:55,0,0
2023-01-08 18:11:54,0,0
2023-01-08 18:11:53,0,0
2023-01-08 18:11:52,0,0
2023-01-08 18:11:51,0,0
2023-01-08 18:11:50,0,0
2023-01-08 18:11:49,0,0
2023-01-08 18:11:48,0,0
2023-01-08 18:11:47,0,0
2023-01-08 18:11:46,0,0
2023-01-08 18:11:45,0,0
2023-01-08 18:11:44,0,0
2023-01-08 18:11:43,0,0
