time,read,write
2023-01-08 18:13:42,0,0
2023-01-08 18:13:41,0,0
2023-01-08 18:13:40,0,0
2023-01-08 18:13:39,0,0
2023-01-08 18:13:38,0,0
2023-01-08 18:13:37,0,0
2023-01-08 18:13:36,0,0
2023-01-08 18:13:35,0,0
2023-01-08 18:13:34,0,0
2023-01-08 18:13:33,0,0
2023-01-08 18:13:32,0,0
2023-01-08 18:13:31,0,0
2023-01-08 18:13:30,0,0
2023-01-08 18:13:29,0,0
2023-01-08 18:13:28,0,0
2023-01-08 18:13:27,0,0
2023-01-08 18:13:26,0,0
2023-01-08 18:13:25,0,0
2023-01-08 18:13:24,0,0
2023-01-08 18:13:23,0,0
2023-01-08 18:13:22,0,0
2023-01-08 18:13:21,0,0
2023-01-08 18:13:20,0,0
2023-01-08 18:13:19,0,0
2023-01-08 18:13:18,0,0
2023-01-08 18:13:17,0,0
2023-01-08 18:13:16,29.3945,-0.2999439
2023-01-08 18:13:15,68.6055,-0.7000561
2023-01-08 18:13:14,0,0
2023-01-08 18:13:13,36.29104,-0.299926
2023-01-08 18:13:12,84.70896,-0.700074
2023-01-08 18:13:11,0,0
2023-01-08 18:13:10,0,0
2023-01-08 18:13:09,4.80236,-0.3001475
2023-01-08 18:13:08,11.19764,-0.6998525
2023-01-08 18:13:07,0,0
2023-01-08 18:13:06,0,0
2023-01-08 18:13:05,0,-0.2999056
2023-01-08 18:13:04,0.9001215,-0.7000944
2023-01-08 18:13:03,2.099878,0
2023-01-08 18:13:02,0,0
2023-01-08 18:13:01,0,0
2023-01-08 18:13:00,23.70685,-0.3000867
2023-01-08 18:12:59,55.29315,-0.6999133
2023-01-08 18:12:58,0,0
2023-01-08 18:12:57,0,0
2023-01-08 18:12:56,0,-0.3001202
2023-01-08 18:12:55,0,-0.6998798
2023-01-08 18:12:54,0,0
2023-01-08 18:12:53,0,0
2023-01-08 18:12:52,0,-0.3000561
2023-01-08 18:12:51,0,-0.6999439
2023-01-08 18:12:50,0,0
2023-01-08 18:12:49,0,0
2023-01-08 18:12:48,0,-0.3000395
2023-01-08 18:12:47,0,-0.6999605
2023-01-08 18:12:46,0,0
2023-01-08 18:12:45,0,0
2023-01-08 18:12:44,0,-0.3006111
2023-01-08 18:12:43,0,-0.6993889
2023-01-08 18:12:42,0,0
2023-01-08 18:12:41,0,-0.2999428
2023-01-08 18:12:40,0,-0.7000572
2023-01-08 18:12:39,0,0
2023-01-08 18:12:38,0,-0.2999616
2023-01-08 18:12:37,0,-0.7000384
2023-01-08 18:12:36,0,0
2023-01-08 18:12:35,0,0
2023-01-08 18:12:34,0,0
2023-01-08 18:12:33,0,0
2023-01-08 18:12:32,0,0
2023-01-08 18:12:31,0,0
2023-01-08 18:12:30,0,0
2023-01-08 18:12:29,0,0
2023-01-08 18:12:28,0,0
2023-01-08 18:12:27,0,0
2023-01-08 18:12:26,0,0
2023-01-08 18:12:25,0,0
2023-01-08 18:12:24,0,0
2023-01-08 18:12:23,0,0
2023-01-08 18:12:22,0,0
2023-01-08 18:12:21,0,0
2023-01-08 18:12:20,0,0
2023-01-08 18:12:19,0,0
2023-01-08 18:12:18,0,0
2023-01-08 18:12:17,0,0
2023-01-08 18:12:16,0,0
2023-01-08 18:12:15,0,0
2023-01-08 18:12:14,0,0
2023-01-08 18:12:13,0,0
2023-01-08 18:12:12,0,0
2023-01-08 18:12:11,0,0
2023-01-08 18:12:10,0,0
2023-01-08 18:12:09,0,0
2023-01-08 18:12:08,0,0
2023-01-08 18:12:07,0,0
2023-01-08 18:12:06,0,0
2023-01-08 18:12:05,0,0
2023-01-08 18:12:04,0,0
2023-01-08 18:12:03,0,0
2023-01-08 18:12:02,0,0
2023-01-08 18:12:01,0,0
2023-01-08 18:12:00,0,0
2023-01-08 18:11:59,0,0
2023-01-08 18:11:58,0,0
2023-01-08 18:11:57,0,0
2023-01-08 18:11:56,0,0
2023-01-08 18:11:55,0,0
2023-01-08 18:11:54,0,0
2023-01-08 18:11:53,0,0
2023-01-08 18:11:52,0,0
2023-01-08 18:11:51,0,0
2023-01-08 18:11:50,0,0
2023-01-08 18:11:49,0,0
2023-01-08 18:11:48,0,0
2023-01-08 18:11:47,0,0
2023-01-08 18:11:46,0,0
2023-01-08 18:11:45,0,0
2023-01-08 18:11:44,0,0
2023-01-08 18:11:43,0,0
