time,some 10,some 60,some 300
2023-01-08 18:47:38,0.56,0.85,0.5
2023-01-08 18:47:37,0.56,0.85,0.5
2023-01-08 18:47:36,0.69,0.87,0.5
2023-01-08 18:47:35,0.69,0.87,0.5
2023-01-08 18:47:34,0.84,0.9,0.51
2023-01-08 18:47:33,0.84,0.9,0.51
2023-01-08 18:47:32,1.03,0.93,0.51
2023-01-08 18:47:31,1.03,0.93,0.51
2023-01-08 18:47:30,1.25,0.97,0.52
2023-01-08 18:47:29,1.25,0.97,0.52
2023-01-08 18:47:28,1.53,1,0.52
2023-01-08 18:47:27,1.53,1,0.52
2023-01-08 18:47:26,1.87,1.03,0.52
2023-01-08 18:47:25,1.87,1.03,0.52
2023-01-08 18:47:24,1.4,0.93,0.5
2023-01-08 18:47:23,1.4,0.93,0.5
2023-01-08 18:47:22,1.49,0.93,0.5
2023-01-08 18:47:21,1.49,0.93,0.5
2023-01-08 18:47:20,1.83,0.96,0.5
2023-01-08 18:47:19,1.83,0.96,0.5
2023-01-08 18:47:18,1.35,0.86,0.48
2023-01-08 18:47:17,1.35,0.86,0.48
2023-01-08 18:47:16,1.64,0.89,0.48
2023-01-08 18:47:15,1.64,0.89,0.48
2023-01-08 18:47:14,1.57,0.85,0.47
2023-01-08 18:47:13,1.57,0.85,0.47
2023-01-08 18:47:12,1.69,0.85,0.46
2023-01-08 18:47:11,1.69,0.85,0.46
2023-01-08 18:47:10,1.18,0.74,0.44
2023-01-08 18:47:09,1.18,0.74,0.44
2023-01-08 18:47:08,1,0.7,0.43
2023-01-08 18:47:07,1,0.7,0.43
2023-01-08 18:47:06,1.23,0.72,0.43
2023-01-08 18:47:05,1.23,0.72,0.43
2023-01-08 18:47:04,1.5,0.75,0.44
2023-01-08 18:47:03,1.5,0.75,0.44
2023-01-08 18:47:02,0.95,0.64,0.41
2023-01-08 18:47:01,0.95,0.64,0.41
2023-01-08 18:47:00,1.15,0.66,0.41
2023-01-08 18:46:59,1.15,0.66,0.41
2023-01-08 18:46:58,1.42,0.68,0.42
2023-01-08 18:46:57,1.42,0.68,0.42
2023-01-08 18:46:56,1.74,0.7,0.42
2023-01-08 18:46:55,1.74,0.7,0.42
2023-01-08 18:46:54,1.24,0.59,0.4
2023-01-08 18:46:53,1.24,0.59,0.4
2023-01-08 18:46:52,1.29,0.57,0.39
2023-01-08 18:46:51,1.29,0.57,0.39
2023-01-08 18:46:50,1.58,0.6,0.39
2023-01-08 18:46:49,1.58,0.6,0.39
2023-01-08 18:46:48,1.04,0.48,0.37
2023-01-08 18:46:47,1.04,0.48,0.37
2023-01-08 18:46:46,1.05,0.47,0.36
2023-01-08 18:46:45,1.05,0.47,0.36
2023-01-08 18:46:44,1.28,0.48,0.37
2023-01-08 18:46:43,1.28,0.48,0.37
2023-01-08 18:46:42,0.9,0.4,0.35
2023-01-08 18:46:41,0.9,0.4,0.35
2023-01-08 18:46:40,1.11,0.41,0.35
2023-01-08 18:46:39,1.11,0.41,0.35
2023-01-08 18:46:38,1.12,0.39,0.35
2023-01-08 18:46:37,1.12,0.39,0.35
2023-01-08 18:46:36,1.38,0.4,0.35
2023-01-08 18:46:35,1.38,0.4,0.35
2023-01-08 18:46:34,1.02,0.32,0.33
2023-01-08 18:46:33,1.02,0.32,0.33
2023-01-08 18:46:32,1.03,0.28,0.33
2023-01-08 18:46:31,1.03,0.28,0.33
2023-01-08 18:46:30,1.26,0.3,0.33
2023-01-08 18:46:29,1.26,0.3,0.33
2023-01-08 18:46:28,0.88,0.21,0.31
2023-01-08 18:46:27,0.88,0.21,0.31
2023-01-08 18:46:26,1.07,0.22,0.31
2023-01-08 18:46:25,1.07,0.22,0.31
2023-01-08 18:46:24,0.87,0.16,0.3
2023-01-08 18:46:23,0.87,0.16,0.3
2023-01-08 18:46:22,0.18,0.03,0.27
2023-01-08 18:46:21,0.18,0.03,0.27
2023-01-08 18:46:20,0,0,0.27
2023-01-08 18:46:19,0,0,0.27
2023-01-08 18:46:18,0,0,0.27
2023-01-08 18:46:17,0,0,0.27
2023-01-08 18:46:16,0,0,0.27
2023-01-08 18:46:15,0,0,0.27
2023-01-08 18:46:14,0,0,0.27
2023-01-08 18:46:13,0,0,0.27
2023-01-08 18:46:12,0,0,0.28
2023-01-08 18:46:11,0,0,0.28
2023-01-08 18:46:10,0,0,0.28
2023-01-08 18:46:09,0,0,0.28
2023-01-08 18:46:08,0,0,0.28
2023-01-08 18:46:07,0,0,0.28
2023-01-08 18:46:06,0,0,0.28
2023-01-08 18:46:05,0,0,0.28
2023-01-08 18:46:04,0,0,0.28
2023-01-08 18:46:03,0,0,0.28
2023-01-08 18:46:02,0,0,0.28
2023-01-08 18:46:01,0,0,0.28
2023-01-08 18:46:00,0,0,0.28
2023-01-08 18:45:59,0,0,0.28
2023-01-08 18:45:58,0,0,0.28
2023-01-08 18:45:57,0,0,0.28
2023-01-08 18:45:56,0,0,0.3
2023-01-08 18:45:55,0,0,0.3
2023-01-08 18:45:54,0,0,0.3
2023-01-08 18:45:53,0,0,0.3
2023-01-08 18:45:52,0,0,0.3
2023-01-08 18:45:51,0,0,0.3
2023-01-08 18:45:50,0,0,0.3
2023-01-08 18:45:49,0,0,0.3
2023-01-08 18:45:48,0,0,0.31
2023-01-08 18:45:47,0,0,0.31
2023-01-08 18:45:46,0,0,0.31
2023-01-08 18:45:45,0,0,0.31
2023-01-08 18:45:44,0,0,0.31
2023-01-08 18:45:43,0,0,0.31
2023-01-08 18:45:42,0,0,0.31
2023-01-08 18:45:41,0,0,0.31
2023-01-08 18:45:40,0,0,0.32
2023-01-08 18:45:39,0,0,0.32
