time,read,write
2023-01-08 18:47:38,0,0
2023-01-08 18:47:37,0,0
2023-01-08 18:47:36,0,0
2023-01-08 18:47:35,0,0
2023-01-08 18:47:34,0,0
2023-01-08 18:47:33,0,0
2023-01-08 18:47:32,0,0
2023-01-08 18:47:31,0,0
2023-01-08 18:47:30,0,0
2023-01-08 18:47:29,0,0
2023-01-08 18:47:28,0,0
2023-01-08 18:47:27,0,0
2023-01-08 18:47:26,0,-0.3001113
2023-01-08 18:47:25,0,-0.6998887
2023-01-08 18:47:24,0,0
2023-01-08 18:47:23,0,0
2023-01-08 18:47:22,0,0
2023-01-08 18:47:21,0,0
2023-01-08 18:47:20,0,0
2023-01-08 18:47:19,0,-0.3000983
2023-01-08 18:47:18,0,-0.6999017
2023-01-08 18:47:17,0,0
2023-01-08 18:47:16,0,0
2023-01-08 18:47:15,0,0
2023-01-08 18:47:14,0,0
2023-01-08 18:47:13,0,-0.2999755
2023-01-08 18:47:12,0,-0.7000245
2023-01-08 18:47:11,0,0
2023-01-08 18:47:10,0,0
2023-01-08 18:47:09,0,0
2023-01-08 18:47:08,0,0
2023-01-08 18:47:07,0,0
2023-01-08 18:47:06,0,0
2023-01-08 18:47:05,0,0
2023-01-08 18:47:04,0,-0.299925
2023-01-08 18:47:03,0,-0.700075
2023-01-08 18:47:02,0,0
2023-01-08 18:47:01,0,0
2023-01-08 18:47:00,0,0
2023-01-08 18:46:59,0,0
2023-01-08 18:46:58,0,0
2023-01-08 18:46:57,0,0
2023-01-08 18:46:56,0,-0.3000461
2023-01-08 18:46:55,0,-0.6999539
2023-01-08 18:46:54,0,0
2023-01-08 18:46:53,0,0
2023-01-08 18:46:52,0,0
2023-01-08 18:46:51,0,0
2023-01-08 18:46:50,0,-0.3001059
2023-01-08 18:46:49,0,-0.6998941
2023-01-08 18:46:48,0,0
2023-01-08 18:46:47,0,0
2023-01-08 18:46:46,0,0
2023-01-08 18:46:45,0,0
2023-01-08 18:46:44,0,0
2023-01-08 18:46:43,0,-0.2999523
2023-01-08 18:46:42,0,-0.7000477
2023-01-08 18:46:41,0,0
2023-01-08 18:46:40,0,0
2023-01-08 18:46:39,0,0
2023-01-08 18:46:38,0,0
2023-01-08 18:46:37,0,0
2023-01-08 18:46:36,0,-0.2999037
2023-01-08 18:46:35,0,-0.7000963
2023-01-08 18:46:34,0,0
2023-01-08 18:46:33,0,0
2023-01-08 18:46:32,0,0
2023-01-08 18:46:31,0,0
2023-01-08 18:46:30,0,-0.3000849
2023-01-08 18:46:29,0,-0.6999151
2023-01-08 18:46:28,0,0
2023-01-08 18:46:27,0,0
2023-01-08 18:46:26,0,0
2023-01-08 18:46:25,0,0
2023-01-08 18:46:24,0,-0.29985
2023-01-08 18:46:23,0,-0.70015
2023-01-08 18:46:22,0,0
2023-01-08 18:46:21,147.23371,0
2023-01-08 18:46:20,343.7663,0
2023-01-08 18:46:19,0,0
2023-01-08 18:46:18,0,0
2023-01-08 18:46:17,0,0
2023-01-08 18:46:16,0,0
2023-01-08 18:46:15,0,0
2023-01-08 18:46:14,0,0
2023-01-08 18:46:13,0,0
2023-01-08 18:46:12,0,0
2023-01-08 18:46:11,0,0
2023-01-08 18:46:10,0,0
2023-01-08 18:46:09,0,0
2023-01-08 18:46:08,0,0
2023-01-08 18:46:07,0,0
2023-01-08 18:46:06,0,0
2023-01-08 18:46:05,0,0
2023-01-08 18:46:04,0,0
2023-01-08 18:46:03,0,0
2023-01-08 18:46:02,0,0
2023-01-08 18:46:01,0,0
2023-01-08 18:46:00,0,0
2023-01-08 18:45:59,0,0
2023-01-08 18:45:58,0,0
2023-01-08 18:45:57,0,0
2023-01-08 18:45:56,0,0
2023-01-08 18:45:55,0,0
2023-01-08 18:45:54,0,0
2023-01-08 18:45:53,0,0
2023-01-08 18:45:52,0,0
2023-01-08 18:45:51,0,0
2023-01-08 18:45:50,0,0
2023-01-08 18:45:49,0,0
2023-01-08 18:45:48,0,0
2023-01-08 18:45:47,0,0
2023-01-08 18:45:46,0,0
2023-01-08 18:45:45,0,0
2023-01-08 18:45:44,0,0
2023-01-08 18:45:43,0,0
2023-01-08 18:45:42,0,0
2023-01-08 18:45:41,0,0
2023-01-08 18:45:40,0,0
2023-01-08 18:45:39,0,0
