time,some 10,some 60,some 300
2023-01-08 18:38:47,0.13,2.08,1.42
2023-01-08 18:38:46,0.16,2.15,1.43
2023-01-08 18:38:45,0.16,2.15,1.43
2023-01-08 18:38:44,0.2,2.22,1.44
2023-01-08 18:38:43,0.2,2.22,1.44
2023-01-08 18:38:42,0.24,2.29,1.45
2023-01-08 18:38:41,0.24,2.29,1.45
2023-01-08 18:38:40,0.3,2.37,1.46
2023-01-08 18:38:39,0.3,2.37,1.46
2023-01-08 18:38:38,0.36,2.45,1.47
2023-01-08 18:38:37,0.36,2.45,1.47
2023-01-08 18:38:36,0.45,2.54,1.48
2023-01-08 18:38:35,0.45,2.54,1.48
2023-01-08 18:38:34,0.55,2.62,1.49
2023-01-08 18:38:33,0.55,2.62,1.49
2023-01-08 18:38:32,0.67,2.71,1.5
2023-01-08 18:38:31,0.67,2.71,1.5
2023-01-08 18:38:30,0.82,2.81,1.51
2023-01-08 18:38:29,0.82,2.81,1.51
2023-01-08 18:38:28,1,2.9,1.52
2023-01-08 18:38:27,1,2.9,1.52
2023-01-08 18:38:26,1.22,3,1.53
2023-01-08 18:38:25,1.22,3,1.53
2023-01-08 18:38:24,1.5,3.1,1.54
2023-01-08 18:38:23,1.5,3.1,1.54
2023-01-08 18:38:22,1.83,3.21,1.55
2023-01-08 18:38:21,1.83,3.21,1.55
2023-01-08 18:38:20,2.24,3.32,1.56
2023-01-08 18:38:19,2.24,3.32,1.56
2023-01-08 18:38:18,2.73,3.43,1.57
2023-01-08 18:38:17,2.73,3.43,1.57
2023-01-08 18:38:16,3.34,3.54,1.59
2023-01-08 18:38:15,3.34,3.54,1.59
2023-01-08 18:38:14,4.08,3.66,1.6
2023-01-08 18:38:13,4.08,3.66,1.6
2023-01-08 18:38:12,4.98,3.79,1.61
2023-01-08 18:38:11,4.98,3.79,1.61
2023-01-08 18:38:10,4.3,3.65,1.56
2023-01-08 18:38:09,4.3,3.65,1.56
2023-01-08 18:38:08,2.83,3.4,1.5
2023-01-08 18:38:07,2.83,3.4,1.5
2023-01-08 18:38:06,2.58,3.38,1.48
2023-01-08 18:38:05,2.58,3.38,1.48
2023-01-08 18:38:04,2.93,3.46,1.48
2023-01-08 18:38:03,2.93,3.46,1.48
2023-01-08 18:38:02,3.57,3.57,1.49
2023-01-08 18:38:01,3.57,3.57,1.49
2023-01-08 18:38:00,4.37,3.7,1.51
2023-01-08 18:37:59,4.37,3.7,1.51
2023-01-08 18:37:58,5.33,3.82,1.52
2023-01-08 18:37:57,5.33,3.82,1.52
2023-01-08 18:37:56,3.64,3.51,1.44
2023-01-08 18:37:55,3.64,3.51,1.44
2023-01-08 18:37:54,4.44,3.63,1.45
2023-01-08 18:37:53,4.44,3.63,1.45
2023-01-08 18:37:52,4.99,3.68,1.44
2023-01-08 18:37:51,4.99,3.68,1.44
2023-01-08 18:37:50,6.09,3.81,1.45
2023-01-08 18:37:49,6.09,3.81,1.45
2023-01-08 18:37:48,7.44,3.94,1.46
2023-01-08 18:37:47,7.44,3.94,1.46
2023-01-08 18:37:46,7.54,3.84,1.43
2023-01-08 18:37:45,7.54,3.84,1.43
2023-01-08 18:37:44,4.78,3.29,1.3
2023-01-08 18:37:43,4.78,3.29,1.3
2023-01-08 18:37:42,4.51,3.2,1.27
2023-01-08 18:37:41,4.51,3.2,1.27
2023-01-08 18:37:40,5.29,3.27,1.27
2023-01-08 18:37:39,5.29,3.27,1.27
2023-01-08 18:37:38,6.47,3.38,1.28
2023-01-08 18:37:37,6.47,3.38,1.28
2023-01-08 18:37:36,5.91,3.19,1.22
2023-01-08 18:37:35,5.91,3.19,1.22
2023-01-08 18:37:34,4.55,2.89,1.14
2023-01-08 18:37:33,4.55,2.89,1.14
2023-01-08 18:37:32,5.13,2.93,1.13
2023-01-08 18:37:31,5.13,2.93,1.13
2023-01-08 18:37:30,6.26,3.03,1.14
2023-01-08 18:37:29,6.26,3.03,1.14
2023-01-08 18:37:28,4.76,2.69,1.07
2023-01-08 18:37:27,4.76,2.69,1.07
2023-01-08 18:37:26,3.17,2.37,0.99
2023-01-08 18:37:25,3.17,2.37,0.99
2023-01-08 18:37:24,2.99,2.31,0.97
2023-01-08 18:37:23,2.99,2.31,0.97
2023-01-08 18:37:22,3.65,2.4,0.98
2023-01-08 18:37:21,3.65,2.4,0.98
2023-01-08 18:37:20,4.46,2.48,0.99
2023-01-08 18:37:19,4.46,2.48,0.99
2023-01-08 18:37:18,5.45,2.56,0.99
2023-01-08 18:37:17,5.45,2.56,0.99
2023-01-08 18:37:16,2.9,2.06,0.88
2023-01-08 18:37:15,2.9,2.06,0.88
2023-01-08 18:37:14,2.88,2.04,0.87
2023-01-08 18:37:13,2.88,2.04,0.87
2023-01-08 18:37:12,2.85,2,0.85
2023-01-08 18:37:11,2.85,2,0.85
2023-01-08 18:37:10,3.48,2.08,0.86
2023-01-08 18:37:09,3.48,2.08,0.86
2023-01-08 18:37:08,4.26,2.15,0.87
2023-01-08 18:37:07,4.26,2.15,0.87
2023-01-08 18:37:06,5.2,2.22,0.87
2023-01-08 18:37:05,5.2,2.22,0.87
2023-01-08 18:37:04,3.7,1.89,0.8
2023-01-08 18:37:03,3.7,1.89,0.8
2023-01-08 18:37:02,4.51,1.96,0.8
2023-01-08 18:37:01,4.51,1.96,0.8
2023-01-08 18:37:00,5.07,1.95,0.79
2023-01-08 18:36:59,5.07,1.95,0.79
2023-01-08 18:36:58,6.2,2.02,0.8
2023-01-08 18:36:57,6.2,2.02,0.8
2023-01-08 18:36:56,6.02,1.85,0.76
2023-01-08 18:36:55,6.02,1.85,0.76
2023-01-08 18:36:54,2.49,1.17,0.61
2023-01-08 18:36:53,2.49,1.17,0.61
2023-01-08 18:36:52,2.59,1.13,0.6
2023-01-08 18:36:51,2.59,1.13,0.6
2023-01-08 18:36:50,2.5,1.08,0.57
2023-01-08 18:36:49,2.5,1.08,0.57
2023-01-08 18:36:48,3.06,1.12,0.59
2023-01-08 18:36:47,3.06,1.12,0.59
2023-01-08 18:36:46,3.74,1.15,0.59
2023-01-08 18:36:45,3.74,1.15,0.59
2023-01-08 18:36:44,1.69,0.75,0.51
2023-01-08 18:36:43,1.69,0.75,0.51
2023-01-08 18:36:42,1.85,0.75,0.5
2023-01-08 18:36:41,1.85,0.75,0.5
2023-01-08 18:36:40,1.81,0.7,0.49
2023-01-08 18:36:39,1.81,0.7,0.49
2023-01-08 18:36:38,2.22,0.73,0.5
2023-01-08 18:36:37,2.22,0.73,0.5
2023-01-08 18:36:36,1.38,0.55,0.46
2023-01-08 18:36:35,1.38,0.55,0.46
2023-01-08 18:36:34,0.36,0.37,0.42
2023-01-08 18:36:33,0.36,0.37,0.42
2023-01-08 18:36:32,0,0.31,0.41
2023-01-08 18:36:31,0,0.31,0.41
2023-01-08 18:36:30,0,0.32,0.41
2023-01-08 18:36:29,0,0.32,0.41
2023-01-08 18:36:28,0,0.33,0.41
2023-01-08 18:36:27,0,0.33,0.41
2023-01-08 18:36:26,0,0.34,0.42
2023-01-08 18:36:25,0,0.34,0.42
2023-01-08 18:36:24,0,0.36,0.42
2023-01-08 18:36:23,0,0.36,0.42
2023-01-08 18:36:22,0,0.37,0.42
2023-01-08 18:36:21,0,0.37,0.42
2023-01-08 18:36:20,0,0.38,0.43
2023-01-08 18:36:19,0,0.38,0.43
2023-01-08 18:36:18,0,0.39,0.43
2023-01-08 18:36:17,0,0.39,0.43
2023-01-08 18:36:16,0,0.41,0.43
2023-01-08 18:36:15,0,0.41,0.43
2023-01-08 18:36:14,0,0.42,0.44
2023-01-08 18:36:13,0,0.42,0.44
2023-01-08 18:36:12,0,0.44,0.44
2023-01-08 18:36:11,0,0.44,0.44
2023-01-08 18:36:10,0,0.45,0.44
2023-01-08 18:36:09,0,0.45,0.44
2023-01-08 18:36:08,0,0.47,0.45
2023-01-08 18:36:07,0,0.47,0.45
2023-01-08 18:36:06,0,0.48,0.45
