time,read,write
2023-01-08 18:38:47,0,0
2023-01-08 18:38:46,0,0
2023-01-08 18:38:45,0,0
2023-01-08 18:38:44,0,0
2023-01-08 18:38:43,0,0
2023-01-08 18:38:42,0,0
2023-01-08 18:38:41,0,0
2023-01-08 18:38:40,0,0
2023-01-08 18:38:39,0,0
2023-01-08 18:38:38,0,0
2023-01-08 18:38:37,0,0
2023-01-08 18:38:36,0,0
2023-01-08 18:38:35,0,0
2023-01-08 18:38:34,0,0
2023-01-08 18:38:33,0,0
2023-01-08 18:38:32,0,0
2023-01-08 18:38:31,0,0
2023-01-08 18:38:30,0,0
2023-01-08 18:38:29,0,0
2023-01-08 18:38:28,0,0
2023-01-08 18:38:27,0,0
2023-01-08 18:38:26,0,0
2023-01-08 18:38:25,0,0
2023-01-08 18:38:24,0,0
2023-01-08 18:38:23,0,0
2023-01-08 18:38:22,0,0
2023-01-08 18:38:21,0,0
2023-01-08 18:38:20,0,0
2023-01-08 18:38:19,0,0
2023-01-08 18:38:18,0,0
2023-01-08 18:38:17,0,0
2023-01-08 18:38:16,0,0
2023-01-08 18:38:15,0,0
2023-01-08 18:38:14,0,0
2023-01-08 18:38:13,0,0
2023-01-08 18:38:12,0,0
2023-01-08 18:38:11,0,-0.300178
2023-01-08 18:38:10,0,-0.699822
2023-01-08 18:38:09,0,0
2023-01-08 18:38:08,0,0
2023-01-08 18:38:07,0,0
2023-01-08 18:38:06,0,0
2023-01-08 18:38:05,0,0
2023-01-08 18:38:04,0,0
2023-01-08 18:38:03,0,0
2023-01-08 18:38:02,0,0
2023-01-08 18:38:01,0,0
2023-01-08 18:38:00,0,0
2023-01-08 18:37:59,0,0
2023-01-08 18:37:58,0,-0.300037
2023-01-08 18:37:57,0.9002631,-0.699963
2023-01-08 18:37:56,2.099737,0
2023-01-08 18:37:55,0,0
2023-01-08 18:37:54,53.15184,0
2023-01-08 18:37:53,127.14804,0
2023-01-08 18:37:52,7.700119,0
2023-01-08 18:37:51,0,0
2023-01-08 18:37:50,0,0
2023-01-08 18:37:49,0,0
2023-01-08 18:37:48,0,0
2023-01-08 18:37:47,8.698497,-0.2999482
2023-01-08 18:37:46,20.3015,-0.7000518
2023-01-08 18:37:45,0,0
2023-01-08 18:37:44,0,0
2023-01-08 18:37:43,0,0
2023-01-08 18:37:42,7.205607,0
2023-01-08 18:37:41,16.79439,0
2023-01-08 18:37:40,0,0
2023-01-08 18:37:39,0,0
2023-01-08 18:37:38,0,0
2023-01-08 18:37:37,0,-0.3000106
2023-01-08 18:37:36,0,-0.6999894
2023-01-08 18:37:35,0.9001521,0
2023-01-08 18:37:34,2.099848,0
2023-01-08 18:37:33,0,0
2023-01-08 18:37:32,17.99939,0
2023-01-08 18:37:31,42.00061,0
2023-01-08 18:37:30,4.50057,-0.300038
2023-01-08 18:37:29,10.49943,-0.699962
2023-01-08 18:37:28,0,0
2023-01-08 18:37:27,0,0
2023-01-08 18:37:26,0,0
2023-01-08 18:37:25,13.840022,0
2023-01-08 18:37:24,32.15998,0
2023-01-08 18:37:23,0,0
2023-01-08 18:37:22,0,0
2023-01-08 18:37:21,0,0
2023-01-08 18:37:20,0,0
2023-01-08 18:37:19,0,0
2023-01-08 18:37:18,6.617784,-0.3008084
2023-01-08 18:37:17,15.382216,-0.6991916
2023-01-08 18:37:16,0.9031657,0
2023-01-08 18:37:15,2.096834,0
2023-01-08 18:37:14,0,0
2023-01-08 18:37:13,46.82177,0
2023-01-08 18:37:12,109.17823,0
2023-01-08 18:37:11,0,0
2023-01-08 18:37:10,0,0
2023-01-08 18:37:09,0,0
2023-01-08 18:37:08,0,0
2023-01-08 18:37:07,0,0
2023-01-08 18:37:06,1.1998604,-0.2999651
2023-01-08 18:37:05,2.80014,-0.7000349
2023-01-08 18:37:04,0,0
2023-01-08 18:37:03,0,0
2023-01-08 18:37:02,0,0
2023-01-08 18:37:01,15.006055,0
2023-01-08 18:37:00,34.99394,0
2023-01-08 18:36:59,0,0
2023-01-08 18:36:58,0,0
2023-01-08 18:36:57,1.1999452,-0.2999863
2023-01-08 18:36:56,2.800055,-0.7000137
2023-01-08 18:36:55,0,0
2023-01-08 18:36:54,0,0
2023-01-08 18:36:53,0,0
2023-01-08 18:36:52,0.9005166,0
2023-01-08 18:36:51,2.099483,0
2023-01-08 18:36:50,0,0
2023-01-08 18:36:49,0,0
2023-01-08 18:36:48,0,0
2023-01-08 18:36:47,0,0
2023-01-08 18:36:46,0,-0.3001167
2023-01-08 18:36:45,0,-0.6998833
2023-01-08 18:36:44,0,0
2023-01-08 18:36:43,0,0
2023-01-08 18:36:42,0,0
