time,some 10,some 60,some 300
2023-01-08 15:49:36,1.5,4.04,1.53
2023-01-08 15:49:35,1.5,4.04,1.53
2023-01-08 15:49:34,1.83,4.17,1.54
2023-01-08 15:49:33,1.83,4.17,1.54
2023-01-08 15:49:32,2.24,4.32,1.55
2023-01-08 15:49:31,2.24,4.32,1.55
2023-01-08 15:49:30,2.74,4.46,1.56
2023-01-08 15:49:29,2.74,4.46,1.56
2023-01-08 15:49:28,3.35,4.61,1.58
2023-01-08 15:49:27,3.35,4.61,1.58
2023-01-08 15:49:26,4.09,4.76,1.59
2023-01-08 15:49:25,4.09,4.76,1.59
2023-01-08 15:49:24,4.99,4.93,1.6
2023-01-08 15:49:23,4.99,4.93,1.6
2023-01-08 15:49:22,6.1,5.09,1.61
2023-01-08 15:49:21,6.1,5.09,1.61
2023-01-08 15:49:20,7.45,5.27,1.62
2023-01-08 15:49:19,7.45,5.27,1.62
2023-01-08 15:49:18,9.1,5.45,1.63
2023-01-08 15:49:17,9.1,5.45,1.63
2023-01-08 15:49:16,11.12,5.63,1.64
2023-01-08 15:49:15,11.12,5.63,1.64
2023-01-08 15:49:14,9.59,5.22,1.53
2023-01-08 15:49:13,9.59,5.22,1.53
2023-01-08 15:49:12,5.3,4.41,1.34
2023-01-08 15:49:11,5.3,4.41,1.34
2023-01-08 15:49:10,6.47,4.55,1.35
2023-01-08 15:49:09,6.47,4.55,1.35
2023-01-08 15:49:08,7.91,4.72,1.36
2023-01-08 15:49:07,7.91,4.72,1.36
2023-01-08 15:49:06,9,4.76,1.35
2023-01-08 15:49:05,9,4.76,1.35
2023-01-08 15:49:04,7.23,4.36,1.24
2023-01-08 15:49:03,7.23,4.36,1.24
2023-01-08 15:49:02,8.83,4.51,1.25
2023-01-08 15:49:01,8.83,4.51,1.25
2023-01-08 15:49:00,9.01,4.38,1.2
2023-01-08 15:48:59,9.01,4.38,1.2
2023-01-08 15:48:58,7.91,4.07,1.11
2023-01-08 15:48:57,7.91,4.07,1.11
2023-01-08 15:48:56,9.43,4.17,1.12
2023-01-08 15:48:55,9.43,4.17,1.12
2023-01-08 15:48:54,6.88,3.6,0.98
2023-01-08 15:48:53,6.88,3.6,0.98
2023-01-08 15:48:52,8.4,3.72,0.98
2023-01-08 15:48:51,8.4,3.72,0.98
2023-01-08 15:48:50,8.49,3.58,0.94
2023-01-08 15:48:49,8.49,3.58,0.94
2023-01-08 15:48:48,7.49,3.26,0.85
2023-01-08 15:48:47,7.49,3.26,0.85
2023-01-08 15:48:46,9.15,3.37,0.86
2023-01-08 15:48:45,9.15,3.37,0.86
2023-01-08 15:48:44,8.52,3.08,0.78
2023-01-08 15:48:43,8.52,3.08,0.78
2023-01-08 15:48:42,7.31,2.71,0.69
2023-01-08 15:48:41,7.31,2.71,0.69
2023-01-08 15:48:40,8.71,2.77,0.69
2023-01-08 15:48:39,8.71,2.77,0.69
2023-01-08 15:48:38,6.43,2.22,0.56
2023-01-08 15:48:37,6.43,2.22,0.56
2023-01-08 15:48:36,6.75,2.12,0.53
2023-01-08 15:48:35,6.75,2.12,0.53
2023-01-08 15:48:34,8.02,2.16,0.53
2023-01-08 15:48:33,8.02,2.16,0.53
2023-01-08 15:48:32,5.16,1.52,0.39
2023-01-08 15:48:31,5.16,1.52,0.39
2023-01-08 15:48:30,5.64,1.47,0.37
2023-01-08 15:48:29,5.64,1.47,0.37
2023-01-08 15:48:28,6.22,1.42,0.35
2023-01-08 15:48:27,6.22,1.42,0.35
2023-01-08 15:48:26,3.84,0.89,0.24
2023-01-08 15:48:25,3.84,0.89,0.24
2023-01-08 15:48:24,4.69,0.93,0.24
2023-01-08 15:48:23,4.69,0.93,0.24
2023-01-08 15:48:22,3.07,0.55,0.16
2023-01-08 15:48:21,3.07,0.55,0.16
2023-01-08 15:48:20,0,0,0.04
2023-01-08 15:48:19,0,0,0.04
2023-01-08 15:48:18,0,0,0.04
2023-01-08 15:48:17,0,0,0.04
2023-01-08 15:48:16,0,0,0.04
2023-01-08 15:48:15,0,0,0.04
2023-01-08 15:48:14,0,0,0.04
2023-01-08 15:48:13,0,0,0.04
2023-01-08 15:48:12,0,0,0.04
2023-01-08 15:48:11,0,0,0.04
2023-01-08 15:48:10,0,0,0.04
2023-01-08 15:48:09,0,0,0.04
2023-01-08 15:48:08,0,0,0.04
2023-01-08 15:48:07,0,0,0.04
2023-01-08 15:48:06,0,0,0.04
2023-01-08 15:48:05,0,0,0.04
2023-01-08 15:48:04,0,0,0.04
2023-01-08 15:48:03,0,0,0.04
2023-01-08 15:48:02,0,0,0.05
2023-01-08 15:48:01,0,0,0.05
2023-01-08 15:48:00,0,0,0.05
2023-01-08 15:47:59,0,0,0.05
2023-01-08 15:47:58,0,0,0.05
2023-01-08 15:47:57,0,0,0.05
2023-01-08 15:47:56,0,0,0.05
2023-01-08 15:47:55,0,0,0.05
2023-01-08 15:47:54,0,0,0.05
2023-01-08 15:47:53,0,0,0.05
2023-01-08 15:47:52,0,0,0.05
2023-01-08 15:47:51,0,0,0.05
2023-01-08 15:47:50,0,0,0.05
