time,read,write
2023-01-08 15:49:36,0,0
2023-01-08 15:49:35,0,-407.8901
2023-01-08 15:49:34,0,-952.1099
2023-01-08 15:49:33,0,0
2023-01-08 15:49:32,0,0
2023-01-08 15:49:31,0,0
2023-01-08 15:49:30,0,0
2023-01-08 15:49:29,0,-9.598256
2023-01-08 15:49:28,0,-22.40174
2023-01-08 15:49:27,0,0
2023-01-08 15:49:26,0,0
2023-01-08 15:49:25,0,0
2023-01-08 15:49:24,0,0
2023-01-08 15:49:23,0,0
2023-01-08 15:49:22,0,0
2023-01-08 15:49:21,0,0
2023-01-08 15:49:20,0,0
2023-01-08 15:49:19,0,0
2023-01-08 15:49:18,0,0
2023-01-08 15:49:17,0,0
2023-01-08 15:49:16,0,-1.199662
2023-01-08 15:49:15,0,-2.800338
2023-01-08 15:49:14,0,0
2023-01-08 15:49:13,13.235223,0
2023-01-08 15:49:12,30.76478,0
2023-01-08 15:49:11,0,0
2023-01-08 15:49:10,0,0
2023-01-08 15:49:09,0,0
2023-01-08 15:49:08,0,-1.19972
2023-01-08 15:49:07,0,-2.80028
2023-01-08 15:49:06,29.99219,0
2023-01-08 15:49:05,439.4397,0
2023-01-08 15:49:04,862.5681,0
2023-01-08 15:49:03,0,0
2023-01-08 15:49:02,0,-1.2002821
2023-01-08 15:49:01,0,-2.799718
2023-01-08 15:49:00,0,-28.8681
2023-01-08 15:48:59,0,-67.1319
2023-01-08 15:48:58,0,0
2023-01-08 15:48:57,0,-1.1997796
2023-01-08 15:48:56,0,-2.80022
2023-01-08 15:48:55,0,0
2023-01-08 15:48:54,0,0
2023-01-08 15:48:53,0,0
2023-01-08 15:48:52,0,-1.1992507
2023-01-08 15:48:51,0,-2.800749
2023-01-08 15:48:50,0,0
2023-01-08 15:48:49,0,0
2023-01-08 15:48:48,0,0
2023-01-08 15:48:47,0,0
2023-01-08 15:48:46,0,-1.2001532
2023-01-08 15:48:45,0,-2.799847
2023-01-08 15:48:44,0,0
2023-01-08 15:48:43,0,0
2023-01-08 15:48:42,0,0
2023-01-08 15:48:41,0,0
2023-01-08 15:48:40,0,-10.79421
2023-01-08 15:48:39,0,-25.20579
2023-01-08 15:48:38,4.823285,0
2023-01-08 15:48:37,11.176715,0
2023-01-08 15:48:36,0,0
2023-01-08 15:48:35,0,-2.39858
2023-01-08 15:48:34,0,-2607.768
2023-01-08 15:48:33,0,-6073.833
2023-01-08 15:48:32,0,0
2023-01-08 15:48:31,0,0
2023-01-08 15:48:30,0,0
2023-01-08 15:48:29,0,-1.1996277
2023-01-08 15:48:28,0,-2.800372
2023-01-08 15:48:27,973.3761,0
2023-01-08 15:48:26,2270.624,0
2023-01-08 15:48:25,0,0
2023-01-08 15:48:24,274.6275,-1.1992467
2023-01-08 15:48:23,727.7475,-2.800753
2023-01-08 15:48:22,4835.109,0
2023-01-08 15:48:21,10814.516,0
2023-01-08 15:48:20,0,0
2023-01-08 15:48:19,0,0
2023-01-08 15:48:18,0,0
2023-01-08 15:48:17,0,0
2023-01-08 15:48:16,0,0
2023-01-08 15:48:15,0,0
2023-01-08 15:48:14,0,0
2023-01-08 15:48:13,0,0
2023-01-08 15:48:12,0,0
2023-01-08 15:48:11,0,0
2023-01-08 15:48:10,0,0
2023-01-08 15:48:09,0,0
2023-01-08 15:48:08,0,0
2023-01-08 15:48:07,0,0
2023-01-08 15:48:06,0,0
2023-01-08 15:48:05,0,0
2023-01-08 15:48:04,0,0
2023-01-08 15:48:03,0,0
2023-01-08 15:48:02,0,0
2023-01-08 15:48:01,0,0
2023-01-08 15:48:00,0,0
2023-01-08 15:47:59,0,0
2023-01-08 15:47:58,0,0
2023-01-08 15:47:57,0,0
2023-01-08 15:47:56,0,0
2023-01-08 15:47:55,0,0
2023-01-08 15:47:54,0,0
2023-01-08 15:47:53,0,0
2023-01-08 15:47:52,0,0
2023-01-08 15:47:51,0,0
2023-01-08 15:47:50,0,0
2023-01-08 15:47:49,0,0
2023-01-08 15:47:48,0,0
2023-01-08 15:47:47,0,0
2023-01-08 15:47:46,266.2853,0
2023-01-08 15:47:45,621.7147,0
2023-01-08 15:47:44,817.0818,0
2023-01-08 15:47:43,1906.918,0
2023-01-08 15:47:42,0,0
2023-01-08 15:47:41,0,0
2023-01-08 15:47:40,0,0
2023-01-08 15:47:39,0,0
2023-01-08 15:47:38,0,0
2023-01-08 15:47:37,0,0
