time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-08 15:49:36,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:35,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:34,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:33,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:32,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:31,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:30,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:29,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:28,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:27,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:26,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:25,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:24,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:23,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:22,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:21,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:20,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:19,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:18,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:17,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:16,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:15,0.25,0.015625,10.155853,0,0,139.26172
2023-01-08 15:49:14,175.1328,4.359375,18.36029,0,46,139.29297
2023-01-08 15:49:13,157.13281,4.375,68.77654,0,44,140.97266
2023-01-08 15:49:12,80.55859,4.375,46.13351,0,34,141.99609
2023-01-08 15:49:11,0.25,0.015625,10.150581,0,0,137.9375
2023-01-08 15:49:10,0.25,0.015625,10.150581,0,0,137.9375
2023-01-08 15:49:09,0.25,0.015625,10.150581,0,0,137.9375
2023-01-08 15:49:08,0.25,0.015625,10.150581,0,0,137.9375
2023-01-08 15:49:07,0.25,0.015625,10.150581,0,0,137.9375
2023-01-08 15:49:06,169.4297,4.359375,13.001472,0,44,137.96875
2023-01-08 15:49:05,146.42969,4.359375,68.75195,0,42,139.71094
2023-01-08 15:49:04,86.34375,4.375,50.06287,0,32,138.75391
2023-01-08 15:49:03,0.25,0.015625,10.132324,0,0,130.09766
2023-01-08 15:49:02,0.25,0.015625,10.132324,0,0,130.09766
2023-01-08 15:49:01,0.25,0.015625,10.132324,0,0,130.09766
2023-01-08 15:49:00,172.0508,4.390625,44.1926,0,42,130.12891
2023-01-08 15:48:59,132.11719,4.375,68.80201,0,40,135.25781
2023-01-08 15:48:58,37.31641,0.921875,15.934128,0,18,124.63672
2023-01-08 15:48:57,0.2460938,0.015625,10.112938,0,0,124.60547
2023-01-08 15:48:56,0.2460938,0.015625,10.112938,0,0,124.60547
2023-01-08 15:48:55,162.12891,4.34375,48.44174,0,34,124.63672
2023-01-08 15:48:54,104.86719,4.34375,68.70361,0,30,126.22656
2023-01-08 15:48:53,27.15234,0.640625,13.550819,0,12,113.6875
2023-01-08 15:48:52,0.25,0.015625,10.097504,0,0,113.65625
2023-01-08 15:48:51,0.25,0.015625,10.097504,0,0,113.65625
2023-01-08 15:48:50,155.70703,4.375,32.89935,0,26,113.6875
2023-01-08 15:48:49,129.35547,4.375,68.62254,0,24,113.94922
2023-01-08 15:48:48,55.92969,1.671875,22.30666,0,24,103.23047
2023-01-08 15:48:47,0.25,0.015625,10.077553,0,0,102.30078
2023-01-08 15:48:46,0.25,0.015625,10.077553,0,0,102.30078
2023-01-08 15:48:45,0.25,0.015625,10.077553,0,0,102.30078
2023-01-08 15:48:44,194.9531,4.390625,29.50262,0,28,102.33203
2023-01-08 15:48:43,163.54297,4.40625,68.70216,0,24,102.66016
2023-01-08 15:48:42,85.39844,3.265625,31.22609,0,20,93.0625
2023-01-08 15:48:41,0.25,0.015625,10.051956,0,0,88.26562
2023-01-08 15:48:40,0.25,0.015625,10.051956,0,0,88.26562
2023-01-08 15:48:39,0.25,0.015625,10.051956,0,0,88.26562
2023-01-08 15:48:38,166.20703,4.390625,53.60912,0,20,88.28125
2023-01-08 15:48:37,106.29297,4.375,68.66988,0,8,88.34766
2023-01-08 15:48:36,15.875,0.3125,10.263466,0,4,79.77344
2023-01-08 15:48:35,0.25,0.015625,10.043861,0,0,79.74219
2023-01-08 15:48:34,0.25,0.015625,10.043861,0,0,79.74219
2023-01-08 15:48:33,162.83984,4.375,17.52991,0,12,79.77344
2023-01-08 15:48:32,147.14062,4.375,68.67409,0,8,80.26953
2023-01-08 15:48:31,82.5625,4.375,42.62536,0,6,78.47656
2023-01-08 15:48:30,0.25,0.015625,10.042542,0,0,75.0625
2023-01-08 15:48:29,0.25,0.015625,10.042542,0,0,75.0625
2023-01-08 15:48:28,0.25,0.015625,10.042542,0,0,75.0625
2023-01-08 15:48:27,157.72656,4.375,68.67242,0,6,75.65625
2023-01-08 15:48:26,77.9375,4.375,61.10171,0,2,74.05469
2023-01-08 15:48:25,0.25,0.015625,10.042351,0,0,56.05078
2023-01-08 15:48:24,0.25,0.015625,10.042351,0,0,56.05078
2023-01-08 15:48:23,0.25,0.015625,10.042351,0,0,56.05078
2023-01-08 15:48:22,164.80469,4.375,67.87605,0,2,55.26172
2023-01-08 15:48:21,84.10547,4.359375,67.88083,0,2,54.69922
