time,read,write
2023-01-08 15:49:36,0,0
2023-01-08 15:49:35,0,-10.797199
2023-01-08 15:49:34,0,-25.2028
2023-01-08 15:49:33,0,0
2023-01-08 15:49:32,0,0
2023-01-08 15:49:31,0,0
2023-01-08 15:49:30,0,0
2023-01-08 15:49:29,0,-0.5998964
2023-01-08 15:49:28,0,-1.4001036
2023-01-08 15:49:27,0,0
2023-01-08 15:49:26,0,0
2023-01-08 15:49:25,0,0
2023-01-08 15:49:24,0,0
2023-01-08 15:49:23,0,0
2023-01-08 15:49:22,0,0
2023-01-08 15:49:21,0,0
2023-01-08 15:49:20,0,0
2023-01-08 15:49:19,0,0
2023-01-08 15:49:18,0,0
2023-01-08 15:49:17,0,0
2023-01-08 15:49:16,0,-0.2999175
2023-01-08 15:49:15,0,-0.7000825
2023-01-08 15:49:14,0,0
2023-01-08 15:49:13,2.105622,0
2023-01-08 15:49:12,4.894378,0
2023-01-08 15:49:11,0,0
2023-01-08 15:49:10,0,0
2023-01-08 15:49:09,0,0
2023-01-08 15:49:08,0,-0.299932
2023-01-08 15:49:07,0,-0.700068
2023-01-08 15:49:06,0.8997738,0
2023-01-08 15:49:05,19.19256,0
2023-01-08 15:49:04,39.90766,0
2023-01-08 15:49:03,0,0
2023-01-08 15:49:02,0,-0.3000749
2023-01-08 15:49:01,0,-0.6999251
2023-01-08 15:49:00,0,-1.804274
2023-01-08 15:48:59,0,-4.195726
2023-01-08 15:48:58,0,0
2023-01-08 15:48:57,0,-0.2999472
2023-01-08 15:48:56,0,-0.7000528
2023-01-08 15:48:55,0,0
2023-01-08 15:48:54,0,0
2023-01-08 15:48:53,0,0
2023-01-08 15:48:52,0,-0.2998147
2023-01-08 15:48:51,0,-0.7001853
2023-01-08 15:48:50,0,0
2023-01-08 15:48:49,0,0
2023-01-08 15:48:48,0,0
2023-01-08 15:48:47,0,0
2023-01-08 15:48:46,0,-0.3000403
2023-01-08 15:48:45,0,-0.6999597
2023-01-08 15:48:44,0,0
2023-01-08 15:48:43,0,0
2023-01-08 15:48:42,0,0
2023-01-08 15:48:41,0,0
2023-01-08 15:48:40,0,-0.8995256
2023-01-08 15:48:39,0,-2.100474
2023-01-08 15:48:38,0.3014573,0
2023-01-08 15:48:37,0.6985427,0
2023-01-08 15:48:36,0,0
2023-01-08 15:48:35,0,-0.5996503
2023-01-08 15:48:34,0,-25.09477
2023-01-08 15:48:33,0,-55.30558
2023-01-08 15:48:32,0,0
2023-01-08 15:48:31,0,0
2023-01-08 15:48:30,0,0
2023-01-08 15:48:29,0,-0.2999092
2023-01-08 15:48:28,0,-0.7000908
2023-01-08 15:48:27,41.40781,0
2023-01-08 15:48:26,96.59219,0
2023-01-08 15:48:25,0,0
2023-01-08 15:48:24,2.098696,-0.2998137
2023-01-08 15:48:23,8.800207,-0.7001863
2023-01-08 15:48:22,109.28219,0
2023-01-08 15:48:21,233.8189,0
2023-01-08 15:48:20,0,0
2023-01-08 15:48:19,0,0
2023-01-08 15:48:18,0,0
2023-01-08 15:48:17,0,0
2023-01-08 15:48:16,0,0
2023-01-08 15:48:15,0,0
2023-01-08 15:48:14,0,0
2023-01-08 15:48:13,0,0
2023-01-08 15:48:12,0,0
2023-01-08 15:48:11,0,0
2023-01-08 15:48:10,0,0
2023-01-08 15:48:09,0,0
2023-01-08 15:48:08,0,0
2023-01-08 15:48:07,0,0
2023-01-08 15:48:06,0,0
2023-01-08 15:48:05,0,0
2023-01-08 15:48:04,0,0
2023-01-08 15:48:03,0,0
2023-01-08 15:48:02,0,0
2023-01-08 15:48:01,0,0
2023-01-08 15:48:00,0,0
2023-01-08 15:47:59,0,0
2023-01-08 15:47:58,0,0
2023-01-08 15:47:57,0,0
2023-01-08 15:47:56,0,0
2023-01-08 15:47:55,0,0
2023-01-08 15:47:54,0,0
2023-01-08 15:47:53,0,0
2023-01-08 15:47:52,0,0
2023-01-08 15:47:51,0,0
2023-01-08 15:47:50,0,0
2023-01-08 15:47:49,0,0
2023-01-08 15:47:48,0,0
2023-01-08 15:47:47,0,0
2023-01-08 15:47:46,11.395193,0
2023-01-08 15:47:45,26.60481,0
2023-01-08 15:47:44,15.297904,0
2023-01-08 15:47:43,35.7021,0
2023-01-08 15:47:42,0,0
2023-01-08 15:47:41,0,0
2023-01-08 15:47:40,0,0
2023-01-08 15:47:39,0,0
2023-01-08 15:47:38,0,0
2023-01-08 15:47:37,0,0
