time,some 10,some 60,some 300
2023-01-07 17:55:28,0,0.7,1.21
2023-01-07 17:55:27,0,0.7,1.21
2023-01-07 17:55:26,0,0.73,1.22
2023-01-07 17:55:25,0,0.73,1.22
2023-01-07 17:55:24,0,0.75,1.22
2023-01-07 17:55:23,0,0.75,1.22
2023-01-07 17:55:22,0,0.78,1.23
2023-01-07 17:55:21,0,0.78,1.23
2023-01-07 17:55:20,0,0.8,1.24
2023-01-07 17:55:19,0,0.8,1.24
2023-01-07 17:55:18,0,0.83,1.25
2023-01-07 17:55:17,0,0.83,1.25
2023-01-07 17:55:16,0,0.86,1.26
2023-01-07 17:55:15,0,0.86,1.26
2023-01-07 17:55:14,0,0.89,1.27
2023-01-07 17:55:13,0,0.89,1.27
2023-01-07 17:55:12,0.01,0.92,1.28
2023-01-07 17:55:11,0.01,0.92,1.28
2023-01-07 17:55:10,0.01,0.95,1.29
2023-01-07 17:55:09,0.01,0.95,1.29
2023-01-07 17:55:08,0.01,0.98,1.3
2023-01-07 17:55:07,0.01,0.98,1.3
2023-01-07 17:55:06,0.02,1.02,1.3
2023-01-07 17:55:05,0.02,1.02,1.3
2023-01-07 17:55:04,0.02,1.05,1.31
2023-01-07 17:55:03,0.02,1.05,1.31
2023-01-07 17:55:02,0.03,1.09,1.32
2023-01-07 17:55:01,0.03,1.09,1.32
2023-01-07 17:55:00,0.04,1.12,1.33
2023-01-07 17:54:59,0.04,1.12,1.33
2023-01-07 17:54:58,0.05,1.15,1.34
2023-01-07 17:54:57,0.05,1.15,1.34
2023-01-07 17:54:56,0.06,1.2,1.35
2023-01-07 17:54:55,0.06,1.2,1.35
2023-01-07 17:54:54,0.08,1.24,1.36
2023-01-07 17:54:53,0.08,1.24,1.36
2023-01-07 17:54:52,0.09,1.29,1.37
2023-01-07 17:54:51,0.09,1.29,1.37
2023-01-07 17:54:50,0.12,1.33,1.38
2023-01-07 17:54:49,0.12,1.33,1.38
2023-01-07 17:54:48,0.14,1.37,1.39
2023-01-07 17:54:47,0.14,1.37,1.39
2023-01-07 17:54:46,0.18,1.42,1.4
2023-01-07 17:54:45,0.18,1.42,1.4
2023-01-07 17:54:44,0.22,1.47,1.41
2023-01-07 17:54:43,0.22,1.47,1.41
2023-01-07 17:54:42,0.26,1.52,1.42
2023-01-07 17:54:41,0.26,1.52,1.42
2023-01-07 17:54:40,0.32,1.57,1.43
2023-01-07 17:54:39,0.32,1.57,1.43
2023-01-07 17:54:38,0.4,1.63,1.44
2023-01-07 17:54:37,0.4,1.63,1.44
2023-01-07 17:54:36,0.49,1.68,1.45
2023-01-07 17:54:35,0.49,1.68,1.45
2023-01-07 17:54:34,0.6,1.74,1.46
2023-01-07 17:54:33,0.6,1.74,1.46
2023-01-07 17:54:32,0.73,1.8,1.47
2023-01-07 17:54:31,0.73,1.8,1.47
2023-01-07 17:54:30,0.89,1.86,1.48
2023-01-07 17:54:29,0.89,1.86,1.48
2023-01-07 17:54:28,1.09,1.92,1.49
2023-01-07 17:54:27,1.09,1.92,1.49
2023-01-07 17:54:26,1.33,1.99,1.5
