time,read,write
2023-01-07 17:55:28,0,0
2023-01-07 17:55:27,0,0
2023-01-07 17:55:26,0,0
2023-01-07 17:55:25,0,0
2023-01-07 17:55:24,0,0
2023-01-07 17:55:23,0,0
2023-01-07 17:55:22,0,0
2023-01-07 17:55:21,0,0
2023-01-07 17:55:20,0,0
2023-01-07 17:55:19,0,0
2023-01-07 17:55:18,0,0
2023-01-07 17:55:17,0,0
2023-01-07 17:55:16,0,0
2023-01-07 17:55:15,0,0
2023-01-07 17:55:14,0,0
2023-01-07 17:55:13,0,0
2023-01-07 17:55:12,0,0
2023-01-07 17:55:11,0,0
2023-01-07 17:55:10,0,0
2023-01-07 17:55:09,0,0
2023-01-07 17:55:08,0,0
2023-01-07 17:55:07,0,0
2023-01-07 17:55:06,0,0
2023-01-07 17:55:05,0,0
2023-01-07 17:55:04,0,0
2023-01-07 17:55:03,0,0
2023-01-07 17:55:02,0,0
2023-01-07 17:55:01,0,0
2023-01-07 17:55:00,0,0
2023-01-07 17:54:59,0,0
2023-01-07 17:54:58,0,0
2023-01-07 17:54:57,0,0
2023-01-07 17:54:56,0,0
2023-01-07 17:54:55,0,0
2023-01-07 17:54:54,0,0
2023-01-07 17:54:53,0,0
2023-01-07 17:54:52,0,0
2023-01-07 17:54:51,0,0
2023-01-07 17:54:50,0,0
2023-01-07 17:54:49,0,0
2023-01-07 17:54:48,0,0
2023-01-07 17:54:47,0,0
2023-01-07 17:54:46,0,0
2023-01-07 17:54:45,0,0
2023-01-07 17:54:44,0,0
2023-01-07 17:54:43,0,0
2023-01-07 17:54:42,0,0
2023-01-07 17:54:41,0,0
2023-01-07 17:54:40,0,0
2023-01-07 17:54:39,0,0
2023-01-07 17:54:38,0,0
2023-01-07 17:54:37,0,0
2023-01-07 17:54:36,0,0
2023-01-07 17:54:35,0,0
2023-01-07 17:54:34,0,0
2023-01-07 17:54:33,0,0
2023-01-07 17:54:32,0,0
2023-01-07 17:54:31,0,0
2023-01-07 17:54:30,0,0
2023-01-07 17:54:29,0,0
2023-01-07 17:54:28,0,0
2023-01-07 17:54:27,0,0
2023-01-07 17:54:26,0,0
2023-01-07 17:54:25,0,0
2023-01-07 17:54:24,0,-828.2843
2023-01-07 17:54:23,0,-2227.716
2023-01-07 17:54:22,0,0
2023-01-07 17:54:21,0,0
2023-01-07 17:54:20,0,0
2023-01-07 17:54:19,0,0
2023-01-07 17:54:18,0,0
2023-01-07 17:54:17,0,0
2023-01-07 17:54:16,0,0
2023-01-07 17:54:15,0,0
2023-01-07 17:54:14,0,0
2023-01-07 17:54:13,0,0
2023-01-07 17:54:12,0,-1.0840264
2023-01-07 17:54:11,24.93608,-2.915974
2023-01-07 17:54:10,67.06392,0
2023-01-07 17:54:09,0,-1.0839153
2023-01-07 17:54:08,0,-2.916085
2023-01-07 17:54:07,0,0
2023-01-07 17:54:06,0,0
2023-01-07 17:54:05,0,-1.0838801
2023-01-07 17:54:04,0,-2.91612
2023-01-07 17:54:03,0,0
2023-01-07 17:54:02,0,-1.0839964
2023-01-07 17:54:01,0,-2.916004
2023-01-07 17:54:00,427.0333,0
2023-01-07 17:53:59,1124.9667,0
2023-01-07 17:53:58,21.69218,-1.084609
2023-01-07 17:53:57,58.30782,-2.915391
2023-01-07 17:53:56,452.0662,0
2023-01-07 17:53:55,1215.9338,0
2023-01-07 17:53:54,984.3996,-764.3191
2023-01-07 17:53:53,2672.541,-2055.681
2023-01-07 17:53:52,67.05904,0
2023-01-07 17:53:51,0,0
2023-01-07 17:53:50,0,0
2023-01-07 17:53:49,0,0
2023-01-07 17:53:48,0,0
