time,read,write
2023-01-07 17:55:28,0,0
2023-01-07 17:55:27,0,0
2023-01-07 17:55:26,0,0
2023-01-07 17:55:25,0,0
2023-01-07 17:55:24,0,0
2023-01-07 17:55:23,0,0
2023-01-07 17:55:22,0,0
2023-01-07 17:55:21,0,0
2023-01-07 17:55:20,0,0
2023-01-07 17:55:19,0,0
2023-01-07 17:55:18,0,0
2023-01-07 17:55:17,0,0
2023-01-07 17:55:16,0,0
2023-01-07 17:55:15,0,0
2023-01-07 17:55:14,0,0
2023-01-07 17:55:13,0,0
2023-01-07 17:55:12,0,0
2023-01-07 17:55:11,0,0
2023-01-07 17:55:10,0,0
2023-01-07 17:55:09,0,0
2023-01-07 17:55:08,0,0
2023-01-07 17:55:07,0,0
2023-01-07 17:55:06,0,0
2023-01-07 17:55:05,0,0
2023-01-07 17:55:04,0,0
2023-01-07 17:55:03,0,0
2023-01-07 17:55:02,0,0
2023-01-07 17:55:01,0,0
2023-01-07 17:55:00,0,0
2023-01-07 17:54:59,0,0
2023-01-07 17:54:58,0,0
2023-01-07 17:54:57,0,0
2023-01-07 17:54:56,0,0
2023-01-07 17:54:55,0,0
2023-01-07 17:54:54,0,0
2023-01-07 17:54:53,0,0
2023-01-07 17:54:52,0,0
2023-01-07 17:54:51,0,0
2023-01-07 17:54:50,0,0
2023-01-07 17:54:49,0,0
2023-01-07 17:54:48,0,0
2023-01-07 17:54:47,0,0
2023-01-07 17:54:46,0,0
2023-01-07 17:54:45,0,0
2023-01-07 17:54:44,0,0
2023-01-07 17:54:43,0,0
2023-01-07 17:54:42,0,0
2023-01-07 17:54:41,0,0
2023-01-07 17:54:40,0,0
2023-01-07 17:54:39,0,0
2023-01-07 17:54:38,0,0
2023-01-07 17:54:37,0,0
2023-01-07 17:54:36,0,0
2023-01-07 17:54:35,0,0
2023-01-07 17:54:34,0,0
2023-01-07 17:54:33,0,0
2023-01-07 17:54:32,0,0
2023-01-07 17:54:31,0,0
2023-01-07 17:54:30,0,0
2023-01-07 17:54:29,0,0
2023-01-07 17:54:28,0,0
2023-01-07 17:54:27,0,0
2023-01-07 17:54:26,0,0
2023-01-07 17:54:25,0,0
2023-01-07 17:54:24,0,-8.673285
2023-01-07 17:54:23,0,-23.32671
2023-01-07 17:54:22,0,0
2023-01-07 17:54:21,0,0
2023-01-07 17:54:20,0,0
2023-01-07 17:54:19,0,0
2023-01-07 17:54:18,0,0
2023-01-07 17:54:17,0,0
2023-01-07 17:54:16,0,0
2023-01-07 17:54:15,0,0
2023-01-07 17:54:14,0,0
2023-01-07 17:54:13,0,0
2023-01-07 17:54:12,0,-0.2710116
2023-01-07 17:54:11,3.252593,-0.7289884
2023-01-07 17:54:10,8.747407,0
2023-01-07 17:54:09,0,-0.2709838
2023-01-07 17:54:08,0,-0.7290162
2023-01-07 17:54:07,0,0
2023-01-07 17:54:06,0,0
2023-01-07 17:54:05,0,-0.270976
2023-01-07 17:54:04,0,-0.729024
2023-01-07 17:54:03,0,0
2023-01-07 17:54:02,0,-0.2710041
2023-01-07 17:54:01,0,-0.7289959
2023-01-07 17:54:00,16.234247,0
2023-01-07 17:53:59,42.76575,0
2023-01-07 17:53:58,0.8134726,-0.2711575
2023-01-07 17:53:57,2.186527,-0.7288425
2023-01-07 17:53:56,15.177604,0
2023-01-07 17:53:55,40.8224,0
2023-01-07 17:53:54,20.32803,-21.68323
2023-01-07 17:53:53,55.21418,-58.31677
2023-01-07 17:53:52,1.4577926,0
2023-01-07 17:53:51,0,0
2023-01-07 17:53:50,0,0
2023-01-07 17:53:49,0,0
