time,some 10,some 60,some 300
2023-01-08 15:58:21,2.7,9.6,4.17
2023-01-08 15:58:20,3.29,9.92,4.2
2023-01-08 15:58:19,3.29,9.92,4.2
2023-01-08 15:58:18,4.01,10.26,4.23
2023-01-08 15:58:17,4.01,10.26,4.23
2023-01-08 15:58:16,4.92,10.61,4.26
2023-01-08 15:58:15,4.92,10.61,4.26
2023-01-08 15:58:14,6,10.97,4.29
2023-01-08 15:58:13,6,10.97,4.29
2023-01-08 15:58:12,7.33,11.34,4.3
2023-01-08 15:58:11,7.33,11.34,4.3
2023-01-08 15:58:10,8.96,11.72,4.34
2023-01-08 15:58:09,8.96,11.72,4.34
2023-01-08 15:58:08,10.94,12.12,4.37
2023-01-08 15:58:07,10.94,12.12,4.37
2023-01-08 15:58:06,13.36,12.53,4.41
2023-01-08 15:58:05,13.36,12.53,4.41
2023-01-08 15:58:04,16.32,12.95,4.44
2023-01-08 15:58:03,16.32,12.95,4.44
2023-01-08 15:58:02,19.93,13.39,4.47
2023-01-08 15:58:01,19.93,13.39,4.47
2023-01-08 15:58:00,24.13,13.81,4.49
2023-01-08 15:57:59,24.13,13.81,4.49
2023-01-08 15:57:58,21.28,13.03,4.26
2023-01-08 15:57:57,21.28,13.03,4.26
2023-01-08 15:57:56,12.93,11.47,3.89
2023-01-08 15:57:55,12.93,11.47,3.89
2023-01-08 15:57:54,15.8,11.86,3.92
2023-01-08 15:57:53,15.8,11.86,3.92
2023-01-08 15:57:52,19.29,12.26,3.94
2023-01-08 15:57:51,19.29,12.26,3.94
2023-01-08 15:57:50,20.91,12.27,3.89
2023-01-08 15:57:49,20.91,12.27,3.89
2023-01-08 15:57:48,14.91,11.06,3.58
2023-01-08 15:57:47,14.91,11.06,3.58
2023-01-08 15:57:46,16.22,11.13,3.55
2023-01-08 15:57:45,16.22,11.13,3.55
2023-01-08 15:57:44,19.8,11.51,3.57
2023-01-08 15:57:43,19.8,11.51,3.57
2023-01-08 15:57:42,19.77,11.22,3.46
2023-01-08 15:57:41,19.77,11.22,3.46
2023-01-08 15:57:40,14.86,10.18,3.19
2023-01-08 15:57:39,14.86,10.18,3.19
2023-01-08 15:57:38,18.14,10.53,3.22
2023-01-08 15:57:37,18.14,10.53,3.22
2023-01-08 15:57:36,21.72,10.81,3.22
2023-01-08 15:57:35,21.72,10.81,3.22
2023-01-08 15:57:34,20.77,10.3,3.07
2023-01-08 15:57:33,20.77,10.3,3.07
2023-01-08 15:57:32,15.64,9.16,2.79
2023-01-08 15:57:31,15.64,9.16,2.79
2023-01-08 15:57:30,19.1,9.47,2.81
2023-01-08 15:57:29,19.1,9.47,2.81
2023-01-08 15:57:28,20.89,9.42,2.75
2023-01-08 15:57:27,20.89,9.42,2.75
2023-01-08 15:57:26,15.12,8.15,2.44
2023-01-08 15:57:25,15.12,8.15,2.44
2023-01-08 15:57:24,14.92,7.88,2.35
2023-01-08 15:57:23,14.92,7.88,2.35
2023-01-08 15:57:22,18.22,8.15,2.37
2023-01-08 15:57:21,18.22,8.15,2.37
2023-01-08 15:57:20,19.16,7.95,2.29
2023-01-08 15:57:19,19.16,7.95,2.29
2023-01-08 15:57:18,14.55,6.87,2.02
2023-01-08 15:57:17,14.55,6.87,2.02
2023-01-08 15:57:16,17.77,7.1,2.04
2023-01-08 15:57:15,17.77,7.1,2.04
2023-01-08 15:57:14,20.16,7.11,2
2023-01-08 15:57:13,20.16,7.11,2
2023-01-08 15:57:12,15.99,6.03,1.75
2023-01-08 15:57:11,15.99,6.03,1.75
2023-01-08 15:57:10,15.54,5.62,1.64
2023-01-08 15:57:09,15.54,5.62,1.64
2023-01-08 15:57:08,18.32,5.71,1.63
2023-01-08 15:57:07,18.32,5.71,1.63
2023-01-08 15:57:06,15.96,4.92,1.44
2023-01-08 15:57:05,15.96,4.92,1.44
2023-01-08 15:57:04,12.19,3.97,1.22
2023-01-08 15:57:03,12.19,3.97,1.22
2023-01-08 15:57:02,14.89,4.11,1.23
2023-01-08 15:57:01,14.89,4.11,1.23
2023-01-08 15:57:00,14.87,3.74,1.13
2023-01-08 15:56:59,14.87,3.74,1.13
2023-01-08 15:56:58,7.54,2.24,0.82
2023-01-08 15:56:57,7.54,2.24,0.82
2023-01-08 15:56:56,9.21,2.31,0.82
2023-01-08 15:56:55,9.21,2.31,0.82
2023-01-08 15:56:54,11.25,2.4,0.83
2023-01-08 15:56:53,11.25,2.4,0.83
2023-01-08 15:56:52,10.64,2,0.74
2023-01-08 15:56:51,10.64,2,0.74
2023-01-08 15:56:50,3.26,0.57,0.44
2023-01-08 15:56:49,3.26,0.57,0.44
2023-01-08 15:56:48,0,0,0.32
2023-01-08 15:56:47,0,0,0.32
2023-01-08 15:56:46,0,0,0.32
2023-01-08 15:56:45,0,0,0.32
2023-01-08 15:56:44,0,0,0.32
2023-01-08 15:56:43,0,0,0.32
2023-01-08 15:56:42,0,0,0.33
2023-01-08 15:56:41,0,0,0.33
2023-01-08 15:56:40,0,0,0.33
2023-01-08 15:56:39,0,0,0.33
2023-01-08 15:56:38,0,0,0.33
2023-01-08 15:56:37,0,0,0.33
2023-01-08 15:56:36,0,0,0.33
2023-01-08 15:56:35,0,0,0.33
2023-01-08 15:56:34,0,0,0.33
2023-01-08 15:56:33,0,0,0.33
2023-01-08 15:56:32,0,0,0.34
2023-01-08 15:56:31,0,0,0.34
2023-01-08 15:56:30,0,0,0.34
2023-01-08 15:56:29,0,0,0.34
2023-01-08 15:56:28,0,0,0.34
2023-01-08 15:56:27,0,0,0.34
2023-01-08 15:56:26,0,0,0.34
2023-01-08 15:56:25,0,0,0.34
2023-01-08 15:56:24,0,0,0.35
2023-01-08 15:56:23,0,0,0.35
2023-01-08 15:56:22,0,0,0.35
2023-01-08 15:56:21,0,0,0.35
2023-01-08 15:56:20,0,0,0.35
2023-01-08 15:56:19,0,0,0.35
2023-01-08 15:56:18,0,0,0.36
2023-01-08 15:56:17,0,0,0.36
2023-01-08 15:56:16,0,0,0.36
2023-01-08 15:56:15,0,0,0.36
