time,read,write
2023-01-08 15:58:21,0,0
2023-01-08 15:58:20,0,0
2023-01-08 15:58:19,0,0
2023-01-08 15:58:18,0,0
2023-01-08 15:58:17,0,0
2023-01-08 15:58:16,0,0
2023-01-08 15:58:15,0,0
2023-01-08 15:58:14,0,0
2023-01-08 15:58:13,0,0
2023-01-08 15:58:12,0,0
2023-01-08 15:58:11,0,0
2023-01-08 15:58:10,0,0
2023-01-08 15:58:09,0,0
2023-01-08 15:58:08,0,0
2023-01-08 15:58:07,0,0
2023-01-08 15:58:06,0,0
2023-01-08 15:58:05,0,0
2023-01-08 15:58:04,0,0
2023-01-08 15:58:03,0,0
2023-01-08 15:58:02,0,0
2023-01-08 15:58:01,0,-0.3000183
2023-01-08 15:58:00,0.6004295,-0.6999817
2023-01-08 15:57:59,1.3995705,0
2023-01-08 15:57:58,0.6014778,0
2023-01-08 15:57:57,1.3985222,-10.818381
2023-01-08 15:57:56,0,-25.18162
2023-01-08 15:57:55,0,0
2023-01-08 15:57:54,0,0
2023-01-08 15:57:53,0,0
2023-01-08 15:57:52,0,0
2023-01-08 15:57:51,0,-0.2998159
2023-01-08 15:57:50,0,-0.7001841
2023-01-08 15:57:49,0,0
2023-01-08 15:57:48,0,0
2023-01-08 15:57:47,0,0
2023-01-08 15:57:46,0,0
2023-01-08 15:57:45,0,0
2023-01-08 15:57:44,0,-0.3000717
2023-01-08 15:57:43,0,-0.6999283
2023-01-08 15:57:42,0,0
2023-01-08 15:57:41,0,0
2023-01-08 15:57:40,2.100927,0
2023-01-08 15:57:39,4.899073,-1.800169
2023-01-08 15:57:38,0,-4.199831
2023-01-08 15:57:37,0,-0.3000796
2023-01-08 15:57:36,0,-0.6999204
2023-01-08 15:57:35,0,0
2023-01-08 15:57:34,0,0
2023-01-08 15:57:33,0,0
2023-01-08 15:57:32,0,0
2023-01-08 15:57:31,0,0
2023-01-08 15:57:30,0,0
2023-01-08 15:57:29,0,-0.2998578
2023-01-08 15:57:28,0,-0.7001422
2023-01-08 15:57:27,0.9011835,0
2023-01-08 15:57:26,14.706469,-17.41057
2023-01-08 15:57:25,29.39235,-40.58943
2023-01-08 15:57:24,0,0
2023-01-08 15:57:23,0,0
2023-01-08 15:57:22,0,-0.2998522
2023-01-08 15:57:21,0,-0.7001478
2023-01-08 15:57:20,1.1995008,0
2023-01-08 15:57:19,6.398763,0
2023-01-08 15:57:18,8.401736,0
2023-01-08 15:57:17,0,0
2023-01-08 15:57:16,0,0
2023-01-08 15:57:15,0,-0.2998432
2023-01-08 15:57:14,0,-0.7001568
2023-01-08 15:57:13,0,0
2023-01-08 15:57:12,12.298265,0
2023-01-08 15:57:11,28.70173,0
2023-01-08 15:57:10,0,0
2023-01-08 15:57:09,0,-0.2999912
2023-01-08 15:57:08,0,-0.7000088
2023-01-08 15:57:07,0,0
2023-01-08 15:57:06,0,0
2023-01-08 15:57:05,0,0
2023-01-08 15:57:04,0,0
2023-01-08 15:57:03,0,0
2023-01-08 15:57:02,0,-0.3002057
2023-01-08 15:57:01,0,-0.6997943
2023-01-08 15:57:00,0,0
2023-01-08 15:56:59,0.2998533,0
2023-01-08 15:56:58,16.293981,0
2023-01-08 15:56:57,36.40617,0
2023-01-08 15:56:56,0,-1.799981
2023-01-08 15:56:55,0,-4.200019
2023-01-08 15:56:54,0,0
2023-01-08 15:56:53,1.806328,-0.3010546
2023-01-08 15:56:52,4.193672,-0.6989454
2023-01-08 15:56:51,4.798377,0
2023-01-08 15:56:50,158.48508,0
2023-01-08 15:56:49,343.7165,0
2023-01-08 15:56:48,0,0
