time,some 10,some 60,some 300
2023-01-08 15:29:27,2.72,4.36,1.43
2023-01-08 15:29:26,2.72,4.36,1.43
2023-01-08 15:29:25,3.32,4.5,1.44
2023-01-08 15:29:24,3.32,4.5,1.44
2023-01-08 15:29:23,4.05,4.66,1.45
2023-01-08 15:29:22,4.05,4.66,1.45
2023-01-08 15:29:21,4.96,4.8,1.46
2023-01-08 15:29:20,4.96,4.8,1.46
2023-01-08 15:29:19,6.06,4.98,1.47
2023-01-08 15:29:18,6.06,4.98,1.47
2023-01-08 15:29:17,7.4,5.15,1.48
2023-01-08 15:29:16,7.4,5.15,1.48
2023-01-08 15:29:15,9.03,5.32,1.49
2023-01-08 15:29:14,9.03,5.32,1.49
2023-01-08 15:29:13,11.04,5.5,1.5
2023-01-08 15:29:12,11.04,5.5,1.5
2023-01-08 15:29:11,7.29,4.74,1.32
2023-01-08 15:29:10,7.29,4.74,1.32
2023-01-08 15:29:09,8.9,4.9,1.33
2023-01-08 15:29:08,8.9,4.9,1.33
2023-01-08 15:29:07,10.87,5.07,1.34
2023-01-08 15:29:06,10.87,5.07,1.34
2023-01-08 15:29:05,7.53,4.36,1.17
2023-01-08 15:29:04,7.53,4.36,1.17
2023-01-08 15:29:03,9.19,4.51,1.18
2023-01-08 15:29:02,9.19,4.51,1.18
2023-01-08 15:29:01,9.24,4.34,1.12
2023-01-08 15:29:00,9.24,4.34,1.12
2023-01-08 15:28:59,8.85,4.13,1.06
2023-01-08 15:28:58,8.85,4.13,1.06
2023-01-08 15:28:57,10.81,4.26,1.06
2023-01-08 15:28:56,10.81,4.26,1.06
2023-01-08 15:28:55,8.11,3.64,0.91
2023-01-08 15:28:54,8.11,3.64,0.91
2023-01-08 15:28:53,9.91,3.76,0.92
2023-01-08 15:28:52,9.91,3.76,0.92
2023-01-08 15:28:51,6.79,3.07,0.76
2023-01-08 15:28:50,6.79,3.07,0.76
2023-01-08 15:28:49,8.3,3.18,0.76
2023-01-08 15:28:48,8.3,3.18,0.76
2023-01-08 15:28:47,10.13,3.29,0.77
2023-01-08 15:28:46,10.13,3.29,0.77
2023-01-08 15:28:45,8.17,2.75,0.64
2023-01-08 15:28:44,8.17,2.75,0.64
2023-01-08 15:28:43,9.98,2.85,0.65
2023-01-08 15:28:42,9.98,2.85,0.65
2023-01-08 15:28:41,6.66,2.1,0.48
2023-01-08 15:28:40,6.66,2.1,0.48
2023-01-08 15:28:39,8.13,2.17,0.48
2023-01-08 15:28:38,8.13,2.17,0.48
2023-01-08 15:28:37,5.95,1.63,0.36
2023-01-08 15:28:36,5.95,1.63,0.36
2023-01-08 15:28:35,5.72,1.45,0.32
2023-01-08 15:28:34,5.72,1.45,0.32
2023-01-08 15:28:33,6.99,1.5,0.32
2023-01-08 15:28:32,6.99,1.5,0.32
2023-01-08 15:28:31,3,0.71,0.15
2023-01-08 15:28:30,3,0.71,0.15
2023-01-08 15:28:29,3.67,0.73,0.15
2023-01-08 15:28:28,3.67,0.73,0.15
2023-01-08 15:28:27,2.71,0.49,0.1
2023-01-08 15:28:26,2.71,0.49,0.1
2023-01-08 15:28:25,0,0,0
2023-01-08 15:28:24,0,0,0
2023-01-08 15:28:23,0,0,0
2023-01-08 15:28:22,0,0,0
2023-01-08 15:28:21,0,0,0
2023-01-08 15:28:20,0,0,0
2023-01-08 15:28:19,0,0,0
2023-01-08 15:28:18,0,0,0
2023-01-08 15:28:17,0,0,0
2023-01-08 15:28:16,0,0,0
2023-01-08 15:28:15,0,0,0
2023-01-08 15:28:14,0,0,0
2023-01-08 15:28:13,0,0,0
2023-01-08 15:28:12,0,0,0
2023-01-08 15:28:11,0,0,0
2023-01-08 15:28:10,0,0,0
2023-01-08 15:28:09,0,0,0
2023-01-08 15:28:08,0,0,0
2023-01-08 15:28:07,0,0,0
2023-01-08 15:28:06,0,0,0
2023-01-08 15:28:05,0,0,0
2023-01-08 15:28:04,0,0,0
2023-01-08 15:28:03,0,0,0
2023-01-08 15:28:02,0,0,0
2023-01-08 15:28:01,0,0,0
2023-01-08 15:28:00,0,0,0
2023-01-08 15:27:59,0,0,0
2023-01-08 15:27:58,0,0,0
2023-01-08 15:27:57,0,0,0
2023-01-08 15:27:56,0,0,0
2023-01-08 15:27:55,0,0,0
2023-01-08 15:27:54,0,0,0
2023-01-08 15:27:53,0,0,0
2023-01-08 15:27:52,0,0,0
2023-01-08 15:27:51,0,0,0
2023-01-08 15:27:50,0,0,0
2023-01-08 15:27:49,0,0,0
2023-01-08 15:27:48,0,0,0
2023-01-08 15:27:47,0,0,0
2023-01-08 15:27:46,0,0,0
2023-01-08 15:27:45,0,0,0
2023-01-08 15:27:44,0,0,0
2023-01-08 15:27:43,0,0,0
2023-01-08 15:27:42,0,0,0
2023-01-08 15:27:41,0,0,0
2023-01-08 15:27:40,0,0,0
2023-01-08 15:27:39,0,0,0
2023-01-08 15:27:38,0,0,0
2023-01-08 15:27:37,0,0,0
2023-01-08 15:27:36,0,0,0
2023-01-08 15:27:35,0,0,0
2023-01-08 15:27:34,0,0,0
2023-01-08 15:27:33,0,0,0
2023-01-08 15:27:32,0,0,0
2023-01-08 15:27:31,0,0,0
2023-01-08 15:27:30,0,0,0
2023-01-08 15:27:29,0,0,0
2023-01-08 15:27:28,0,0,0
