time,read,write
2023-01-08 15:29:27,0,0
2023-01-08 15:29:26,0,0
2023-01-08 15:29:25,0,0
2023-01-08 15:29:24,0,0
2023-01-08 15:29:23,0,0
2023-01-08 15:29:22,0,0
2023-01-08 15:29:21,0,0
2023-01-08 15:29:20,0,0
2023-01-08 15:29:19,0,0
2023-01-08 15:29:18,0,0
2023-01-08 15:29:17,0,0
2023-01-08 15:29:16,0,0
2023-01-08 15:29:15,0,0
2023-01-08 15:29:14,0,0
2023-01-08 15:29:13,0,-1.2003413
2023-01-08 15:29:12,0,-2.799659
2023-01-08 15:29:11,0,0
2023-01-08 15:29:10,0,0
2023-01-08 15:29:09,0,0
2023-01-08 15:29:08,0,0
2023-01-08 15:29:07,0,-1.1992843
2023-01-08 15:29:06,4.797735,-6.399017
2023-01-08 15:29:05,11.202265,-8.401699
2023-01-08 15:29:04,0,0
2023-01-08 15:29:03,0,0
2023-01-08 15:29:02,0,-1.2003398
2023-01-08 15:29:01,4.804801,-2.79966
2023-01-08 15:29:00,11.195199,0
2023-01-08 15:28:59,0,0
2023-01-08 15:28:58,0,-1.1999096
2023-01-08 15:28:57,0,-2.80009
2023-01-08 15:28:56,0,0
2023-01-08 15:28:55,0,0
2023-01-08 15:28:54,0,0
2023-01-08 15:28:53,0,-12.002351
2023-01-08 15:28:52,0,-27.99765
2023-01-08 15:28:51,0,0
2023-01-08 15:28:50,0,0
2023-01-08 15:28:49,0,0
2023-01-08 15:28:48,0,-3.597301
2023-01-08 15:28:47,0,-8.402699
2023-01-08 15:28:46,0,0
2023-01-08 15:28:45,0,0
2023-01-08 15:28:44,0,0
2023-01-08 15:28:43,0,-1.1993065
2023-01-08 15:28:42,9.594162,-5.199234
2023-01-08 15:28:41,22.40584,-5.601459
2023-01-08 15:28:40,0,0
2023-01-08 15:28:39,0,0
2023-01-08 15:28:38,0,-1.2031178
2023-01-08 15:28:37,4.833943,-4.005368
2023-01-08 15:28:36,11.166057,-2.791514
2023-01-08 15:28:35,0,0
2023-01-08 15:28:34,0,0
2023-01-08 15:28:33,0,-1.2000072
2023-01-08 15:28:32,943.9643,-8.804855
2023-01-08 15:28:31,2200.036,-13.995138
2023-01-08 15:28:30,0,0
2023-01-08 15:28:29,0,0
2023-01-08 15:28:28,68.60315,-1.2035641
2023-01-08 15:28:27,5385.574,-2.796436
2023-01-08 15:28:26,12189.823,0
2023-01-08 15:28:25,0,0
2023-01-08 15:28:24,0,0
2023-01-08 15:28:23,0,0
2023-01-08 15:28:22,0,0
2023-01-08 15:28:21,0,0
2023-01-08 15:28:20,0,0
2023-01-08 15:28:19,0,0
2023-01-08 15:28:18,0,0
2023-01-08 15:28:17,0,0
2023-01-08 15:28:16,0,0
2023-01-08 15:28:15,0,0
2023-01-08 15:28:14,0,0
2023-01-08 15:28:13,0,0
2023-01-08 15:28:12,0,0
2023-01-08 15:28:11,0,0
2023-01-08 15:28:10,0,0
2023-01-08 15:28:09,0,0
2023-01-08 15:28:08,0,0
2023-01-08 15:28:07,0,0
2023-01-08 15:28:06,0,0
2023-01-08 15:28:05,0,0
2023-01-08 15:28:04,0,0
2023-01-08 15:28:03,0,0
2023-01-08 15:28:02,0,0
2023-01-08 15:28:01,0,0
2023-01-08 15:28:00,0,0
2023-01-08 15:27:59,0,0
2023-01-08 15:27:58,0,0
2023-01-08 15:27:57,0,0
2023-01-08 15:27:56,0,0
2023-01-08 15:27:55,0,0
2023-01-08 15:27:54,0,0
2023-01-08 15:27:53,0,0
2023-01-08 15:27:52,0,0
2023-01-08 15:27:51,0,0
2023-01-08 15:27:50,0,0
2023-01-08 15:27:49,0,0
2023-01-08 15:27:48,0,0
2023-01-08 15:27:47,0,0
2023-01-08 15:27:46,0,0
2023-01-08 15:27:45,0,0
2023-01-08 15:27:44,0,0
2023-01-08 15:27:43,0,0
2023-01-08 15:27:42,0,0
2023-01-08 15:27:41,0,0
2023-01-08 15:27:40,0,0
2023-01-08 15:27:39,0,0
2023-01-08 15:27:38,0,0
2023-01-08 15:27:37,0,0
2023-01-08 15:27:36,0,0
2023-01-08 15:27:35,0,0
2023-01-08 15:27:34,0,0
2023-01-08 15:27:33,0,0
2023-01-08 15:27:32,0,0
2023-01-08 15:27:31,0,0
2023-01-08 15:27:30,0,0
2023-01-08 15:27:29,0,0
2023-01-08 15:27:28,0,0
