time,utilization
2023-01-08 15:29:27,1
2023-01-08 15:29:26,1
2023-01-08 15:29:25,1
2023-01-08 15:29:24,1
2023-01-08 15:29:23,1
2023-01-08 15:29:22,1
2023-01-08 15:29:21,1
2023-01-08 15:29:20,1
2023-01-08 15:29:19,1
2023-01-08 15:29:18,1
2023-01-08 15:29:17,1
2023-01-08 15:29:16,1
2023-01-08 15:29:15,1
2023-01-08 15:29:14,1
2023-01-08 15:29:13,1
2023-01-08 15:29:12,1
2023-01-08 15:29:11,2
2023-01-08 15:29:10,0
2023-01-08 15:29:09,0
2023-01-08 15:29:08,0
2023-01-08 15:29:07,0
2023-01-08 15:29:06,0
2023-01-08 15:29:05,4
2023-01-08 15:29:04,0
2023-01-08 15:29:03,0
2023-01-08 15:29:02,0
2023-01-08 15:29:01,0
2023-01-08 15:29:00,2
2023-01-08 15:28:59,0
2023-01-08 15:28:58,0
2023-01-08 15:28:57,0
2023-01-08 15:28:56,2
2023-01-08 15:28:55,1
2023-01-08 15:28:54,0
2023-01-08 15:28:53,0
2023-01-08 15:28:52,0
2023-01-08 15:28:51,2
2023-01-08 15:28:50,0
2023-01-08 15:28:49,0
2023-01-08 15:28:48,0
2023-01-08 15:28:47,0
2023-01-08 15:28:46,2
2023-01-08 15:28:45,1
2023-01-08 15:28:44,0
2023-01-08 15:28:43,0
2023-01-08 15:28:42,0
2023-01-08 15:28:41,2
2023-01-08 15:28:40,0
2023-01-08 15:28:39,0
2023-01-08 15:28:38,0
2023-01-08 15:28:37,0
2023-01-08 15:28:36,2
2023-01-08 15:28:35,0
2023-01-08 15:28:34,0
2023-01-08 15:28:33,0
2023-01-08 15:28:32,0
2023-01-08 15:28:31,3
2023-01-08 15:28:30,0
2023-01-08 15:28:29,0
2023-01-08 15:28:28,0
2023-01-08 15:28:27,0
2023-01-08 15:28:26,2
2023-01-08 15:28:25,0
2023-01-08 15:28:24,0
2023-01-08 15:28:23,0
2023-01-08 15:28:22,0
2023-01-08 15:28:21,0
2023-01-08 15:28:20,0
2023-01-08 15:28:19,0
2023-01-08 15:28:18,0
2023-01-08 15:28:17,0
2023-01-08 15:28:16,0
2023-01-08 15:28:15,0
2023-01-08 15:28:14,0
2023-01-08 15:28:13,0
2023-01-08 15:28:12,0
2023-01-08 15:28:11,0
2023-01-08 15:28:10,0
2023-01-08 15:28:09,0
2023-01-08 15:28:08,0
2023-01-08 15:28:07,0
2023-01-08 15:28:06,0
2023-01-08 15:28:05,0
2023-01-08 15:28:04,0
2023-01-08 15:28:03,0
2023-01-08 15:28:02,0
2023-01-08 15:28:01,0
2023-01-08 15:28:00,0
2023-01-08 15:27:59,0
2023-01-08 15:27:58,0
2023-01-08 15:27:57,0
2023-01-08 15:27:56,0
2023-01-08 15:27:55,0
2023-01-08 15:27:54,0
2023-01-08 15:27:53,0
2023-01-08 15:27:52,0
2023-01-08 15:27:51,0
2023-01-08 15:27:50,0
2023-01-08 15:27:49,0
2023-01-08 15:27:48,0
2023-01-08 15:27:47,0
2023-01-08 15:27:46,0
2023-01-08 15:27:45,0
2023-01-08 15:27:44,0
2023-01-08 15:27:43,0
2023-01-08 15:27:42,0
2023-01-08 15:27:41,0
2023-01-08 15:27:40,0
2023-01-08 15:27:39,0
2023-01-08 15:27:38,0
2023-01-08 15:27:37,0
2023-01-08 15:27:36,0
2023-01-08 15:27:35,0
2023-01-08 15:27:34,0
2023-01-08 15:27:33,0
2023-01-08 15:27:32,0
2023-01-08 15:27:31,0
2023-01-08 15:27:30,0
2023-01-08 15:27:29,0
2023-01-08 15:27:28,0
