time,user,system
2023-01-07 16:59:07,0,0
2023-01-07 16:59:06,0,0
2023-01-07 16:59:05,0,0
2023-01-07 16:59:04,0,0
2023-01-07 16:59:03,0,0
2023-01-07 16:59:02,0,0
2023-01-07 16:59:01,0,0
2023-01-07 16:59:00,0,0
2023-01-07 16:58:59,0,0
2023-01-07 16:58:58,0,0
2023-01-07 16:58:57,0,0
2023-01-07 16:58:56,0,0
2023-01-07 16:58:55,0,0
2023-01-07 16:58:54,0,0
2023-01-07 16:58:53,0,0
2023-01-07 16:58:52,0,0
2023-01-07 16:58:51,0,0
2023-01-07 16:58:50,0,0
2023-01-07 16:58:49,0,0
2023-01-07 16:58:48,0,0
2023-01-07 16:58:47,0,0
2023-01-07 16:58:46,0,0
2023-01-07 16:58:45,0,0
2023-01-07 16:58:44,0,0
2023-01-07 16:58:43,48.81977,4.417328
2023-01-07 16:58:42,227.0843,12.840147
2023-01-07 16:58:41,356.6147,2.820362
2023-01-07 16:58:40,364.5726,1.1171831
2023-01-07 16:58:39,358.5376,1.738081
2023-01-07 16:58:38,360.5049,2.799475
2023-01-07 16:58:37,355.7968,4.651151
2023-01-07 16:58:36,355.0939,1.5608115
2023-01-07 16:58:35,343.371,1.4167001
2023-01-07 16:58:34,370.0674,1.6696157
2023-01-07 16:58:33,364.3835,3.141859
2023-01-07 16:58:32,353.9315,4.446436
2023-01-07 16:58:31,358.1387,5.282401
2023-01-07 16:58:30,357.9052,6.458615
2023-01-07 16:58:29,352.2735,8.085383
2023-01-07 16:58:28,360.7604,5.209423
2023-01-07 16:58:27,352.7296,6.880018
2023-01-07 16:58:26,359.7921,7.103633
2023-01-07 16:58:25,359.511,6.833401
2023-01-07 16:58:24,363.1895,6.635526
2023-01-07 16:58:23,361.6395,7.334904
2023-01-07 16:58:22,362.2655,6.808509
2023-01-07 16:58:21,360.3337,8.027813
2023-01-07 16:58:20,355.4051,6.639833
2023-01-07 16:58:19,345.1122,6.916165
2023-01-07 16:58:18,356.034,6.658898
2023-01-07 16:58:17,359.2907,6.601123
2023-01-07 16:58:16,361.8876,7.228677
2023-01-07 16:58:15,360.2827,8.522391
2023-01-07 16:58:14,362.6389,5.607484
2023-01-07 16:58:13,358.3069,3.020527
2023-01-07 16:58:12,369.0876,1.763707
2023-01-07 16:58:11,367.5005,2.018924
2023-01-07 16:58:10,364.3841,4.534994
2023-01-07 16:58:09,365.769,3.129191
2023-01-07 16:58:08,366.3822,3.010093
2023-01-07 16:58:07,367.8532,2.086791
2023-01-07 16:58:06,341.508,13.201483
2023-01-07 16:58:05,227.7821,36.95021
2023-01-07 16:58:04,69.76311,10.846258
2023-01-07 16:58:03,0.0044435,0.0000728
2023-01-07 16:58:02,0,0
2023-01-07 16:58:01,0,0
2023-01-07 16:58:00,0,0
2023-01-07 16:57:59,0,0
2023-01-07 16:57:58,0,0
2023-01-07 16:57:57,0,0
2023-01-07 16:57:56,0,0
2023-01-07 16:57:55,74.01057,5.241135
2023-01-07 16:57:54,298.4885,14.547002
2023-01-07 16:57:53,364.9389,1.997699
2023-01-07 16:57:52,362.4862,2.197656
2023-01-07 16:57:51,366.1633,1.0236143
2023-01-07 16:57:50,353.3066,1.5341098
2023-01-07 16:57:49,338.368,1.2172351
2023-01-07 16:57:48,357.5179,1.5162912
2023-01-07 16:57:47,350.6293,2.296318
2023-01-07 16:57:46,356.8063,3.48152
2023-01-07 16:57:45,345.7523,2.95621
2023-01-07 16:57:44,331.0306,0.8880931
2023-01-07 16:57:43,359.5853,0.6800116
2023-01-07 16:57:42,359.7749,1.0851454
2023-01-07 16:57:41,341.2204,3.909189
2023-01-07 16:57:40,332.7757,6.547927
2023-01-07 16:57:39,287.4099,0.9972853
2023-01-07 16:57:38,243.2779,1.0614163
2023-01-07 16:57:37,304.9851,2.92959
2023-01-07 16:57:36,289.043,5.186365
2023-01-07 16:57:35,266.5734,2.274015
2023-01-07 16:57:34,275.0166,2.473406
2023-01-07 16:57:33,318.1833,1.0810735
2023-01-07 16:57:32,282.6642,1.982693
2023-01-07 16:57:31,296.4346,2.01595
2023-01-07 16:57:30,300.9355,2.682528
2023-01-07 16:57:29,318.3458,2.325849
2023-01-07 16:57:28,287.6082,1.5206022
2023-01-07 16:57:27,364.0541,2.36322
2023-01-07 16:57:26,361.5621,1.4834613
2023-01-07 16:57:25,365.5767,2.471189
2023-01-07 16:57:24,367.5672,2.424307
2023-01-07 16:57:23,362.4504,2.611198
2023-01-07 16:57:22,365.5201,2.071548
2023-01-07 16:57:21,365.067,2.884006
2023-01-07 16:57:20,364.6902,2.833399
2023-01-07 16:57:19,364.691,3.747739
2023-01-07 16:57:18,360.911,5.336357
2023-01-07 16:57:17,352.4879,7.872049
2023-01-07 16:57:16,290.8466,20.58337
2023-01-07 16:57:15,111.14032,32.21013
2023-01-07 16:57:14,0,0
2023-01-07 16:57:13,0,0
2023-01-07 16:57:12,0,0
2023-01-07 16:57:11,0,0
2023-01-07 16:57:10,0,0
2023-01-07 16:57:09,0.0013275,0.0000271
2023-01-07 16:57:08,0.0035725,0.0000729
2023-01-07 16:57:07,0,0
2023-01-07 16:57:06,38.97556,4.277098
2023-01-07 16:57:05,192.5661,11.8899
2023-01-07 16:57:04,317.9593,1.2408549
2023-01-07 16:57:03,303.584,1.0516104
2023-01-07 16:57:02,302.6126,2.169184
2023-01-07 16:57:01,297.2661,2.079814
2023-01-07 16:57:00,289.6948,0.6782382
2023-01-07 16:56:59,284.386,0.7236119
2023-01-07 16:56:58,345.5922,0.6729167
2023-01-07 16:56:57,353.824,0.9022646
2023-01-07 16:56:56,314.6334,2.576768
2023-01-07 16:56:55,309.6848,3.720373
2023-01-07 16:56:54,333.8605,1.2981932
2023-01-07 16:56:53,298.8149,2.907857
2023-01-07 16:56:52,272.3529,0.8363753
2023-01-07 16:56:51,309.8591,1.5738119
2023-01-07 16:56:50,356.3469,1.896323
2023-01-07 16:56:49,361.0898,1.5046291
2023-01-07 16:56:48,369.6851,1.1069139
2023-01-07 16:56:47,368.5662,1.3390738
