time,time
2023-01-07 16:59:07,0
2023-01-07 16:59:06,0
2023-01-07 16:59:05,0
2023-01-07 16:59:04,0
2023-01-07 16:59:03,0
2023-01-07 16:59:02,0
2023-01-07 16:59:01,0
2023-01-07 16:59:00,0
2023-01-07 16:58:59,0
2023-01-07 16:58:58,0
2023-01-07 16:58:57,0
2023-01-07 16:58:56,0
2023-01-07 16:58:55,0
2023-01-07 16:58:54,0
2023-01-07 16:58:53,0
2023-01-07 16:58:52,0
2023-01-07 16:58:51,0
2023-01-07 16:58:50,0
2023-01-07 16:58:49,0
2023-01-07 16:58:48,0
2023-01-07 16:58:47,0
2023-01-07 16:58:46,0
2023-01-07 16:58:45,0
2023-01-07 16:58:44,0
2023-01-07 16:58:43,14.645059
2023-01-07 16:58:42,66.81628
2023-01-07 16:58:41,93.63758
2023-01-07 16:58:40,80.2264
2023-01-07 16:58:39,92.6813
2023-01-07 16:58:38,85.34487
2023-01-07 16:58:37,92.12937
2023-01-07 16:58:36,99.08613
2023-01-07 16:58:35,128.84157
2023-01-07 16:58:34,64.54917
2023-01-07 16:58:33,75.80675
2023-01-07 16:58:32,97.91286
2023-01-07 16:58:31,83.22149
2023-01-07 16:58:30,81.53787
2023-01-07 16:58:29,94.92398
2023-01-07 16:58:28,79.48677
2023-01-07 16:58:27,95.15607
2023-01-07 16:58:26,84.02944
2023-01-07 16:58:25,95.66312
2023-01-07 16:58:24,74.36089
2023-01-07 16:58:23,70.30171
2023-01-07 16:58:22,71.51513
2023-01-07 16:58:21,73.34314
2023-01-07 16:58:20,88.53352
2023-01-07 16:58:19,116.16331
2023-01-07 16:58:18,86.695
2023-01-07 16:58:17,79.68494
2023-01-07 16:58:16,72.1291
2023-01-07 16:58:15,71.99563
2023-01-07 16:58:14,72.99761
2023-01-07 16:58:13,88.83615
2023-01-07 16:58:12,67.80042
2023-01-07 16:58:11,71.073
2023-01-07 16:58:10,73.46811
2023-01-07 16:58:09,71.83627
2023-01-07 16:58:08,70.36711
2023-01-07 16:58:07,74.13459
2023-01-07 16:58:06,117.5168
2023-01-07 16:58:05,173.1175
2023-01-07 16:58:04,79.43395
2023-01-07 16:58:03,0
2023-01-07 16:58:02,0
2023-01-07 16:58:01,0
2023-01-07 16:58:00,0
2023-01-07 16:57:59,0
2023-01-07 16:57:58,0
2023-01-07 16:57:57,0
2023-01-07 16:57:56,0
2023-01-07 16:57:55,20.0835
2023-01-07 16:57:54,74.32828
2023-01-07 16:57:53,78.00694
2023-01-07 16:57:52,82.73805
2023-01-07 16:57:51,76.72109
2023-01-07 16:57:50,106.25752
2023-01-07 16:57:49,145.12102
2023-01-07 16:57:48,96.2412
2023-01-07 16:57:47,108.00228
2023-01-07 16:57:46,91.88633
2023-01-07 16:57:45,120.97298
2023-01-07 16:57:44,161.08266
2023-01-07 16:57:43,91.55304
2023-01-07 16:57:42,93.9025
2023-01-07 16:57:41,133.7531
2023-01-07 16:57:40,142.04348
2023-01-07 16:57:39,255.7749
2023-01-07 16:57:38,350.5495
2023-01-07 16:57:37,227.5649
2023-01-07 16:57:36,258.4765
2023-01-07 16:57:35,310.8542
2023-01-07 16:57:34,283.9817
2023-01-07 16:57:33,194.7097
2023-01-07 16:57:32,274.2429
2023-01-07 16:57:31,231.9631
2023-01-07 16:57:30,218.4871
2023-01-07 16:57:29,181.0454
2023-01-07 16:57:28,259.2384
2023-01-07 16:57:27,76.77521
2023-01-07 16:57:26,86.14609
2023-01-07 16:57:25,74.91463
2023-01-07 16:57:24,68.36209
2023-01-07 16:57:23,78.88743
2023-01-07 16:57:22,75.97107
2023-01-07 16:57:21,76.03569
2023-01-07 16:57:20,74.9141
2023-01-07 16:57:19,72.82471
2023-01-07 16:57:18,79.90206
2023-01-07 16:57:17,104.13792
2023-01-07 16:57:16,156.2428
2023-01-07 16:57:15,157.30409
2023-01-07 16:57:14,0
2023-01-07 16:57:13,0
2023-01-07 16:57:12,0
2023-01-07 16:57:11,0
2023-01-07 16:57:10,0
2023-01-07 16:57:09,0
2023-01-07 16:57:08,0
2023-01-07 16:57:07,0
2023-01-07 16:57:06,32.54977
2023-01-07 16:57:05,134.72327
2023-01-07 16:57:04,189.8865
2023-01-07 16:57:03,228.1564
2023-01-07 16:57:02,223.9128
2023-01-07 16:57:01,238.3529
2023-01-07 16:57:00,256.6702
2023-01-07 16:56:59,267.5108
2023-01-07 16:56:58,124.17948
2023-01-07 16:56:57,104.17586
2023-01-07 16:56:56,191.8307
2023-01-07 16:56:55,200.8982
2023-01-07 16:56:54,145.61144
2023-01-07 16:56:53,228.253
2023-01-07 16:56:52,297.648
2023-01-07 16:56:51,208.7318
2023-01-07 16:56:50,95.44675
2023-01-07 16:56:49,86.13384
2023-01-07 16:56:48,70.71828
2023-01-07 16:56:47,81.36743
2023-01-07 16:56:46,71.71124
2023-01-07 16:56:45,76.54549
2023-01-07 16:56:44,74.09486
2023-01-07 16:56:43,78.48874
2023-01-07 16:56:42,62.08818
2023-01-07 16:56:41,65.52749
2023-01-07 16:56:40,65.09912
2023-01-07 16:56:39,61.89962
2023-01-07 16:56:38,63.98782
2023-01-07 16:56:37,58.74534
2023-01-07 16:56:36,86.13197
2023-01-07 16:56:35,116.87666
2023-01-07 16:56:34,62.33763
2023-01-07 16:56:33,75.46054
2023-01-07 16:56:32,59.06887
2023-01-07 16:56:31,63.92828
2023-01-07 16:56:30,67.64154
2023-01-07 16:56:29,119.15416
2023-01-07 16:56:28,230.08
2023-01-07 16:56:27,169.3046
2023-01-07 16:56:26,198.0704
2023-01-07 16:56:25,0
2023-01-07 16:56:24,0
2023-01-07 16:56:23,0
2023-01-07 16:56:22,0
2023-01-07 16:56:21,0
2023-01-07 16:56:20,39.14616
2023-01-07 16:56:19,168.4336
2023-01-07 16:56:18,213.1778
2023-01-07 16:56:17,163.03658
2023-01-07 16:56:16,209.8795
2023-01-07 16:56:15,312.7017
2023-01-07 16:56:14,241.8951
2023-01-07 16:56:13,98.43066
2023-01-07 16:56:12,91.42103
2023-01-07 16:56:11,87.16989
2023-01-07 16:56:10,95.98432
2023-01-07 16:56:09,99.39447
2023-01-07 16:56:08,120.14514
2023-01-07 16:56:07,215.9523
2023-01-07 16:56:06,223.3783
2023-01-07 16:56:05,159.11738
2023-01-07 16:56:04,80.02288
2023-01-07 16:56:03,112.44704
2023-01-07 16:56:02,124.91164
2023-01-07 16:56:01,106.17621
2023-01-07 16:56:00,117.96859
2023-01-07 16:55:59,85.29112
2023-01-07 16:55:58,71.08811
2023-01-07 16:55:57,72.07482
2023-01-07 16:55:56,79.22882
2023-01-07 16:55:55,110.86879
2023-01-07 16:55:54,103.42492
2023-01-07 16:55:53,92.35786
2023-01-07 16:55:52,97.10753
2023-01-07 16:55:51,105.65326
2023-01-07 16:55:50,107.14421
2023-01-07 16:55:49,67.29101
2023-01-07 16:55:48,61.638
2023-01-07 16:55:47,64.10391
2023-01-07 16:55:46,60.06471
2023-01-07 16:55:45,67.04927
2023-01-07 16:55:44,76.64223
2023-01-07 16:55:43,74.0967
2023-01-07 16:55:42,120.01736
2023-01-07 16:55:41,237.0016
2023-01-07 16:55:40,176.0654
2023-01-07 16:55:39,0
2023-01-07 16:55:38,0
2023-01-07 16:55:37,0
2023-01-07 16:55:36,0
2023-01-07 16:55:35,0
2023-01-07 16:55:34,0
2023-01-07 16:55:33,0
2023-01-07 16:55:32,0
