time,some 10,some 60,some 300
2023-01-07 16:59:07,0.69,6.11,7.02
2023-01-07 16:59:06,0.85,6.31,7.06
2023-01-07 16:59:05,0.85,6.31,7.06
2023-01-07 16:59:04,1.04,6.53,7.11
2023-01-07 16:59:03,1.04,6.53,7.11
2023-01-07 16:59:02,1.27,6.75,7.16
2023-01-07 16:59:01,1.27,6.75,7.16
2023-01-07 16:59:00,1.55,6.98,7.21
2023-01-07 16:58:59,1.55,6.98,7.21
2023-01-07 16:58:58,1.89,7.21,7.26
2023-01-07 16:58:57,1.89,7.21,7.26
2023-01-07 16:58:56,2.31,7.46,7.31
2023-01-07 16:58:55,2.31,7.46,7.31
2023-01-07 16:58:54,2.82,7.71,7.36
2023-01-07 16:58:53,2.82,7.71,7.36
2023-01-07 16:58:52,3.45,7.97,7.41
2023-01-07 16:58:51,3.45,7.97,7.41
2023-01-07 16:58:50,4.21,8.24,7.47
2023-01-07 16:58:49,4.21,8.24,7.47
2023-01-07 16:58:48,5.15,8.52,7.52
2023-01-07 16:58:47,5.15,8.52,7.52
2023-01-07 16:58:46,6.29,8.81,7.57
2023-01-07 16:58:45,6.29,8.81,7.57
2023-01-07 16:58:44,7.68,9.11,7.62
2023-01-07 16:58:43,7.68,9.11,7.62
2023-01-07 16:58:42,8.27,9.25,7.64
2023-01-07 16:58:41,8.27,9.25,7.64
2023-01-07 16:58:40,8.34,9.28,7.64
2023-01-07 16:58:39,8.34,9.28,7.64
2023-01-07 16:58:38,8.41,9.34,7.64
2023-01-07 16:58:37,8.41,9.34,7.64
2023-01-07 16:58:36,7.62,9.25,7.6
2023-01-07 16:58:35,7.62,9.25,7.6
2023-01-07 16:58:34,7.98,9.36,7.62
2023-01-07 16:58:33,7.98,9.36,7.62
2023-01-07 16:58:32,7.76,9.36,7.61
2023-01-07 16:58:31,7.76,9.36,7.61
2023-01-07 16:58:30,7.92,9.44,7.61
2023-01-07 16:58:29,7.92,9.44,7.61
2023-01-07 16:58:28,7.69,9.46,7.6
2023-01-07 16:58:27,7.69,9.46,7.6
2023-01-07 16:58:26,7.62,9.51,7.6
2023-01-07 16:58:25,7.62,9.51,7.6
2023-01-07 16:58:24,7.53,9.57,7.6
2023-01-07 16:58:23,7.53,9.57,7.6
2023-01-07 16:58:22,7.65,9.65,7.6
2023-01-07 16:58:21,7.65,9.65,7.6
2023-01-07 16:58:20,7.8,9.74,7.6
2023-01-07 16:58:19,7.8,9.74,7.6
2023-01-07 16:58:18,7.09,9.69,7.58
2023-01-07 16:58:17,7.09,9.69,7.58
2023-01-07 16:58:16,7.11,9.78,7.58
2023-01-07 16:58:15,7.11,9.78,7.58
2023-01-07 16:58:14,6.92,9.85,7.58
2023-01-07 16:58:13,6.92,9.85,7.58
2023-01-07 16:58:12,7.12,9.98,7.59
2023-01-07 16:58:11,7.12,9.98,7.59
2023-01-07 16:58:10,7.15,10.09,7.6
2023-01-07 16:58:09,7.15,10.09,7.6
2023-01-07 16:58:08,7.41,10.22,7.61
2023-01-07 16:58:07,7.41,10.22,7.61
2023-01-07 16:58:06,7.06,10.27,7.6
2023-01-07 16:58:05,7.06,10.27,7.6
2023-01-07 16:58:04,5.08,10.07,7.54
2023-01-07 16:58:03,5.08,10.07,7.54
2023-01-07 16:58:02,6.21,10.41,7.59
2023-01-07 16:58:01,6.21,10.41,7.59
2023-01-07 16:58:00,7.58,10.77,7.65
2023-01-07 16:57:59,7.58,10.77,7.65
2023-01-07 16:57:58,9.26,11.13,7.7
2023-01-07 16:57:57,9.26,11.13,7.7
2023-01-07 16:57:56,11.31,11.51,7.75
2023-01-07 16:57:55,11.31,11.51,7.75
2023-01-07 16:57:54,12.71,11.73,7.77
2023-01-07 16:57:53,12.71,11.73,7.77
2023-01-07 16:57:52,13.75,11.86,7.77
2023-01-07 16:57:51,13.75,11.86,7.77
2023-01-07 16:57:50,14.37,11.89,7.75
2023-01-07 16:57:49,14.37,11.89,7.75
2023-01-07 16:57:48,15.33,11.95,7.73
2023-01-07 16:57:47,15.33,11.95,7.73
2023-01-07 16:57:46,16.73,12.05,7.72
2023-01-07 16:57:45,16.73,12.05,7.72
2023-01-07 16:57:44,17.55,12.02,7.69
