time,utilization
2023-01-07 16:59:07,0
2023-01-07 16:59:06,0
2023-01-07 16:59:05,0
2023-01-07 16:59:04,0
2023-01-07 16:59:03,0
2023-01-07 16:59:02,0
2023-01-07 16:59:01,0
2023-01-07 16:59:00,0
2023-01-07 16:58:59,0
2023-01-07 16:58:58,0
2023-01-07 16:58:57,0
2023-01-07 16:58:56,0
2023-01-07 16:58:55,0
2023-01-07 16:58:54,0
2023-01-07 16:58:53,0
2023-01-07 16:58:52,0
2023-01-07 16:58:51,0
2023-01-07 16:58:50,0
2023-01-07 16:58:49,0
2023-01-07 16:58:48,0
2023-01-07 16:58:47,0
2023-01-07 16:58:46,0
2023-01-07 16:58:45,0
2023-01-07 16:58:44,0
2023-01-07 16:58:43,0
2023-01-07 16:58:42,0
2023-01-07 16:58:41,39
2023-01-07 16:58:40,39
2023-01-07 16:58:39,39
2023-01-07 16:58:38,39
2023-01-07 16:58:37,39
2023-01-07 16:58:36,39
2023-01-07 16:58:35,39
2023-01-07 16:58:34,39
2023-01-07 16:58:33,39
2023-01-07 16:58:32,39
2023-01-07 16:58:31,39
2023-01-07 16:58:30,39
2023-01-07 16:58:29,39
2023-01-07 16:58:28,38
2023-01-07 16:58:27,38
2023-01-07 16:58:26,38
2023-01-07 16:58:25,38
2023-01-07 16:58:24,37
2023-01-07 16:58:23,37
2023-01-07 16:58:22,37
2023-01-07 16:58:21,37
2023-01-07 16:58:20,36
2023-01-07 16:58:19,36
2023-01-07 16:58:18,36
2023-01-07 16:58:17,35
2023-01-07 16:58:16,35
2023-01-07 16:58:15,35
2023-01-07 16:58:14,35
2023-01-07 16:58:13,35
2023-01-07 16:58:12,34
2023-01-07 16:58:11,33
2023-01-07 16:58:10,33
2023-01-07 16:58:09,32
2023-01-07 16:58:08,31
2023-01-07 16:58:07,30
2023-01-07 16:58:06,29
2023-01-07 16:58:05,29
2023-01-07 16:58:04,6
2023-01-07 16:58:03,0
2023-01-07 16:58:02,0
2023-01-07 16:58:01,0
2023-01-07 16:58:00,0
2023-01-07 16:57:59,0
2023-01-07 16:57:58,0
2023-01-07 16:57:57,0
2023-01-07 16:57:56,0
2023-01-07 16:57:55,0
2023-01-07 16:57:54,0
2023-01-07 16:57:53,39
2023-01-07 16:57:52,39
2023-01-07 16:57:51,39
2023-01-07 16:57:50,39
2023-01-07 16:57:49,39
2023-01-07 16:57:48,39
2023-01-07 16:57:47,39
2023-01-07 16:57:46,39
2023-01-07 16:57:45,39
2023-01-07 16:57:44,39
2023-01-07 16:57:43,39
2023-01-07 16:57:42,39
2023-01-07 16:57:41,39
2023-01-07 16:57:40,39
2023-01-07 16:57:39,38
2023-01-07 16:57:38,38
2023-01-07 16:57:37,39
2023-01-07 16:57:36,39
2023-01-07 16:57:35,38
2023-01-07 16:57:34,39
2023-01-07 16:57:33,38
2023-01-07 16:57:32,38
2023-01-07 16:57:31,38
2023-01-07 16:57:30,37
2023-01-07 16:57:29,37
2023-01-07 16:57:28,36
2023-01-07 16:57:27,36
2023-01-07 16:57:26,36
2023-01-07 16:57:25,36
2023-01-07 16:57:24,35
2023-01-07 16:57:23,35
2023-01-07 16:57:22,34
2023-01-07 16:57:21,34
2023-01-07 16:57:20,33
2023-01-07 16:57:19,32
2023-01-07 16:57:18,31
2023-01-07 16:57:17,30
2023-01-07 16:57:16,27
2023-01-07 16:57:15,22
2023-01-07 16:57:14,0
2023-01-07 16:57:13,0
2023-01-07 16:57:12,0
2023-01-07 16:57:11,0
2023-01-07 16:57:10,0
2023-01-07 16:57:09,0
2023-01-07 16:57:08,0
2023-01-07 16:57:07,0
2023-01-07 16:57:06,0
2023-01-07 16:57:05,0
2023-01-07 16:57:04,36
2023-01-07 16:57:03,36
2023-01-07 16:57:02,36
2023-01-07 16:57:01,36
2023-01-07 16:57:00,36
2023-01-07 16:56:59,36
2023-01-07 16:56:58,36
2023-01-07 16:56:57,36
2023-01-07 16:56:56,36
2023-01-07 16:56:55,36
2023-01-07 16:56:54,36
2023-01-07 16:56:53,36
2023-01-07 16:56:52,35
2023-01-07 16:56:51,36
2023-01-07 16:56:50,35
2023-01-07 16:56:49,35
2023-01-07 16:56:48,35
2023-01-07 16:56:47,35
2023-01-07 16:56:46,35
2023-01-07 16:56:45,35
2023-01-07 16:56:44,34
2023-01-07 16:56:43,34
2023-01-07 16:56:42,34
2023-01-07 16:56:41,34
2023-01-07 16:56:40,34
2023-01-07 16:56:39,34
2023-01-07 16:56:38,33
2023-01-07 16:56:37,33
2023-01-07 16:56:36,33
2023-01-07 16:56:35,33
2023-01-07 16:56:34,33
2023-01-07 16:56:33,33
2023-01-07 16:56:32,33
2023-01-07 16:56:31,32
2023-01-07 16:56:30,32
2023-01-07 16:56:29,31
2023-01-07 16:56:28,31
2023-01-07 16:56:27,29
2023-01-07 16:56:26,23
2023-01-07 16:56:25,0
2023-01-07 16:56:24,0
2023-01-07 16:56:23,0
2023-01-07 16:56:22,0
2023-01-07 16:56:21,0
2023-01-07 16:56:20,0
2023-01-07 16:56:19,1
2023-01-07 16:56:18,38
2023-01-07 16:56:17,38
2023-01-07 16:56:16,38
2023-01-07 16:56:15,38
2023-01-07 16:56:14,38
2023-01-07 16:56:13,38
2023-01-07 16:56:12,38
2023-01-07 16:56:11,38
2023-01-07 16:56:10,38
2023-01-07 16:56:09,38
2023-01-07 16:56:08,38
2023-01-07 16:56:07,37
2023-01-07 16:56:06,37
2023-01-07 16:56:05,37
2023-01-07 16:56:04,37
2023-01-07 16:56:03,37
2023-01-07 16:56:02,37
2023-01-07 16:56:01,37
2023-01-07 16:56:00,36
2023-01-07 16:55:59,36
2023-01-07 16:55:58,36
2023-01-07 16:55:57,36
2023-01-07 16:55:56,36
2023-01-07 16:55:55,36
2023-01-07 16:55:54,36
2023-01-07 16:55:53,36
2023-01-07 16:55:52,35
2023-01-07 16:55:51,35
2023-01-07 16:55:50,35
2023-01-07 16:55:49,35
2023-01-07 16:55:48,34
2023-01-07 16:55:47,34
2023-01-07 16:55:46,33
2023-01-07 16:55:45,33
2023-01-07 16:55:44,33
2023-01-07 16:55:43,33
2023-01-07 16:55:42,34
2023-01-07 16:55:41,32
2023-01-07 16:55:40,9
2023-01-07 16:55:39,0
2023-01-07 16:55:38,0
2023-01-07 16:55:37,0
2023-01-07 16:55:36,0
2023-01-07 16:55:35,0
2023-01-07 16:55:34,0
2023-01-07 16:55:33,0
2023-01-07 16:55:32,0
2023-01-07 16:55:31,0
2023-01-07 16:55:30,0
2023-01-07 16:55:29,0
2023-01-07 16:55:28,0
2023-01-07 16:55:27,0
2023-01-07 16:55:26,0
2023-01-07 16:55:25,0
2023-01-07 16:55:24,0
2023-01-07 16:55:23,0
2023-01-07 16:55:22,0
2023-01-07 16:55:21,0
2023-01-07 16:55:20,0
2023-01-07 16:55:19,0
2023-01-07 16:55:18,0
2023-01-07 16:55:17,0
2023-01-07 16:55:16,0
2023-01-07 16:55:15,0
2023-01-07 16:55:14,0
2023-01-07 16:55:13,0
2023-01-07 16:55:12,0
2023-01-07 16:55:11,0
2023-01-07 16:55:10,0
2023-01-07 16:55:09,0
2023-01-07 16:55:08,0
2023-01-07 16:55:07,0
2023-01-07 16:55:06,35
2023-01-07 16:55:05,35
2023-01-07 16:55:04,36
2023-01-07 16:55:03,36
2023-01-07 16:55:02,36
2023-01-07 16:55:01,36
2023-01-07 16:55:00,36
