time,time
2023-01-07 15:51:27,0
2023-01-07 15:51:26,0
2023-01-07 15:51:25,0
2023-01-07 15:51:24,0
2023-01-07 15:51:23,0
2023-01-07 15:51:22,0
2023-01-07 15:51:21,0
2023-01-07 15:51:20,0
2023-01-07 15:51:19,0
2023-01-07 15:51:18,0
2023-01-07 15:51:17,0
2023-01-07 15:51:16,0
2023-01-07 15:51:15,0
2023-01-07 15:51:14,0
2023-01-07 15:51:13,0
2023-01-07 15:51:12,0
2023-01-07 15:51:11,0
2023-01-07 15:51:10,43.82323
2023-01-07 15:51:09,175.3662
2023-01-07 15:51:08,209.9915
2023-01-07 15:51:07,240.8049
2023-01-07 15:51:06,332.2826
2023-01-07 15:51:05,296.0277
2023-01-07 15:51:04,208.9313
2023-01-07 15:51:03,173.8901
2023-01-07 15:51:02,170.5915
2023-01-07 15:51:01,204.3013
2023-01-07 15:51:00,222.1578
2023-01-07 15:50:59,85.83207
2023-01-07 15:50:58,0
2023-01-07 15:50:57,48.65492
2023-01-07 15:50:56,190.2493
2023-01-07 15:50:55,217.0198
2023-01-07 15:50:54,213.6159
2023-01-07 15:50:53,222.4749
2023-01-07 15:50:52,217.0364
2023-01-07 15:50:51,182.3385
2023-01-07 15:50:50,162.65328
2023-01-07 15:50:49,156.18159
2023-01-07 15:50:48,184.9667
2023-01-07 15:50:47,163.80872
2023-01-07 15:50:46,0
2023-01-07 15:50:45,0
2023-01-07 15:50:44,0
2023-01-07 15:50:43,0
2023-01-07 15:50:42,1.3566205
2023-01-07 15:50:41,40.65578
2023-01-07 15:50:40,137.01669
2023-01-07 15:50:39,141.09967
2023-01-07 15:50:38,150.85283
2023-01-07 15:50:37,175.1174
2023-01-07 15:50:36,183.5633
2023-01-07 15:50:35,162.59225
2023-01-07 15:50:34,162.22878
2023-01-07 15:50:33,203.1491
2023-01-07 15:50:32,256.1203
2023-01-07 15:50:31,125.24722
2023-01-07 15:50:30,0
2023-01-07 15:50:29,0
2023-01-07 15:50:28,0
2023-01-07 15:50:27,0
2023-01-07 15:50:26,0
2023-01-07 15:50:25,0
2023-01-07 15:50:24,37.69591
2023-01-07 15:50:23,140.69789
2023-01-07 15:50:22,155.5768
2023-01-07 15:50:21,178.7739
2023-01-07 15:50:20,170.8047
2023-01-07 15:50:19,173.8652
2023-01-07 15:50:18,155.53354
2023-01-07 15:50:17,154.38278
2023-01-07 15:50:16,161.61016
2023-01-07 15:50:15,177.5343
2023-01-07 15:50:14,124.52485
2023-01-07 15:50:13,0
2023-01-07 15:50:12,0
2023-01-07 15:50:11,0
2023-01-07 15:50:10,0
2023-01-07 15:50:09,0
2023-01-07 15:50:08,6.782909
2023-01-07 15:50:07,63.30882
2023-01-07 15:50:06,165.17002
2023-01-07 15:50:05,160.24117
2023-01-07 15:50:04,157.77313
2023-01-07 15:50:03,169.6393
2023-01-07 15:50:02,165.39955
2023-01-07 15:50:01,157.39122
2023-01-07 15:50:00,154.52127
2023-01-07 15:49:59,173.7868
2023-01-07 15:49:58,178.7348
2023-01-07 15:49:57,60.25096
2023-01-07 15:49:56,0
2023-01-07 15:49:55,0
2023-01-07 15:49:54,17.90356
2023-01-07 15:49:53,129.35237
2023-01-07 15:49:52,300.5104
2023-01-07 15:49:51,321.9847
2023-01-07 15:49:50,332.9465
2023-01-07 15:49:49,225.5047
2023-01-07 15:49:48,187.8864
2023-01-07 15:49:47,175.9122
2023-01-07 15:49:46,176.2975
2023-01-07 15:49:45,182.3061
2023-01-07 15:49:44,188.22
2023-01-07 15:49:43,163.17557
2023-01-07 15:49:42,0
2023-01-07 15:49:41,0
2023-01-07 15:49:40,0
2023-01-07 15:49:39,0
2023-01-07 15:49:38,0
2023-01-07 15:49:37,32.88333
2023-01-07 15:49:36,137.22148
2023-01-07 15:49:35,174.9481
2023-01-07 15:49:34,170.6968
2023-01-07 15:49:33,191.3054
2023-01-07 15:49:32,175.8312
2023-01-07 15:49:31,156.7152
2023-01-07 15:49:30,162.57239
2023-01-07 15:49:29,160.45819
2023-01-07 15:49:28,180.5824
2023-01-07 15:49:27,163.78545
2023-01-07 15:49:26,0
2023-01-07 15:49:25,0
2023-01-07 15:49:24,0.5424298
2023-01-07 15:49:23,47.53992
2023-01-07 15:49:22,170.6077
2023-01-07 15:49:21,181.4058
2023-01-07 15:49:20,227.3624
2023-01-07 15:49:19,277.604
2023-01-07 15:49:18,265.606
2023-01-07 15:49:17,281.1449
2023-01-07 15:49:16,264.7102
2023-01-07 15:49:15,209.9123
2023-01-07 15:49:14,184.6645
2023-01-07 15:49:13,168.8999
2023-01-07 15:49:12,0
2023-01-07 15:49:11,8.131434
2023-01-07 15:49:10,63.94061
2023-01-07 15:49:09,157.3025
2023-01-07 15:49:08,171.9505
2023-01-07 15:49:07,187.8437
2023-01-07 15:49:06,164.50842
2023-01-07 15:49:05,157.47206
2023-01-07 15:49:04,149.44156
2023-01-07 15:49:03,159.84319
2023-01-07 15:49:02,193.7875
2023-01-07 15:49:01,194.6468
2023-01-07 15:49:00,61.13174
2023-01-07 15:48:59,0
2023-01-07 15:48:58,0
2023-01-07 15:48:57,0
2023-01-07 15:48:56,0
2023-01-07 15:48:55,0
2023-01-07 15:48:54,0
2023-01-07 15:48:53,35.27383
2023-01-07 15:48:52,142.92016
2023-01-07 15:48:51,178.0865
2023-01-07 15:48:50,177.4828
2023-01-07 15:48:49,176.3922
2023-01-07 15:48:48,191.6776
2023-01-07 15:48:47,165.20438
2023-01-07 15:48:46,150.80438
2023-01-07 15:48:45,173.3539
