time,some 10,some 60,some 300
2023-01-07 15:51:27,3.28,9.52,6.22
2023-01-07 15:51:26,4,9.85,6.27
2023-01-07 15:51:25,4,9.85,6.27
2023-01-07 15:51:24,4.88,10.18,6.31
2023-01-07 15:51:23,4.88,10.18,6.31
2023-01-07 15:51:22,5.98,10.53,6.36
2023-01-07 15:51:21,5.98,10.53,6.36
2023-01-07 15:51:20,7.3,10.88,6.4
2023-01-07 15:51:19,7.3,10.88,6.4
2023-01-07 15:51:18,8.91,11.25,6.44
2023-01-07 15:51:17,8.91,11.25,6.44
2023-01-07 15:51:16,10.89,11.63,6.49
2023-01-07 15:51:15,10.89,11.63,6.49
2023-01-07 15:51:14,13.3,12.03,6.53
2023-01-07 15:51:13,13.3,12.03,6.53
2023-01-07 15:51:12,16.23,12.44,6.58
2023-01-07 15:51:11,16.23,12.44,6.58
2023-01-07 15:51:10,19.17,12.75,6.6
2023-01-07 15:51:09,19.17,12.75,6.6
2023-01-07 15:51:08,18.77,12.48,6.5
2023-01-07 15:51:07,18.77,12.48,6.5
2023-01-07 15:51:06,16.29,11.88,6.34
2023-01-07 15:51:05,16.29,11.88,6.34
2023-01-07 15:51:04,15.02,11.54,6.23
2023-01-07 15:51:03,15.02,11.54,6.23
2023-01-07 15:51:02,14.36,11.32,6.15
2023-01-07 15:51:01,14.36,11.32,6.15
2023-01-07 15:51:00,12.68,10.96,6.04
2023-01-07 15:50:59,12.68,10.96,6.04
2023-01-07 15:50:58,14.6,11.2,6.06
2023-01-07 15:50:57,14.6,11.2,6.06
2023-01-07 15:50:56,14.51,11.07,6
2023-01-07 15:50:55,14.51,11.07,6
2023-01-07 15:50:54,13.07,10.73,5.89
2023-01-07 15:50:53,13.07,10.73,5.89
2023-01-07 15:50:52,11.32,10.38,5.79
2023-01-07 15:50:51,11.32,10.38,5.79
2023-01-07 15:50:50,10.28,10.19,5.72
2023-01-07 15:50:49,10.28,10.19,5.72
2023-01-07 15:50:48,9.02,10,5.65
2023-01-07 15:50:47,9.02,10,5.65
2023-01-07 15:50:46,8.58,9.96,5.61
2023-01-07 15:50:45,8.58,9.96,5.61
2023-01-07 15:50:44,10.48,10.3,5.65
2023-01-07 15:50:43,10.48,10.3,5.65
2023-01-07 15:50:42,12.8,10.65,5.69
2023-01-07 15:50:41,12.8,10.65,5.69
2023-01-07 15:50:40,13.2,10.64,5.65
2023-01-07 15:50:39,13.2,10.64,5.65
2023-01-07 15:50:38,12.8,10.49,5.59
2023-01-07 15:50:37,12.8,10.49,5.59
2023-01-07 15:50:36,11.65,10.24,5.5
2023-01-07 15:50:35,11.65,10.24,5.5
2023-01-07 15:50:34,10.91,10.08,5.44
2023-01-07 15:50:33,10.91,10.08,5.44
2023-01-07 15:50:32,7.58,9.53,5.3
2023-01-07 15:50:31,7.58,9.53,5.3
2023-01-07 15:50:30,7.49,9.59,5.28
2023-01-07 15:50:29,7.49,9.59,5.28
2023-01-07 15:50:28,9.14,9.91,5.31
2023-01-07 15:50:27,9.14,9.91,5.31
2023-01-07 15:50:26,11.17,10.25,5.35
2023-01-07 15:50:25,11.17,10.25,5.35
