time,time
2023-01-07 15:51:27,0
2023-01-07 15:51:26,0
2023-01-07 15:51:25,0
2023-01-07 15:51:24,0
2023-01-07 15:51:23,0
2023-01-07 15:51:22,0
2023-01-07 15:51:21,0
2023-01-07 15:51:20,0
2023-01-07 15:51:19,0
2023-01-07 15:51:18,0
2023-01-07 15:51:17,0
2023-01-07 15:51:16,0
2023-01-07 15:51:15,0
2023-01-07 15:51:14,0
2023-01-07 15:51:13,0
2023-01-07 15:51:12,0
2023-01-07 15:51:11,0
2023-01-07 15:51:10,43.82176
2023-01-07 15:51:09,175.3651
2023-01-07 15:51:08,209.9914
2023-01-07 15:51:07,240.8032
2023-01-07 15:51:06,332.2827
2023-01-07 15:51:05,296.0288
2023-01-07 15:51:04,208.9315
2023-01-07 15:51:03,173.8904
2023-01-07 15:51:02,170.5917
2023-01-07 15:51:01,204.3008
2023-01-07 15:51:00,222.1594
2023-01-07 15:50:59,85.83313
2023-01-07 15:50:58,0
2023-01-07 15:50:57,48.65339
2023-01-07 15:50:56,190.2479
2023-01-07 15:50:55,217.0185
2023-01-07 15:50:54,213.6168
2023-01-07 15:50:53,222.4746
2023-01-07 15:50:52,217.0377
2023-01-07 15:50:51,182.339
2023-01-07 15:50:50,162.6531
2023-01-07 15:50:49,156.18102
2023-01-07 15:50:48,184.9664
2023-01-07 15:50:47,163.8115
2023-01-07 15:50:46,0
2023-01-07 15:50:45,0
2023-01-07 15:50:44,0
2023-01-07 15:50:43,0
2023-01-07 15:50:42,1.3565372
2023-01-07 15:50:41,40.6542
2023-01-07 15:50:40,137.01695
2023-01-07 15:50:39,141.09955
2023-01-07 15:50:38,150.85214
2023-01-07 15:50:37,175.1166
2023-01-07 15:50:36,183.5641
2023-01-07 15:50:35,162.59276
2023-01-07 15:50:34,162.2288
2023-01-07 15:50:33,203.1478
2023-01-07 15:50:32,256.1218
2023-01-07 15:50:31,125.24872
2023-01-07 15:50:30,0
2023-01-07 15:50:29,0
2023-01-07 15:50:28,0
2023-01-07 15:50:27,0
2023-01-07 15:50:26,0
2023-01-07 15:50:25,0
2023-01-07 15:50:24,37.69453
2023-01-07 15:50:23,140.69713
2023-01-07 15:50:22,155.57653
2023-01-07 15:50:21,178.7742
2023-01-07 15:50:20,170.8038
2023-01-07 15:50:19,173.8661
2023-01-07 15:50:18,155.53348
2023-01-07 15:50:17,154.38267
2023-01-07 15:50:16,161.61022
2023-01-07 15:50:15,177.5347
2023-01-07 15:50:14,124.52672
2023-01-07 15:50:13,0
2023-01-07 15:50:12,0
2023-01-07 15:50:11,0
2023-01-07 15:50:10,0
2023-01-07 15:50:09,0
2023-01-07 15:50:08,6.782643
2023-01-07 15:50:07,63.30664
2023-01-07 15:50:06,165.17041
2023-01-07 15:50:05,160.24156
2023-01-07 15:50:04,157.7717
2023-01-07 15:50:03,169.6388
2023-01-07 15:50:02,165.40056
2023-01-07 15:50:01,157.39092
2023-01-07 15:50:00,154.52189
2023-01-07 15:49:59,173.7869
2023-01-07 15:49:58,178.7362
2023-01-07 15:49:57,60.25174
2023-01-07 15:49:56,0
2023-01-07 15:49:55,0
2023-01-07 15:49:54,17.90286
2023-01-07 15:49:53,129.34859
2023-01-07 15:49:52,300.5106
2023-01-07 15:49:51,321.9846
2023-01-07 15:49:50,332.9473
2023-01-07 15:49:49,225.5051
2023-01-07 15:49:48,187.8869
2023-01-07 15:49:47,175.9121
2023-01-07 15:49:46,176.2967
2023-01-07 15:49:45,182.3064
2023-01-07 15:49:44,188.2199
2023-01-07 15:49:43,163.17883
2023-01-07 15:49:42,0
2023-01-07 15:49:41,0
2023-01-07 15:49:40,0
2023-01-07 15:49:39,0
2023-01-07 15:49:38,0
2023-01-07 15:49:37,32.88197
2023-01-07 15:49:36,137.22012
2023-01-07 15:49:35,174.9487
2023-01-07 15:49:34,170.6951
2023-01-07 15:49:33,191.3064
2023-01-07 15:49:32,175.8314
2023-01-07 15:49:31,156.71523
2023-01-07 15:49:30,162.57337
2023-01-07 15:49:29,160.45728
2023-01-07 15:49:28,180.5815
2023-01-07 15:49:27,163.78895
2023-01-07 15:49:26,0
2023-01-07 15:49:25,0
2023-01-07 15:49:24,0.5424123
2023-01-07 15:49:23,47.53849
2023-01-07 15:49:22,170.6069
2023-01-07 15:49:21,181.4036
2023-01-07 15:49:20,227.3611
2023-01-07 15:49:19,277.6055
2023-01-07 15:49:18,265.6059
2023-01-07 15:49:17,281.1421
2023-01-07 15:49:16,264.7053
2023-01-07 15:49:15,209.921
2023-01-07 15:49:14,184.6629
2023-01-07 15:49:13,168.9047
2023-01-07 15:49:12,0
2023-01-07 15:49:11,8.131148
2023-01-07 15:49:10,63.93898
2023-01-07 15:49:09,157.30172
2023-01-07 15:49:08,171.9495
2023-01-07 15:49:07,187.8441
2023-01-07 15:49:06,164.5096
2023-01-07 15:49:05,157.47255
2023-01-07 15:49:04,149.44061
2023-01-07 15:49:03,159.84282
2023-01-07 15:49:02,193.7865
2023-01-07 15:49:01,194.6494
2023-01-07 15:49:00,61.13308
2023-01-07 15:48:59,0
2023-01-07 15:48:58,0
2023-01-07 15:48:57,0
2023-01-07 15:48:56,0
2023-01-07 15:48:55,0
2023-01-07 15:48:54,0
2023-01-07 15:48:53,35.27219
2023-01-07 15:48:52,142.91819
2023-01-07 15:48:51,178.0876
2023-01-07 15:48:50,177.4834
2023-01-07 15:48:49,176.3902
2023-01-07 15:48:48,191.6779
2023-01-07 15:48:47,165.20505
2023-01-07 15:48:46,150.80422
2023-01-07 15:48:45,173.3535
