time,read,write
2023-01-07 15:51:27,0,0
2023-01-07 15:51:26,0,0
2023-01-07 15:51:25,0,0
2023-01-07 15:51:24,0,0
2023-01-07 15:51:23,0,0
2023-01-07 15:51:22,0,0
2023-01-07 15:51:21,0,0
2023-01-07 15:51:20,0,0
2023-01-07 15:51:19,0,0
2023-01-07 15:51:18,0,0
2023-01-07 15:51:17,0,0
2023-01-07 15:51:16,0,0
2023-01-07 15:51:15,0,0
2023-01-07 15:51:14,0,0
2023-01-07 15:51:13,0,0
2023-01-07 15:51:12,0,0
2023-01-07 15:51:11,0,0
2023-01-07 15:51:10,0,-1.0886654
2023-01-07 15:51:09,0,-2.911335
2023-01-07 15:51:08,0,0
2023-01-07 15:51:07,0,0
2023-01-07 15:51:06,0,0
2023-01-07 15:51:05,0,0
2023-01-07 15:51:04,0,0
2023-01-07 15:51:03,0,0
2023-01-07 15:51:02,0,0
2023-01-07 15:51:01,0,0
2023-01-07 15:51:00,1036.8992,0
2023-01-07 15:50:59,2767.101,0
2023-01-07 15:50:58,0,0
2023-01-07 15:50:57,144.59096,-9.784351
2023-01-07 15:50:56,387.409,-26.21565
2023-01-07 15:50:55,0,0
2023-01-07 15:50:54,0,0
2023-01-07 15:50:53,0,0
2023-01-07 15:50:52,0,-1.0860267
2023-01-07 15:50:51,0,-2.913973
2023-01-07 15:50:50,0,0
2023-01-07 15:50:49,0,0
2023-01-07 15:50:48,0,0
2023-01-07 15:50:47,0,0
2023-01-07 15:50:46,0,0
2023-01-07 15:50:45,0,0
2023-01-07 15:50:44,0,0
2023-01-07 15:50:43,0,0
2023-01-07 15:50:42,0,-1.0851267
2023-01-07 15:50:41,0,-2.914873
2023-01-07 15:50:40,0,0
2023-01-07 15:50:39,0,0
2023-01-07 15:50:38,0,0
2023-01-07 15:50:37,0,-1.0909007
2023-01-07 15:50:36,0,-2.909099
2023-01-07 15:50:35,0,0
2023-01-07 15:50:34,0,0
2023-01-07 15:50:33,0,0
2023-01-07 15:50:32,0,0
2023-01-07 15:50:31,0,0
2023-01-07 15:50:30,0,0
2023-01-07 15:50:29,0,0
2023-01-07 15:50:28,0,0
2023-01-07 15:50:27,0,0
2023-01-07 15:50:26,0,0
2023-01-07 15:50:25,0,0
2023-01-07 15:50:24,0,-1.084661
2023-01-07 15:50:23,0,-2.915339
2023-01-07 15:50:22,0,0
2023-01-07 15:50:21,0,0
2023-01-07 15:50:20,0,-1.0947704
2023-01-07 15:50:19,0,-2.90523
2023-01-07 15:50:18,0,0
2023-01-07 15:50:17,0,0
2023-01-07 15:50:16,0,0
2023-01-07 15:50:15,384.803,0
2023-01-07 15:50:14,1031.197,0
2023-01-07 15:50:13,0,0
2023-01-07 15:50:12,0,0
2023-01-07 15:50:11,0,0
2023-01-07 15:50:10,0,0
2023-01-07 15:50:09,0,0
2023-01-07 15:50:08,0,-1.0851436
2023-01-07 15:50:07,0,-2.914856
2023-01-07 15:50:06,0,0
2023-01-07 15:50:05,0,0
2023-01-07 15:50:04,0,0
2023-01-07 15:50:03,0,-2.185731
2023-01-07 15:50:02,0,-5.814269
2023-01-07 15:50:01,0,0
2023-01-07 15:50:00,0,0
2023-01-07 15:49:59,0,0
2023-01-07 15:49:58,219.2466,0
2023-01-07 15:49:57,580.7534,0
2023-01-07 15:49:56,0,0
2023-01-07 15:49:55,0,0
2023-01-07 15:49:54,878.8101,-1.0849507
2023-01-07 15:49:53,2361.19,-2.915049
2023-01-07 15:49:52,0,0
2023-01-07 15:49:51,0,0
2023-01-07 15:49:50,0,0
2023-01-07 15:49:49,0,-1.08737
2023-01-07 15:49:48,0,-2.91263
2023-01-07 15:49:47,0,0
2023-01-07 15:49:46,0,0
2023-01-07 15:49:45,0,0
2023-01-07 15:49:44,806.8875,0
2023-01-07 15:49:43,2165.113,0
2023-01-07 15:49:42,0,0
2023-01-07 15:49:41,0,0
2023-01-07 15:49:40,0,0
2023-01-07 15:49:39,0,0
2023-01-07 15:49:38,0,0
2023-01-07 15:49:37,0,-1.0869053
2023-01-07 15:49:36,0,-2.913095
2023-01-07 15:49:35,0,0
2023-01-07 15:49:34,0,0
2023-01-07 15:49:33,0,-1.0879707
2023-01-07 15:49:32,0,-2.912029
2023-01-07 15:49:31,0,0
2023-01-07 15:49:30,0,0
2023-01-07 15:49:29,0,0
2023-01-07 15:49:28,275.264,0
2023-01-07 15:49:27,736.736,0
2023-01-07 15:49:26,0,0
2023-01-07 15:49:25,0,0
2023-01-07 15:49:24,84.61179,-1.0847665
2023-01-07 15:49:23,287.0187,-2.915233
2023-01-07 15:49:22,160.36947,0
2023-01-07 15:49:21,0,0
2023-01-07 15:49:20,0,0
2023-01-07 15:49:19,0,-1.0931004
2023-01-07 15:49:18,0,-2.9069
