time,time
2023-01-07 15:51:27,0
2023-01-07 15:51:26,0
2023-01-07 15:51:25,0
2023-01-07 15:51:24,0
2023-01-07 15:51:23,0
2023-01-07 15:51:22,0
2023-01-07 15:51:21,0
2023-01-07 15:51:20,0
2023-01-07 15:51:19,0
2023-01-07 15:51:18,0
2023-01-07 15:51:17,0
2023-01-07 15:51:16,0
2023-01-07 15:51:15,0
2023-01-07 15:51:14,0
2023-01-07 15:51:13,0
2023-01-07 15:51:12,0
2023-01-07 15:51:11,0
2023-01-07 15:51:10,0
2023-01-07 15:51:09,0
2023-01-07 15:51:08,0
2023-01-07 15:51:07,0
2023-01-07 15:51:06,0
2023-01-07 15:51:05,0
2023-01-07 15:51:04,0
2023-01-07 15:51:03,0
2023-01-07 15:51:02,0
2023-01-07 15:51:01,0
2023-01-07 15:51:00,2.726382
2023-01-07 15:50:59,7.273618
2023-01-07 15:50:58,0
2023-01-07 15:50:57,0.2718437
2023-01-07 15:50:56,0.7281563
2023-01-07 15:50:55,0
2023-01-07 15:50:54,0
2023-01-07 15:50:53,0
2023-01-07 15:50:52,0.2715846
2023-01-07 15:50:51,0.7284154
2023-01-07 15:50:50,0
2023-01-07 15:50:49,0
2023-01-07 15:50:48,0
2023-01-07 15:50:47,0
2023-01-07 15:50:46,0
2023-01-07 15:50:45,0
2023-01-07 15:50:44,0
2023-01-07 15:50:43,0
2023-01-07 15:50:42,0
2023-01-07 15:50:41,0
2023-01-07 15:50:40,0
2023-01-07 15:50:39,0
2023-01-07 15:50:38,0
2023-01-07 15:50:37,0.272814
2023-01-07 15:50:36,0.727186
2023-01-07 15:50:35,0
2023-01-07 15:50:34,0
2023-01-07 15:50:33,0
2023-01-07 15:50:32,0
2023-01-07 15:50:31,0
2023-01-07 15:50:30,0
2023-01-07 15:50:29,0
2023-01-07 15:50:28,0
2023-01-07 15:50:27,0
2023-01-07 15:50:26,0
2023-01-07 15:50:25,0
2023-01-07 15:50:24,0
2023-01-07 15:50:23,0
2023-01-07 15:50:22,0
2023-01-07 15:50:21,0
2023-01-07 15:50:20,0.273806
2023-01-07 15:50:19,0.726194
2023-01-07 15:50:18,0
2023-01-07 15:50:17,0
2023-01-07 15:50:16,0
2023-01-07 15:50:15,1.6309065
2023-01-07 15:50:14,4.369093
2023-01-07 15:50:13,0
2023-01-07 15:50:12,0
2023-01-07 15:50:11,0
2023-01-07 15:50:10,0
2023-01-07 15:50:09,0
2023-01-07 15:50:08,0
2023-01-07 15:50:07,0
2023-01-07 15:50:06,0
2023-01-07 15:50:05,0
2023-01-07 15:50:04,0
2023-01-07 15:50:03,0
2023-01-07 15:50:02,0
2023-01-07 15:50:01,0
2023-01-07 15:50:00,0
2023-01-07 15:49:59,0
2023-01-07 15:49:58,1.0964532
2023-01-07 15:49:57,2.903547
2023-01-07 15:49:56,0
2023-01-07 15:49:55,0
2023-01-07 15:49:54,1.6277745
2023-01-07 15:49:53,4.372225
2023-01-07 15:49:52,0
2023-01-07 15:49:51,0
2023-01-07 15:49:50,0
2023-01-07 15:49:49,0.271932
2023-01-07 15:49:48,0.728068
2023-01-07 15:49:47,0
2023-01-07 15:49:46,0
2023-01-07 15:49:45,0
2023-01-07 15:49:44,2.172643
2023-01-07 15:49:43,5.827357
2023-01-07 15:49:42,0
2023-01-07 15:49:41,0
2023-01-07 15:49:40,0
2023-01-07 15:49:39,0
2023-01-07 15:49:38,0
2023-01-07 15:49:37,0
2023-01-07 15:49:36,0
2023-01-07 15:49:35,0
2023-01-07 15:49:34,0
2023-01-07 15:49:33,0
2023-01-07 15:49:32,0
2023-01-07 15:49:31,0
2023-01-07 15:49:30,0
2023-01-07 15:49:29,0
2023-01-07 15:49:28,0.8165514
2023-01-07 15:49:27,2.183449
2023-01-07 15:49:26,0
2023-01-07 15:49:25,0
2023-01-07 15:49:24,0
2023-01-07 15:49:23,0.2710999
2023-01-07 15:49:22,0.7289001
2023-01-07 15:49:21,0
2023-01-07 15:49:20,0
2023-01-07 15:49:19,0.2733664
2023-01-07 15:49:18,0.7266336
2023-01-07 15:49:17,0
2023-01-07 15:49:16,0
2023-01-07 15:49:15,0
2023-01-07 15:49:14,1.0882022
2023-01-07 15:49:13,2.911798
2023-01-07 15:49:12,0
2023-01-07 15:49:11,0
2023-01-07 15:49:10,0
2023-01-07 15:49:09,0
2023-01-07 15:49:08,0
2023-01-07 15:49:07,0
2023-01-07 15:49:06,0.271327
2023-01-07 15:49:05,0.728673
2023-01-07 15:49:04,0
2023-01-07 15:49:03,0
2023-01-07 15:49:02,0
2023-01-07 15:49:01,1.906026
2023-01-07 15:49:00,5.093974
2023-01-07 15:48:59,0
2023-01-07 15:48:58,0
2023-01-07 15:48:57,0
2023-01-07 15:48:56,0
2023-01-07 15:48:55,0
2023-01-07 15:48:54,0
2023-01-07 15:48:53,1.0854907
2023-01-07 15:48:52,2.914509
2023-01-07 15:48:51,0
2023-01-07 15:48:50,0
2023-01-07 15:48:49,0.2721949
2023-01-07 15:48:48,0.7278051
2023-01-07 15:48:47,0
2023-01-07 15:48:46,0
2023-01-07 15:48:45,0
2023-01-07 15:48:44,8.671327
2023-01-07 15:48:43,23.32867
2023-01-07 15:48:42,0
2023-01-07 15:48:41,0
2023-01-07 15:48:40,0
2023-01-07 15:48:39,0
2023-01-07 15:48:38,0
2023-01-07 15:48:37,0
2023-01-07 15:48:36,6.776676
2023-01-07 15:48:35,18.22332
2023-01-07 15:48:34,0
2023-01-07 15:48:33,0
2023-01-07 15:48:32,0
2023-01-07 15:48:31,0
