time,utilization
2023-01-07 15:51:27,0
2023-01-07 15:51:26,0
2023-01-07 15:51:25,0
2023-01-07 15:51:24,0
2023-01-07 15:51:23,0
2023-01-07 15:51:22,0
2023-01-07 15:51:21,0
2023-01-07 15:51:20,0
2023-01-07 15:51:19,0
2023-01-07 15:51:18,0
2023-01-07 15:51:17,0
2023-01-07 15:51:16,0
2023-01-07 15:51:15,0
2023-01-07 15:51:14,0
2023-01-07 15:51:13,0
2023-01-07 15:51:12,0
2023-01-07 15:51:11,0
2023-01-07 15:51:10,0
2023-01-07 15:51:09,0
2023-01-07 15:51:08,15
2023-01-07 15:51:07,15
2023-01-07 15:51:06,15
2023-01-07 15:51:05,16
2023-01-07 15:51:04,15
2023-01-07 15:51:03,15
2023-01-07 15:51:02,15
2023-01-07 15:51:01,15
2023-01-07 15:51:00,15
2023-01-07 15:50:59,10
2023-01-07 15:50:58,0
2023-01-07 15:50:57,0
2023-01-07 15:50:56,0
2023-01-07 15:50:55,15
2023-01-07 15:50:54,15
2023-01-07 15:50:53,14
2023-01-07 15:50:52,14
2023-01-07 15:50:51,14
2023-01-07 15:50:50,14
2023-01-07 15:50:49,14
2023-01-07 15:50:48,14
2023-01-07 15:50:47,12
2023-01-07 15:50:46,0
2023-01-07 15:50:45,0
2023-01-07 15:50:44,0
2023-01-07 15:50:43,0
2023-01-07 15:50:42,0
2023-01-07 15:50:41,0
2023-01-07 15:50:40,16
2023-01-07 15:50:39,16
2023-01-07 15:50:38,16
2023-01-07 15:50:37,16
2023-01-07 15:50:36,16
2023-01-07 15:50:35,16
2023-01-07 15:50:34,16
2023-01-07 15:50:33,16
2023-01-07 15:50:32,15
2023-01-07 15:50:31,12
2023-01-07 15:50:30,0
2023-01-07 15:50:29,0
2023-01-07 15:50:28,0
2023-01-07 15:50:27,0
2023-01-07 15:50:26,0
2023-01-07 15:50:25,0
2023-01-07 15:50:24,0
2023-01-07 15:50:23,0
2023-01-07 15:50:22,15
2023-01-07 15:50:21,15
2023-01-07 15:50:20,15
2023-01-07 15:50:19,15
2023-01-07 15:50:18,15
2023-01-07 15:50:17,14
2023-01-07 15:50:16,14
2023-01-07 15:50:15,14
2023-01-07 15:50:14,12
2023-01-07 15:50:13,0
2023-01-07 15:50:12,0
2023-01-07 15:50:11,0
2023-01-07 15:50:10,0
2023-01-07 15:50:09,0
2023-01-07 15:50:08,0
2023-01-07 15:50:07,0
2023-01-07 15:50:06,15
2023-01-07 15:50:05,14
2023-01-07 15:50:04,14
2023-01-07 15:50:03,14
2023-01-07 15:50:02,14
2023-01-07 15:50:01,14
2023-01-07 15:50:00,14
2023-01-07 15:49:59,14
2023-01-07 15:49:58,14
2023-01-07 15:49:57,4
2023-01-07 15:49:56,0
2023-01-07 15:49:55,0
2023-01-07 15:49:54,0
2023-01-07 15:49:53,0
2023-01-07 15:49:52,16
2023-01-07 15:49:51,15
2023-01-07 15:49:50,15
2023-01-07 15:49:49,14
2023-01-07 15:49:48,14
2023-01-07 15:49:47,14
2023-01-07 15:49:46,13
2023-01-07 15:49:45,13
2023-01-07 15:49:44,13
2023-01-07 15:49:43,12
2023-01-07 15:49:42,0
2023-01-07 15:49:41,0
2023-01-07 15:49:40,0
2023-01-07 15:49:39,0
2023-01-07 15:49:38,0
2023-01-07 15:49:37,0
2023-01-07 15:49:36,0
2023-01-07 15:49:35,15
2023-01-07 15:49:34,15
2023-01-07 15:49:33,15
2023-01-07 15:49:32,14
2023-01-07 15:49:31,14
2023-01-07 15:49:30,14
2023-01-07 15:49:29,13
2023-01-07 15:49:28,13
2023-01-07 15:49:27,12
2023-01-07 15:49:26,0
2023-01-07 15:49:25,0
2023-01-07 15:49:24,0
2023-01-07 15:49:23,0
2023-01-07 15:49:22,15
2023-01-07 15:49:21,15
2023-01-07 15:49:20,15
2023-01-07 15:49:19,15
2023-01-07 15:49:18,15
2023-01-07 15:49:17,15
2023-01-07 15:49:16,15
2023-01-07 15:49:15,15
2023-01-07 15:49:14,15
2023-01-07 15:49:13,15
2023-01-07 15:49:12,0
2023-01-07 15:49:11,0
2023-01-07 15:49:10,0
2023-01-07 15:49:09,15
2023-01-07 15:49:08,15
2023-01-07 15:49:07,15
2023-01-07 15:49:06,15
2023-01-07 15:49:05,15
2023-01-07 15:49:04,15
2023-01-07 15:49:03,15
2023-01-07 15:49:02,15
2023-01-07 15:49:01,15
2023-01-07 15:49:00,4
2023-01-07 15:48:59,0
2023-01-07 15:48:58,0
2023-01-07 15:48:57,0
2023-01-07 15:48:56,0
2023-01-07 15:48:55,0
2023-01-07 15:48:54,0
2023-01-07 15:48:53,0
2023-01-07 15:48:52,0
2023-01-07 15:48:51,16
2023-01-07 15:48:50,15
2023-01-07 15:48:49,15
2023-01-07 15:48:48,15
2023-01-07 15:48:47,15
2023-01-07 15:48:46,14
2023-01-07 15:48:45,14
2023-01-07 15:48:44,14
2023-01-07 15:48:43,13
2023-01-07 15:48:42,0
2023-01-07 15:48:41,0
2023-01-07 15:48:40,0
2023-01-07 15:48:39,0
2023-01-07 15:48:38,0
2023-01-07 15:48:37,0
2023-01-07 15:48:36,0
2023-01-07 15:48:35,0
2023-01-07 15:48:34,0
2023-01-07 15:48:33,0
2023-01-07 15:48:32,0
2023-01-07 15:48:31,0
2023-01-07 15:48:30,0
2023-01-07 15:48:29,0
2023-01-07 15:48:28,0
