time,read,write
2023-01-07 15:51:27,0,0
2023-01-07 15:51:26,0,0
2023-01-07 15:51:25,0,0
2023-01-07 15:51:24,0,0
2023-01-07 15:51:23,0,0
2023-01-07 15:51:22,0,0
2023-01-07 15:51:21,0,0
2023-01-07 15:51:20,0,0
2023-01-07 15:51:19,0,0
2023-01-07 15:51:18,0,0
2023-01-07 15:51:17,0,0
2023-01-07 15:51:16,0,0
2023-01-07 15:51:15,0,0
2023-01-07 15:51:14,0,0
2023-01-07 15:51:13,0,0
2023-01-07 15:51:12,0,0
2023-01-07 15:51:11,0,0
2023-01-07 15:51:10,0,-0.2721729
2023-01-07 15:51:09,0,-0.7278271
2023-01-07 15:51:08,0,0
2023-01-07 15:51:07,0,0
2023-01-07 15:51:06,0,0
2023-01-07 15:51:05,0,0
2023-01-07 15:51:04,0,0
2023-01-07 15:51:03,0,0
2023-01-07 15:51:02,0,0
2023-01-07 15:51:01,0,0
2023-01-07 15:51:00,47.15768,0
2023-01-07 15:50:59,125.84232,0
2023-01-07 15:50:58,0,0
2023-01-07 15:50:57,3.805113,-0.8153814
2023-01-07 15:50:56,10.194887,-2.184619
2023-01-07 15:50:55,0,0
2023-01-07 15:50:54,0,0
2023-01-07 15:50:53,0,0
2023-01-07 15:50:52,0,-0.2715154
2023-01-07 15:50:51,0,-0.7284846
2023-01-07 15:50:50,0,0
2023-01-07 15:50:49,0,0
2023-01-07 15:50:48,0,0
2023-01-07 15:50:47,0,0
2023-01-07 15:50:46,0,0
2023-01-07 15:50:45,0,0
2023-01-07 15:50:44,0,0
2023-01-07 15:50:43,0,0
2023-01-07 15:50:42,0,-0.2712948
2023-01-07 15:50:41,0,-0.7287052
2023-01-07 15:50:40,0,0
2023-01-07 15:50:39,0,0
2023-01-07 15:50:38,0,0
2023-01-07 15:50:37,0,-0.2727344
2023-01-07 15:50:36,0,-0.7272656
2023-01-07 15:50:35,0,0
2023-01-07 15:50:34,0,0
2023-01-07 15:50:33,0,0
2023-01-07 15:50:32,0,0
2023-01-07 15:50:31,0,0
2023-01-07 15:50:30,0,0
2023-01-07 15:50:29,0,0
2023-01-07 15:50:28,0,0
2023-01-07 15:50:27,0,0
2023-01-07 15:50:26,0,0
2023-01-07 15:50:25,0,0
2023-01-07 15:50:24,0,-0.2711713
2023-01-07 15:50:23,0,-0.7288287
2023-01-07 15:50:22,0,0
2023-01-07 15:50:21,0,0
2023-01-07 15:50:20,0,-0.2737035
2023-01-07 15:50:19,0,-0.7262965
2023-01-07 15:50:18,0,0
2023-01-07 15:50:17,0,0
2023-01-07 15:50:16,0,0
2023-01-07 15:50:15,14.946798,0
2023-01-07 15:50:14,40.0532,0
2023-01-07 15:50:13,0,0
2023-01-07 15:50:12,0,0
2023-01-07 15:50:11,0,0
2023-01-07 15:50:10,0,0
2023-01-07 15:50:09,0,0
2023-01-07 15:50:08,0,-0.2712933
2023-01-07 15:50:07,0,-0.7287067
2023-01-07 15:50:06,0,0
2023-01-07 15:50:05,0,0
2023-01-07 15:50:04,0,0
2023-01-07 15:50:03,0,-0.5464638
2023-01-07 15:50:02,0,-1.4535362
2023-01-07 15:50:01,0,0
2023-01-07 15:50:00,0,0
2023-01-07 15:49:59,0,0
2023-01-07 15:49:58,12.058784,0
2023-01-07 15:49:57,31.94122,0
2023-01-07 15:49:56,0,0
2023-01-07 15:49:55,0,0
2023-01-07 15:49:54,13.562188,-0.2712438
2023-01-07 15:49:53,36.43781,-0.7287562
2023-01-07 15:49:52,0,0
2023-01-07 15:49:51,0,0
2023-01-07 15:49:50,0,0
2023-01-07 15:49:49,0,-0.2718518
2023-01-07 15:49:48,0,-0.7281482
2023-01-07 15:49:47,0,0
2023-01-07 15:49:46,0,0
2023-01-07 15:49:45,0,0
2023-01-07 15:49:44,35.29576,0
2023-01-07 15:49:43,94.70424,0
2023-01-07 15:49:42,0,0
2023-01-07 15:49:41,0,0
2023-01-07 15:49:40,0,0
2023-01-07 15:49:39,0,0
2023-01-07 15:49:38,0,0
2023-01-07 15:49:37,0,-0.2717393
2023-01-07 15:49:36,0,-0.7282607
2023-01-07 15:49:35,0,0
2023-01-07 15:49:34,0,0
2023-01-07 15:49:33,0,-0.2720034
2023-01-07 15:49:32,0,-0.7279966
2023-01-07 15:49:31,0,0
2023-01-07 15:49:30,0,0
2023-01-07 15:49:29,0,0
2023-01-07 15:49:28,9.520403,0
2023-01-07 15:49:27,25.4796,0
2023-01-07 15:49:26,0,0
2023-01-07 15:49:25,0,0
2023-01-07 15:49:24,1.898371,-0.2711959
2023-01-07 15:49:23,6.998999,-0.7288041
2023-01-07 15:49:22,5.10263,0
2023-01-07 15:49:21,0,0
2023-01-07 15:49:20,0,0
2023-01-07 15:49:19,0,-0.2732834
