time,user,system
2023-01-07 15:25:19,0,0
2023-01-07 15:25:18,0,0
2023-01-07 15:25:17,0,0
2023-01-07 15:25:16,0,0
2023-01-07 15:25:15,0,0
2023-01-07 15:25:14,0,0
2023-01-07 15:25:13,0,0
2023-01-07 15:25:12,0,0
2023-01-07 15:25:11,0,0
2023-01-07 15:25:10,0,0
2023-01-07 15:25:09,0,0
2023-01-07 15:25:08,0,0
2023-01-07 15:25:07,0,0
2023-01-07 15:25:06,0,0
2023-01-07 15:25:05,0,0
2023-01-07 15:25:04,0,0
2023-01-07 15:25:03,0,0
2023-01-07 15:25:02,0,0
2023-01-07 15:25:01,0,0
2023-01-07 15:25:00,0,0
2023-01-07 15:24:59,0,0
2023-01-07 15:24:58,0,0
2023-01-07 15:24:57,0,0
2023-01-07 15:24:56,0,0
2023-01-07 15:24:55,0,0
2023-01-07 15:24:54,66.695,2.491331
2023-01-07 15:24:53,263.3797,7.386568
2023-01-07 15:24:52,297.9444,2.50364
2023-01-07 15:24:51,266.6876,2.480089
2023-01-07 15:24:50,270.9679,4.077662
2023-01-07 15:24:49,240.762,12.977945
2023-01-07 15:24:48,71.87731,19.70687
2023-01-07 15:24:47,0,0
2023-01-07 15:24:46,0.0008671,0.0000271
2023-01-07 15:24:45,0.0023329,0.0000729
2023-01-07 15:24:44,0,0
2023-01-07 15:24:43,0,0
2023-01-07 15:24:42,0,0
2023-01-07 15:24:41,0,0
2023-01-07 15:24:40,0,0
2023-01-07 15:24:39,52.18155,3.118606
2023-01-07 15:24:38,220.0445,10.611918
2023-01-07 15:24:37,284.6515,8.287021
2023-01-07 15:24:36,265.5391,7.761807
2023-01-07 15:24:35,287.8134,6.200374
2023-01-07 15:24:34,250.632,12.413855
2023-01-07 15:24:33,78.06887,19.93555
2023-01-07 15:24:32,0.0023331,0.0000729
2023-01-07 15:24:31,0,0
2023-01-07 15:24:30,0,0
2023-01-07 15:24:29,0,0
2023-01-07 15:24:28,50.84545,5.415464
2023-01-07 15:24:27,212.1175,19.21599
2023-01-07 15:24:26,291.8601,13.287832
2023-01-07 15:24:25,328.7924,2.789177
2023-01-07 15:24:24,315.5819,8.266561
2023-01-07 15:24:23,224.22,19.97964
2023-01-07 15:24:22,47.47178,7.589628
2023-01-07 15:24:21,0,0
2023-01-07 15:24:20,0,0
2023-01-07 15:24:19,0,0
2023-01-07 15:24:18,37.15313,2.427312
2023-01-07 15:24:17,187.1241,7.065503
2023-01-07 15:24:16,320.7598,1.871356
2023-01-07 15:24:15,319.7652,2.207143
2023-01-07 15:24:14,314.3566,5.119376
2023-01-07 15:24:13,249.2603,13.366283
2023-01-07 15:24:12,79.64743,19.30815
2023-01-07 15:24:11,0.0020414,0.0000729
2023-01-07 15:24:10,0,0
2023-01-07 15:24:09,0,0
2023-01-07 15:24:08,0,0
2023-01-07 15:24:07,0,0
2023-01-07 15:24:06,73.15311,1.854559
2023-01-07 15:24:05,287.9147,5.390055
2023-01-07 15:24:04,334.358,1.6544691
2023-01-07 15:24:03,328.1558,2.833245
2023-01-07 15:24:02,308.647,10.572594
2023-01-07 15:24:01,206.1405,20.05249
2023-01-07 15:24:00,17.99262,2.871784
2023-01-07 15:23:59,0,0
2023-01-07 15:23:58,0,0
2023-01-07 15:23:57,0,0
2023-01-07 15:23:56,0,0
2023-01-07 15:23:55,0,0
2023-01-07 15:23:54,0,0
2023-01-07 15:23:53,0,0
2023-01-07 15:23:52,50.28239,2.199281
2023-01-07 15:23:51,223.1288,6.162928
2023-01-07 15:23:50,326.8402,1.1111503
2023-01-07 15:23:49,330.7938,1.3461658
2023-01-07 15:23:48,318.3392,3.063331
2023-01-07 15:23:47,235.0901,12.909593
2023-01-07 15:23:46,52.88394,19.24965
2023-01-07 15:23:45,0.0007601,0.0000271
2023-01-07 15:23:44,0.0020399,0.0000729
2023-01-07 15:23:43,0,0
2023-01-07 15:23:42,0,0
2023-01-07 15:23:41,27.55383,1.891187
2023-01-07 15:23:40,163.69892,6.078538
2023-01-07 15:23:39,330.5539,3.015019
2023-01-07 15:23:38,331.3714,1.1148584
2023-01-07 15:23:37,322.4576,2.640171
2023-01-07 15:23:36,269.1067,13.643974
2023-01-07 15:23:35,96.81668,22.32985
2023-01-07 15:23:34,0,0
2023-01-07 15:23:33,0,0
2023-01-07 15:23:32,0,0
2023-01-07 15:23:31,0.0007594,0
2023-01-07 15:23:30,0.0020406,0
2023-01-07 15:23:29,42.87962,2.35372
2023-01-07 15:23:28,202.8673,6.628857
2023-01-07 15:23:27,324.0501,1.3075564
2023-01-07 15:23:26,329.3825,1.5075773
2023-01-07 15:23:25,322.2839,4.512687
2023-01-07 15:23:24,239.9925,16.021748
2023-01-07 15:23:23,54.57062,15.719954
2023-01-07 15:23:22,0,0
2023-01-07 15:23:21,0,0
2023-01-07 15:23:20,0,0
2023-01-07 15:23:19,0.0010846,0
2023-01-07 15:23:18,0.0029154,0
2023-01-07 15:23:17,0,0
2023-01-07 15:23:16,0,0
2023-01-07 15:23:15,59.41681,2.515564
2023-01-07 15:23:14,249.3509,8.226277
2023-01-07 15:23:13,328.5918,5.755545
2023-01-07 15:23:12,323.952,6.814857
2023-01-07 15:23:11,312.5368,11.956784
2023-01-07 15:23:10,216.9027,20.73997
2023-01-07 15:23:09,32.96394,7.139999
2023-01-07 15:23:08,0.0023322,0
2023-01-07 15:23:07,0,0
2023-01-07 15:23:06,0,0
2023-01-07 15:23:05,0,0
2023-01-07 15:23:04,0,0
2023-01-07 15:23:03,0,0
2023-01-07 15:23:02,0,0
2023-01-07 15:23:01,22.74041,2.295066
2023-01-07 15:23:00,124.65663,7.832715
2023-01-07 15:22:59,239.5836,5.816908
2023-01-07 15:22:58,246.8929,4.883288
2023-01-07 15:22:57,244.6358,4.060343
2023-01-07 15:22:56,291.5866,7.339712
2023-01-07 15:22:55,221.332,18.21103
2023-01-07 15:22:54,35.53186,8.586033
2023-01-07 15:22:53,0,0
2023-01-07 15:22:52,0,0
2023-01-07 15:22:51,0,0
2023-01-07 15:22:50,0,0
2023-01-07 15:22:49,0,0
2023-01-07 15:22:48,0,0
2023-01-07 15:22:47,0,0
2023-01-07 15:22:46,0,0
2023-01-07 15:22:45,0,0
2023-01-07 15:22:44,0,0
2023-01-07 15:22:43,0,0
2023-01-07 15:22:42,0,0
2023-01-07 15:22:41,0,0
2023-01-07 15:22:40,0,0
2023-01-07 15:22:39,0,0
2023-01-07 15:22:38,0,0
2023-01-07 15:22:37,0,0
2023-01-07 15:22:36,0,0
2023-01-07 15:22:35,0,0
2023-01-07 15:22:34,0,0
2023-01-07 15:22:33,0,0
2023-01-07 15:22:32,0,0
2023-01-07 15:22:31,0,0
2023-01-07 15:22:30,0.0007047,0
2023-01-07 15:22:29,0.0018953,0
2023-01-07 15:22:28,0,0
2023-01-07 15:22:27,0,0
2023-01-07 15:22:26,0,0
2023-01-07 15:22:25,0,0
2023-01-07 15:22:24,0,0
2023-01-07 15:22:23,0,0
2023-01-07 15:22:22,0,0
2023-01-07 15:22:21,0,0
2023-01-07 15:22:20,0,0
2023-01-07 15:22:19,0,0
2023-01-07 15:22:18,0,0
2023-01-07 15:22:17,0,0
2023-01-07 15:22:16,0,0
2023-01-07 15:22:15,0,0
2023-01-07 15:22:14,0,0
2023-01-07 15:22:13,0,0
2023-01-07 15:22:12,0,0
2023-01-07 15:22:11,0,0
2023-01-07 15:22:10,0,0
2023-01-07 15:22:09,0,0
2023-01-07 15:22:08,0,0
2023-01-07 15:22:07,0,0
2023-01-07 15:22:06,0,0
2023-01-07 15:22:05,0,0
2023-01-07 15:22:04,0,0
2023-01-07 15:22:03,0,0
2023-01-07 15:22:02,0,0
2023-01-07 15:22:01,0,0
2023-01-07 15:22:00,0,0
2023-01-07 15:21:59,0,0
2023-01-07 15:21:58,0,0
2023-01-07 15:21:57,0,0
2023-01-07 15:21:56,0,0
2023-01-07 15:21:55,0,0
2023-01-07 15:21:54,0,0
2023-01-07 15:21:53,0,0
2023-01-07 15:21:52,0,0
2023-01-07 15:21:51,0,0
2023-01-07 15:21:50,0,0
2023-01-07 15:21:49,0,0
2023-01-07 15:21:48,0,0
2023-01-07 15:21:47,0,0
2023-01-07 15:21:46,0,0
2023-01-07 15:21:45,0,0
2023-01-07 15:21:44,0,0
2023-01-07 15:21:43,0,0
2023-01-07 15:21:42,0,0
2023-01-07 15:21:41,0,0
2023-01-07 15:21:40,0,0
