time,some 10,some 60,some 300
2023-01-07 15:25:19,1.22,6.04,3.55
2023-01-07 15:25:18,1.22,6.04,3.55
2023-01-07 15:25:17,1.5,6.24,3.57
2023-01-07 15:25:16,1.5,6.24,3.57
2023-01-07 15:25:15,1.83,6.46,3.6
2023-01-07 15:25:14,1.83,6.46,3.6
2023-01-07 15:25:13,2.23,6.67,3.62
2023-01-07 15:25:12,2.23,6.67,3.62
2023-01-07 15:25:11,2.73,6.9,3.65
2023-01-07 15:25:10,2.73,6.9,3.65
2023-01-07 15:25:09,3.33,7.13,3.67
2023-01-07 15:25:08,3.33,7.13,3.67
2023-01-07 15:25:07,4.07,7.38,3.7
2023-01-07 15:25:06,4.07,7.38,3.7
2023-01-07 15:25:05,4.98,7.63,3.73
2023-01-07 15:25:04,4.98,7.63,3.73
2023-01-07 15:25:03,6.08,7.88,3.75
2023-01-07 15:25:02,6.08,7.88,3.75
2023-01-07 15:25:01,7.43,8.15,3.78
2023-01-07 15:25:00,7.43,8.15,3.78
2023-01-07 15:24:59,9.07,8.43,3.8
2023-01-07 15:24:58,9.07,8.43,3.8
2023-01-07 15:24:57,11.08,8.71,3.83
2023-01-07 15:24:56,11.08,8.71,3.83
2023-01-07 15:24:55,13.53,9.01,3.86
2023-01-07 15:24:54,13.53,9.01,3.86
2023-01-07 15:24:53,13.65,8.86,3.79
2023-01-07 15:24:52,13.65,8.86,3.79
2023-01-07 15:24:51,10.47,8.23,3.63
2023-01-07 15:24:50,10.47,8.23,3.63
2023-01-07 15:24:49,7.04,7.62,3.47
2023-01-07 15:24:48,7.04,7.62,3.47
2023-01-07 15:24:47,7.05,7.65,3.45
2023-01-07 15:24:46,7.05,7.65,3.45
2023-01-07 15:24:45,8.61,7.9,3.47
2023-01-07 15:24:44,8.61,7.9,3.47
2023-01-07 15:24:43,10.52,8.17,3.5
2023-01-07 15:24:42,10.52,8.17,3.5
2023-01-07 15:24:41,12.84,8.44,3.52
2023-01-07 15:24:40,12.84,8.44,3.52
2023-01-07 15:24:39,15.24,8.67,3.53
2023-01-07 15:24:38,15.24,8.67,3.53
2023-01-07 15:24:37,13.09,8.11,3.38
2023-01-07 15:24:36,13.09,8.11,3.38
2023-01-07 15:24:35,10.23,7.51,3.23
2023-01-07 15:24:34,10.23,7.51,3.23
2023-01-07 15:24:33,8.51,7.16,3.13
2023-01-07 15:24:32,8.51,7.16,3.13
2023-01-07 15:24:31,10.4,7.4,3.15
2023-01-07 15:24:30,10.4,7.4,3.15
2023-01-07 15:24:29,12.7,7.65,3.17
2023-01-07 15:24:28,12.7,7.65,3.17
2023-01-07 15:24:27,11.08,7.23,3.05
2023-01-07 15:24:26,11.08,7.23,3.05
2023-01-07 15:24:25,9.77,6.9,2.96
2023-01-07 15:24:24,9.77,6.9,2.96
2023-01-07 15:24:23,7.52,6.46,2.84
2023-01-07 15:24:22,7.52,6.46,2.84
2023-01-07 15:24:21,8.3,6.54,2.83
2023-01-07 15:24:20,8.3,6.54,2.83
2023-01-07 15:24:19,10.13,6.76,2.85
2023-01-07 15:24:18,10.13,6.76,2.85
2023-01-07 15:24:17,10.61,6.72,2.82
2023-01-07 15:24:16,10.61,6.72,2.82
2023-01-07 15:24:15,8.97,6.34,2.71
2023-01-07 15:24:14,8.97,6.34,2.71
2023-01-07 15:24:13,6.53,5.88,2.59
2023-01-07 15:24:12,6.53,5.88,2.59
2023-01-07 15:24:11,6.21,5.81,2.54
2023-01-07 15:24:10,6.21,5.81,2.54
2023-01-07 15:24:09,7.58,6,2.57
2023-01-07 15:24:08,7.58,6,2.57
2023-01-07 15:24:07,9.26,6.21,2.59
2023-01-07 15:24:06,9.26,6.21,2.59
2023-01-07 15:24:05,9.32,6.11,2.54
2023-01-07 15:24:04,9.32,6.11,2.54
2023-01-07 15:24:03,7.84,5.78,2.45
2023-01-07 15:24:02,7.84,5.78,2.45
2023-01-07 15:24:01,4.71,5.23,2.31
2023-01-07 15:24:00,4.71,5.23,2.31
2023-01-07 15:23:59,5.53,5.37,2.33
2023-01-07 15:23:58,5.53,5.37,2.33
2023-01-07 15:23:57,6.76,5.55,2.34
2023-01-07 15:23:56,6.76,5.55,2.34
2023-01-07 15:23:55,8.26,5.74,2.36
2023-01-07 15:23:54,8.26,5.74,2.36
2023-01-07 15:23:53,10.08,5.94,2.38
2023-01-07 15:23:52,10.08,5.94,2.38
2023-01-07 15:23:51,10.55,5.87,2.34
2023-01-07 15:23:50,10.55,5.87,2.34
2023-01-07 15:23:49,9.34,5.52,2.24
2023-01-07 15:23:48,9.34,5.52,2.24
2023-01-07 15:23:47,6.54,4.97,2.11
2023-01-07 15:23:46,6.54,4.97,2.11
