time,some 10,some 60,some 300
2023-01-07 15:25:19,0,0,0
2023-01-07 15:25:18,0,0,0
2023-01-07 15:25:17,0,0,0
2023-01-07 15:25:16,0,0,0
2023-01-07 15:25:15,0,0,0
2023-01-07 15:25:14,0,0,0
2023-01-07 15:25:13,0,0,0
2023-01-07 15:25:12,0,0,0
2023-01-07 15:25:11,0,0,0
2023-01-07 15:25:10,0,0,0
2023-01-07 15:25:09,0,0,0
2023-01-07 15:25:08,0,0,0
2023-01-07 15:25:07,0,0,0
2023-01-07 15:25:06,0,0,0
2023-01-07 15:25:05,0,0,0
2023-01-07 15:25:04,0,0,0
2023-01-07 15:25:03,0,0,0
2023-01-07 15:25:02,0,0,0
2023-01-07 15:25:01,0,0,0
2023-01-07 15:25:00,0,0,0
2023-01-07 15:24:59,0,0,0
2023-01-07 15:24:58,0,0,0
2023-01-07 15:24:57,0,0,0
2023-01-07 15:24:56,0,0,0
2023-01-07 15:24:55,0,0,0
2023-01-07 15:24:54,0,0,0
2023-01-07 15:24:53,0,0,0
2023-01-07 15:24:52,0,0,0
2023-01-07 15:24:51,0,0,0
2023-01-07 15:24:50,0,0,0
2023-01-07 15:24:49,0,0,0
2023-01-07 15:24:48,0,0,0
2023-01-07 15:24:47,0,0,0
2023-01-07 15:24:46,0,0,0
2023-01-07 15:24:45,0,0,0
2023-01-07 15:24:44,0,0,0
2023-01-07 15:24:43,0,0,0
2023-01-07 15:24:42,0,0,0
2023-01-07 15:24:41,0,0,0
2023-01-07 15:24:40,0,0,0
2023-01-07 15:24:39,0,0,0
2023-01-07 15:24:38,0,0,0
2023-01-07 15:24:37,0,0,0
2023-01-07 15:24:36,0,0,0
2023-01-07 15:24:35,0,0,0
2023-01-07 15:24:34,0,0,0
2023-01-07 15:24:33,0,0,0
2023-01-07 15:24:32,0,0,0
2023-01-07 15:24:31,0,0,0
2023-01-07 15:24:30,0,0,0
2023-01-07 15:24:29,0,0,0
2023-01-07 15:24:28,0,0,0
2023-01-07 15:24:27,0,0.01,0
2023-01-07 15:24:26,0,0.01,0
2023-01-07 15:24:25,0,0.01,0
2023-01-07 15:24:24,0,0.01,0
2023-01-07 15:24:23,0,0.01,0
2023-01-07 15:24:22,0,0.01,0
2023-01-07 15:24:21,0,0.01,0
2023-01-07 15:24:20,0,0.01,0
2023-01-07 15:24:19,0,0.01,0
2023-01-07 15:24:18,0,0.01,0
2023-01-07 15:24:17,0,0.01,0
2023-01-07 15:24:16,0,0.01,0
2023-01-07 15:24:15,0,0.01,0
2023-01-07 15:24:14,0,0.01,0
2023-01-07 15:24:13,0,0.01,0
2023-01-07 15:24:12,0,0.01,0
2023-01-07 15:24:11,0,0.01,0
2023-01-07 15:24:10,0,0.01,0
2023-01-07 15:24:09,0,0.01,0
2023-01-07 15:24:08,0,0.01,0
2023-01-07 15:24:07,0,0.01,0
2023-01-07 15:24:06,0,0.01,0
2023-01-07 15:24:05,0,0.01,0
2023-01-07 15:24:04,0,0.01,0
2023-01-07 15:24:03,0,0.01,0
2023-01-07 15:24:02,0,0.01,0
2023-01-07 15:24:01,0,0.01,0
2023-01-07 15:24:00,0,0.01,0
2023-01-07 15:23:59,0,0.01,0
2023-01-07 15:23:58,0,0.01,0
2023-01-07 15:23:57,0,0.02,0
2023-01-07 15:23:56,0,0.02,0
2023-01-07 15:23:55,0,0.02,0
2023-01-07 15:23:54,0,0.02,0
2023-01-07 15:23:53,0,0.02,0
2023-01-07 15:23:52,0,0.02,0
2023-01-07 15:23:51,0,0.02,0
2023-01-07 15:23:50,0,0.02,0
2023-01-07 15:23:49,0,0.02,0
