time,some 10,some 60,some 300
2023-01-07 17:44:57,6.01,6.87,6.01
2023-01-07 17:44:56,6.01,6.87,6.01
2023-01-07 17:44:55,7.34,7.1,6.05
2023-01-07 17:44:54,7.34,7.1,6.05
2023-01-07 17:44:53,8.96,7.34,6.1
2023-01-07 17:44:52,8.96,7.34,6.1
2023-01-07 17:44:51,9.84,7.42,6.1
2023-01-07 17:44:50,9.84,7.42,6.1
2023-01-07 17:44:49,7.37,6.96,6
2023-01-07 17:44:48,7.37,6.96,6
2023-01-07 17:44:47,6.35,6.79,5.96
2023-01-07 17:44:46,6.35,6.79,5.96
2023-01-07 17:44:45,6.21,6.78,5.95
2023-01-07 17:44:44,6.21,6.78,5.95
2023-01-07 17:44:43,6.7,6.88,5.97
2023-01-07 17:44:42,6.7,6.88,5.97
2023-01-07 17:44:41,7.29,6.97,5.98
2023-01-07 17:44:40,7.29,6.97,5.98
2023-01-07 17:44:39,7.8,7.04,5.99
2023-01-07 17:44:38,7.8,7.04,5.99
2023-01-07 17:44:37,8.19,7.08,5.99
2023-01-07 17:44:36,8.19,7.08,5.99
2023-01-07 17:44:35,7.14,6.88,5.94
2023-01-07 17:44:34,7.14,6.88,5.94
2023-01-07 17:44:33,2.52,6.16,5.79
2023-01-07 17:44:32,2.52,6.16,5.79
2023-01-07 17:44:31,3.09,6.37,5.83
2023-01-07 17:44:30,3.09,6.37,5.83
2023-01-07 17:44:29,3.77,6.59,5.87
2023-01-07 17:44:28,3.77,6.59,5.87
2023-01-07 17:44:27,4.61,6.81,5.91
2023-01-07 17:44:26,4.61,6.81,5.91
2023-01-07 17:44:25,5.63,7.04,5.95
2023-01-07 17:44:24,5.63,7.04,5.95
2023-01-07 17:44:23,5.77,7.11,5.95
2023-01-07 17:44:22,5.77,7.11,5.95
2023-01-07 17:44:21,5.94,7.18,5.96
2023-01-07 17:44:20,5.94,7.18,5.96
2023-01-07 17:44:19,6.37,7.29,5.98
2023-01-07 17:44:18,6.37,7.29,5.98
2023-01-07 17:44:17,6.9,7.4,5.99
2023-01-07 17:44:16,6.9,7.4,5.99
2023-01-07 17:44:15,7.54,7.52,6
2023-01-07 17:44:14,7.54,7.52,6
2023-01-07 17:44:13,8.33,7.64,6.02
2023-01-07 17:44:12,8.33,7.64,6.02
2023-01-07 17:44:11,9.07,7.72,6.02
2023-01-07 17:44:10,9.07,7.72,6.02
2023-01-07 17:44:09,10.19,7.85,6.04
2023-01-07 17:44:08,10.19,7.85,6.04
2023-01-07 17:44:07,10.9,7.88,6.03
2023-01-07 17:44:06,10.9,7.88,6.03
2023-01-07 17:44:05,10.65,7.74,5.99
2023-01-07 17:44:04,10.65,7.74,5.99
2023-01-07 17:44:03,13.01,8,6.03
2023-01-07 17:44:02,13.01,8,6.03
2023-01-07 17:44:01,15.89,8.27,6.07
2023-01-07 17:44:00,15.89,8.27,6.07
2023-01-07 17:43:59,14.76,7.84,5.97
2023-01-07 17:43:58,14.76,7.84,5.97
2023-01-07 17:43:57,12.5,7.26,5.84
2023-01-07 17:43:56,12.5,7.26,5.84
2023-01-07 17:43:55,12.39,7.07,5.79
2023-01-07 17:43:54,12.39,7.07,5.79
2023-01-07 17:43:53,13.14,7,5.77
2023-01-07 17:43:52,13.14,7,5.77
2023-01-07 17:43:51,12.06,6.63,5.68
2023-01-07 17:43:50,12.06,6.63,5.68
2023-01-07 17:43:49,12.08,6.45,5.64
2023-01-07 17:43:48,12.08,6.45,5.64
2023-01-07 17:43:47,12.1,6.26,5.6
2023-01-07 17:43:46,12.1,6.26,5.6
2023-01-07 17:43:45,11.01,5.9,5.52
2023-01-07 17:43:44,11.01,5.9,5.52
2023-01-07 17:43:43,9.91,5.56,5.45
2023-01-07 17:43:42,9.91,5.56,5.45
2023-01-07 17:43:41,7.9,5.09,5.35
2023-01-07 17:43:40,7.9,5.09,5.35
2023-01-07 17:43:39,5.89,4.7,5.27
2023-01-07 17:43:38,5.89,4.7,5.27
2023-01-07 17:43:37,7.19,4.86,5.31
2023-01-07 17:43:36,7.19,4.86,5.31
2023-01-07 17:43:35,8.34,4.96,5.33
2023-01-07 17:43:34,8.34,4.96,5.33
2023-01-07 17:43:33,7.97,4.79,5.3
2023-01-07 17:43:32,7.97,4.79,5.3
2023-01-07 17:43:31,8.85,4.8,5.31
