time,read,write
2023-01-07 17:44:57,0,0
2023-01-07 17:44:56,0,0
2023-01-07 17:44:55,0,0
2023-01-07 17:44:54,0,0
2023-01-07 17:44:53,901.3475,-1.0859608
2023-01-07 17:44:52,2418.653,-2.914039
2023-01-07 17:44:51,0,0
2023-01-07 17:44:50,0,0
2023-01-07 17:44:49,0,-1.089058
2023-01-07 17:44:48,0,-2.910942
2023-01-07 17:44:47,0,0
2023-01-07 17:44:46,0,0
2023-01-07 17:44:45,0,0
2023-01-07 17:44:44,0,-1.0892043
2023-01-07 17:44:43,0,-2.910796
2023-01-07 17:44:42,0,0
2023-01-07 17:44:41,0,0
2023-01-07 17:44:40,0,0
2023-01-07 17:44:39,0,0
2023-01-07 17:44:38,0,-1.0899901
2023-01-07 17:44:37,0,-2.91001
2023-01-07 17:44:36,0,0
2023-01-07 17:44:35,0,0
2023-01-07 17:44:34,88.24164,0
2023-01-07 17:44:33,714.1369,0
2023-01-07 17:44:32,1285.6215,0
2023-01-07 17:44:31,0,0
2023-01-07 17:44:30,0,0
2023-01-07 17:44:29,0,0
2023-01-07 17:44:28,0,0
2023-01-07 17:44:27,0,0
2023-01-07 17:44:26,83.47286,-1.0840631
2023-01-07 17:44:25,224.5271,-2.915937
2023-01-07 17:44:24,0,0
2023-01-07 17:44:23,0,0
2023-01-07 17:44:22,0,-1.0864693
2023-01-07 17:44:21,0,-2.913531
2023-01-07 17:44:20,0,0
2023-01-07 17:44:19,0,0
2023-01-07 17:44:18,0,0
2023-01-07 17:44:17,0,-1.0887231
2023-01-07 17:44:16,0,-2.911277
2023-01-07 17:44:15,0,0
2023-01-07 17:44:14,0,0
2023-01-07 17:44:13,0,0
2023-01-07 17:44:12,0,-1.087214
2023-01-07 17:44:11,0,-2.912786
2023-01-07 17:44:10,0,0
2023-01-07 17:44:09,0,0
2023-01-07 17:44:08,0,0
2023-01-07 17:44:07,0,0
2023-01-07 17:44:06,0,0
2023-01-07 17:44:05,0,0
2023-01-07 17:44:04,0,0
2023-01-07 17:44:03,0,0
2023-01-07 17:44:02,0,0
2023-01-07 17:44:01,0,-1.0844175
2023-01-07 17:44:00,0,-2.915582
2023-01-07 17:43:59,0,0
2023-01-07 17:43:58,0,0
2023-01-07 17:43:57,0,0
2023-01-07 17:43:56,0,-1.0852162
2023-01-07 17:43:55,0,-2.914784
2023-01-07 17:43:54,0,0
2023-01-07 17:43:53,0,0
2023-01-07 17:43:52,0,0
2023-01-07 17:43:51,0,-1.0973817
2023-01-07 17:43:50,0,-2.902618
2023-01-07 17:43:49,0,0
2023-01-07 17:43:48,0,0
2023-01-07 17:43:47,0,0
2023-01-07 17:43:46,0,-1.0884347
2023-01-07 17:43:45,0,-2.911565
2023-01-07 17:43:44,0,0
2023-01-07 17:43:43,0,0
2023-01-07 17:43:42,0,0
2023-01-07 17:43:41,0,0
2023-01-07 17:43:40,1011.7603,0
2023-01-07 17:43:39,2684.24,0
2023-01-07 17:43:38,0,0
2023-01-07 17:43:37,0,0
2023-01-07 17:43:36,888.8283,-1.0852604
2023-01-07 17:43:35,2387.172,-2.91474
2023-01-07 17:43:34,0,0
2023-01-07 17:43:33,0,0
2023-01-07 17:43:32,0,-1.0998637
2023-01-07 17:43:31,0,-2.900136
2023-01-07 17:43:30,0,0
2023-01-07 17:43:29,0,0
2023-01-07 17:43:28,0,0
2023-01-07 17:43:27,0,-1.0889225
2023-01-07 17:43:26,0,-2.911078
2023-01-07 17:43:25,0,0
2023-01-07 17:43:24,0,0
2023-01-07 17:43:23,0,0
2023-01-07 17:43:22,0,-1.089773
2023-01-07 17:43:21,0,-2.910227
2023-01-07 17:43:20,0,0
2023-01-07 17:43:19,0,0
2023-01-07 17:43:18,0,0
2023-01-07 17:43:17,627.9881,0
2023-01-07 17:43:16,2037.216,0
2023-01-07 17:43:15,938.7959,0
2023-01-07 17:43:14,79.2295,-1.0853356
2023-01-07 17:43:13,212.7705,-2.914664
2023-01-07 17:43:12,0,0
2023-01-07 17:43:11,0,0
2023-01-07 17:43:10,0,0
2023-01-07 17:43:09,0,-1.0889759
2023-01-07 17:43:08,0,-2.911024
2023-01-07 17:43:07,0,0
2023-01-07 17:43:06,0,0
2023-01-07 17:43:05,0,0
2023-01-07 17:43:04,0,-1.0912583
2023-01-07 17:43:03,0,-2.908742
2023-01-07 17:43:02,0,0
2023-01-07 17:43:01,0,0
2023-01-07 17:43:00,0,0
2023-01-07 17:42:59,0,-1.0879706
2023-01-07 17:42:58,0,-2.912029
2023-01-07 17:42:57,0,0
2023-01-07 17:42:56,0,0
2023-01-07 17:42:55,117.43375,0
2023-01-07 17:42:54,5947.015,0
2023-01-07 17:42:53,15147.552,0
2023-01-07 17:42:52,0,0
2023-01-07 17:42:51,242.8379,0
2023-01-07 17:42:50,653.1621,0
2023-01-07 17:42:49,0,0
2023-01-07 17:42:48,0,0
2023-01-07 17:42:47,0,0
2023-01-07 17:42:46,0,0
2023-01-07 17:42:45,0,0
2023-01-07 17:42:44,0,0
2023-01-07 17:42:43,0,0
2023-01-07 17:42:42,0,0
2023-01-07 17:42:41,0,0
2023-01-07 17:42:40,0,0
2023-01-07 17:42:39,0,0
2023-01-07 17:42:38,0,0
2023-01-07 17:42:37,0,0
2023-01-07 17:42:36,0,0
2023-01-07 17:42:35,0,0
2023-01-07 17:42:34,0,0
2023-01-07 17:42:33,0,0
2023-01-07 17:42:32,0,0
2023-01-07 17:42:31,0,0
2023-01-07 17:42:30,0,0
2023-01-07 17:42:29,0,0
2023-01-07 17:42:28,0,0
2023-01-07 17:42:27,0,0
2023-01-07 17:42:26,0,0
2023-01-07 17:42:25,0,0
2023-01-07 17:42:24,0,0
2023-01-07 17:42:23,0,0
2023-01-07 17:42:22,0,0
2023-01-07 17:42:21,0,0
2023-01-07 17:42:20,0,0
2023-01-07 17:42:19,0,0
2023-01-07 17:42:18,0,0
2023-01-07 17:42:17,0,0
2023-01-07 17:42:16,0,0
2023-01-07 17:42:15,0,0
2023-01-07 17:42:14,0,0
2023-01-07 17:42:13,0,0
2023-01-07 17:42:12,0,0
2023-01-07 17:42:11,0,0
2023-01-07 17:42:10,0,0
2023-01-07 17:42:09,0,0
2023-01-07 17:42:08,0,0
2023-01-07 17:42:07,0,0
2023-01-07 17:42:06,0,0
2023-01-07 17:42:05,0,0
2023-01-07 17:42:04,0,0
2023-01-07 17:42:03,0,0
2023-01-07 17:42:02,0,0
2023-01-07 17:42:01,0,0
2023-01-07 17:42:00,0,0
2023-01-07 17:41:59,0,0
2023-01-07 17:41:58,0,0
2023-01-07 17:41:57,0,0
2023-01-07 17:41:56,0,0
2023-01-07 17:41:55,0,0
2023-01-07 17:41:54,0,0
2023-01-07 17:41:53,0,0
2023-01-07 17:41:52,0,0
2023-01-07 17:41:51,0,0
2023-01-07 17:41:50,0,0
2023-01-07 17:41:49,0,0
2023-01-07 17:41:48,0,0
2023-01-07 17:41:47,0,0
2023-01-07 17:41:46,0,0
2023-01-07 17:41:45,0,0
2023-01-07 17:41:44,0,0
2023-01-07 17:41:43,0,0
2023-01-07 17:41:42,0,0
2023-01-07 17:41:41,0,0
2023-01-07 17:41:40,0,0
2023-01-07 17:41:39,0,0
2023-01-07 17:41:38,0,0
2023-01-07 17:41:37,0,0
2023-01-07 17:41:36,0,0
2023-01-07 17:41:35,0,0
2023-01-07 17:41:34,0,0
2023-01-07 17:41:33,0,0
2023-01-07 17:41:32,0,0
2023-01-07 17:41:31,0,0
2023-01-07 17:41:30,0,0
2023-01-07 17:41:29,0,0
2023-01-07 17:41:28,0,0
2023-01-07 17:41:27,0,0
2023-01-07 17:41:26,0,0
2023-01-07 17:41:25,0,0
2023-01-07 17:41:24,0,0
2023-01-07 17:41:23,0,0
2023-01-07 17:41:22,0,0
2023-01-07 17:41:21,0,0
2023-01-07 17:41:20,0,0
2023-01-07 17:41:19,0,0
2023-01-07 17:41:18,0,0
2023-01-07 17:41:17,0,0
2023-01-07 17:41:16,0,0
2023-01-07 17:41:15,0,0
2023-01-07 17:41:14,0,0
2023-01-07 17:41:13,0,0
2023-01-07 17:41:12,0,0
2023-01-07 17:41:11,0,0
2023-01-07 17:41:10,0,0
2023-01-07 17:41:09,0,0
2023-01-07 17:41:08,0,0
2023-01-07 17:41:07,0,0
2023-01-07 17:41:06,0,0
2023-01-07 17:41:05,0,0
2023-01-07 17:41:04,0,0
2023-01-07 17:41:03,0,0
2023-01-07 17:41:02,0,0
2023-01-07 17:41:01,0,0
2023-01-07 17:41:00,0,0
2023-01-07 17:40:59,0,0
2023-01-07 17:40:58,0,0
