time,some 10,some 60,some 300
2023-01-07 17:44:57,0.4,0.2,0.46
2023-01-07 17:44:56,0.4,0.2,0.46
2023-01-07 17:44:55,0.49,0.21,0.46
2023-01-07 17:44:54,0.49,0.21,0.46
2023-01-07 17:44:53,0.6,0.22,0.46
2023-01-07 17:44:52,0.6,0.22,0.46
2023-01-07 17:44:51,0.51,0.19,0.46
2023-01-07 17:44:50,0.51,0.19,0.46
2023-01-07 17:44:49,0.18,0.13,0.45
2023-01-07 17:44:48,0.18,0.13,0.45
2023-01-07 17:44:47,0,0.1,0.44
2023-01-07 17:44:46,0,0.1,0.44
2023-01-07 17:44:45,0,0.11,0.45
2023-01-07 17:44:44,0,0.11,0.45
2023-01-07 17:44:43,0,0.11,0.45
2023-01-07 17:44:42,0,0.11,0.45
2023-01-07 17:44:41,0,0.11,0.45
2023-01-07 17:44:40,0,0.11,0.45
2023-01-07 17:44:39,0,0.12,0.46
2023-01-07 17:44:38,0,0.12,0.46
2023-01-07 17:44:37,0,0.12,0.46
2023-01-07 17:44:36,0,0.12,0.46
2023-01-07 17:44:35,0,0.13,0.46
2023-01-07 17:44:34,0,0.13,0.46
2023-01-07 17:44:33,0,0.13,0.47
2023-01-07 17:44:32,0,0.13,0.47
2023-01-07 17:44:31,0,0.14,0.47
2023-01-07 17:44:30,0,0.14,0.47
2023-01-07 17:44:29,0,0.14,0.47
2023-01-07 17:44:28,0,0.14,0.47
2023-01-07 17:44:27,0.01,0.15,0.48
2023-01-07 17:44:26,0.01,0.15,0.48
2023-01-07 17:44:25,0.01,0.15,0.48
2023-01-07 17:44:24,0.01,0.15,0.48
2023-01-07 17:44:23,0.01,0.16,0.49
2023-01-07 17:44:22,0.01,0.16,0.49
2023-01-07 17:44:21,0.02,0.16,0.49
2023-01-07 17:44:20,0.02,0.16,0.49
2023-01-07 17:44:19,0.02,0.17,0.49
2023-01-07 17:44:18,0.02,0.17,0.49
2023-01-07 17:44:17,0.03,0.18,0.5
2023-01-07 17:44:16,0.03,0.18,0.5
2023-01-07 17:44:15,0.04,0.18,0.5
2023-01-07 17:44:14,0.04,0.18,0.5
2023-01-07 17:44:13,0.05,0.19,0.5
2023-01-07 17:44:12,0.05,0.19,0.5
2023-01-07 17:44:11,0.06,0.2,0.51
2023-01-07 17:44:10,0.06,0.2,0.51
2023-01-07 17:44:09,0.07,0.2,0.51
2023-01-07 17:44:08,0.07,0.2,0.51
2023-01-07 17:44:07,0.09,0.21,0.52
2023-01-07 17:44:06,0.09,0.21,0.52
2023-01-07 17:44:05,0.11,0.22,0.52
2023-01-07 17:44:04,0.11,0.22,0.52
2023-01-07 17:44:03,0.14,0.22,0.52
2023-01-07 17:44:02,0.14,0.22,0.52
2023-01-07 17:44:01,0.17,0.23,0.53
2023-01-07 17:44:00,0.17,0.23,0.53
2023-01-07 17:43:59,0.21,0.24,0.53
2023-01-07 17:43:58,0.21,0.24,0.53
2023-01-07 17:43:57,0.26,0.25,0.54
2023-01-07 17:43:56,0.26,0.25,0.54
2023-01-07 17:43:55,0.32,0.26,0.54
2023-01-07 17:43:54,0.32,0.26,0.54
2023-01-07 17:43:53,0.39,0.27,0.54
2023-01-07 17:43:52,0.39,0.27,0.54
2023-01-07 17:43:51,0.48,0.28,0.55
2023-01-07 17:43:50,0.48,0.28,0.55
2023-01-07 17:43:49,0.14,0.22,0.54
2023-01-07 17:43:48,0.14,0.22,0.54
2023-01-07 17:43:47,0.17,0.23,0.54
2023-01-07 17:43:46,0.17,0.23,0.54
2023-01-07 17:43:45,0.21,0.24,0.54
2023-01-07 17:43:44,0.21,0.24,0.54
2023-01-07 17:43:43,0.26,0.24,0.55
2023-01-07 17:43:42,0.26,0.24,0.55
2023-01-07 17:43:41,0.32,0.25,0.55
2023-01-07 17:43:40,0.32,0.25,0.55
2023-01-07 17:43:39,0.39,0.26,0.56
2023-01-07 17:43:38,0.39,0.26,0.56
2023-01-07 17:43:37,0.48,0.27,0.56
2023-01-07 17:43:36,0.48,0.27,0.56
2023-01-07 17:43:35,0.59,0.28,0.56
2023-01-07 17:43:34,0.59,0.28,0.56
2023-01-07 17:43:33,0.28,0.22,0.55
2023-01-07 17:43:32,0.28,0.22,0.55
2023-01-07 17:43:31,0.34,0.23,0.56
2023-01-07 17:43:30,0.34,0.23,0.56
2023-01-07 17:43:29,0.2,0.2,0.55
2023-01-07 17:43:28,0.2,0.2,0.55
2023-01-07 17:43:27,0.24,0.21,0.56
2023-01-07 17:43:26,0.24,0.21,0.56
2023-01-07 17:43:25,0.3,0.22,0.56
2023-01-07 17:43:24,0.3,0.22,0.56
2023-01-07 17:43:23,0.36,0.23,0.56
2023-01-07 17:43:22,0.36,0.23,0.56
2023-01-07 17:43:21,0.45,0.24,0.56
2023-01-07 17:43:20,0.45,0.24,0.56
2023-01-07 17:43:19,0.54,0.24,0.56
2023-01-07 17:43:18,0.54,0.24,0.56
2023-01-07 17:43:17,0.67,0.25,0.57
2023-01-07 17:43:16,0.67,0.25,0.57
2023-01-07 17:43:15,0.82,0.26,0.57
2023-01-07 17:43:14,0.82,0.26,0.57
2023-01-07 17:43:13,1,0.27,0.59
2023-01-07 17:43:12,1,0.27,0.59
2023-01-07 17:43:11,0.33,0.14,0.56
2023-01-07 17:43:10,0.33,0.14,0.56
2023-01-07 17:43:09,0.41,0.15,0.56
2023-01-07 17:43:08,0.41,0.15,0.56
2023-01-07 17:43:07,0.5,0.16,0.56
2023-01-07 17:43:06,0.5,0.16,0.56
2023-01-07 17:43:05,0.39,0.13,0.56
2023-01-07 17:43:04,0.39,0.13,0.56
2023-01-07 17:43:03,0.26,0.1,0.56
2023-01-07 17:43:02,0.26,0.1,0.56
2023-01-07 17:43:01,0.09,0.07,0.56
2023-01-07 17:43:00,0.09,0.07,0.56
2023-01-07 17:42:59,0.12,0.07,0.56
2023-01-07 17:42:58,0.12,0.07,0.56
2023-01-07 17:42:57,0.14,0.07,0.56
2023-01-07 17:42:56,0.14,0.07,0.56
2023-01-07 17:42:55,0.18,0.07,0.57
2023-01-07 17:42:54,0.18,0.07,0.57
2023-01-07 17:42:53,0,0.04,0.56
2023-01-07 17:42:52,0,0.04,0.56
2023-01-07 17:42:51,0,0.04,0.57
2023-01-07 17:42:50,0,0.04,0.57
2023-01-07 17:42:49,0,0.05,0.57
2023-01-07 17:42:48,0,0.05,0.57
2023-01-07 17:42:47,0,0.05,0.59
2023-01-07 17:42:46,0,0.05,0.59
2023-01-07 17:42:45,0,0.05,0.59
2023-01-07 17:42:44,0,0.05,0.59
2023-01-07 17:42:43,0,0.05,0.6
2023-01-07 17:42:42,0,0.05,0.6
2023-01-07 17:42:41,0,0.05,0.6
2023-01-07 17:42:40,0,0.05,0.6
2023-01-07 17:42:39,0,0.06,0.6
2023-01-07 17:42:38,0,0.06,0.6
2023-01-07 17:42:37,0,0.06,0.61
2023-01-07 17:42:36,0,0.06,0.61
2023-01-07 17:42:35,0,0.06,0.61
2023-01-07 17:42:34,0,0.06,0.61
2023-01-07 17:42:33,0,0.06,0.62
2023-01-07 17:42:32,0,0.06,0.62
2023-01-07 17:42:31,0,0.07,0.62
2023-01-07 17:42:30,0,0.07,0.62
2023-01-07 17:42:29,0,0.07,0.63
2023-01-07 17:42:28,0,0.07,0.63
2023-01-07 17:42:27,0,0.07,0.63
2023-01-07 17:42:26,0,0.07,0.63
2023-01-07 17:42:25,0,0.08,0.64
2023-01-07 17:42:24,0,0.08,0.64
2023-01-07 17:42:23,0,0.08,0.64
2023-01-07 17:42:22,0,0.08,0.64
2023-01-07 17:42:21,0,0.08,0.64
2023-01-07 17:42:20,0,0.08,0.64
2023-01-07 17:42:19,0,0.08,0.65
2023-01-07 17:42:18,0,0.08,0.65
2023-01-07 17:42:17,0,0.09,0.65
2023-01-07 17:42:16,0,0.09,0.65
2023-01-07 17:42:15,0,0.09,0.66
2023-01-07 17:42:14,0,0.09,0.66
2023-01-07 17:42:13,0,0.09,0.66
2023-01-07 17:42:12,0,0.09,0.66
2023-01-07 17:42:11,0,0.1,0.67
2023-01-07 17:42:10,0,0.1,0.67
2023-01-07 17:42:09,0,0.1,0.67
2023-01-07 17:42:08,0,0.1,0.67
2023-01-07 17:42:07,0,0.11,0.68
