time,some 10,some 60,some 300
2023-01-07 15:44:15,0.03,4.55,5.49
2023-01-07 15:44:14,0.03,4.72,5.53
2023-01-07 15:44:13,0.03,4.72,5.53
2023-01-07 15:44:12,0.04,4.88,5.57
2023-01-07 15:44:11,0.04,4.88,5.57
2023-01-07 15:44:10,0.05,5.04,5.6
2023-01-07 15:44:09,0.05,5.04,5.6
2023-01-07 15:44:08,0.07,5.21,5.64
2023-01-07 15:44:07,0.07,5.21,5.64
2023-01-07 15:44:06,0.08,5.39,5.68
2023-01-07 15:44:05,0.08,5.39,5.68
2023-01-07 15:44:04,0.1,5.57,5.72
2023-01-07 15:44:03,0.1,5.57,5.72
2023-01-07 15:44:02,0.13,5.76,5.76
2023-01-07 15:44:01,0.13,5.76,5.76
2023-01-07 15:44:00,0.16,5.96,5.8
2023-01-07 15:43:59,0.16,5.96,5.8
2023-01-07 15:43:58,0.19,6.16,5.84
2023-01-07 15:43:57,0.19,6.16,5.84
2023-01-07 15:43:56,0.24,6.37,5.88
2023-01-07 15:43:55,0.24,6.37,5.88
2023-01-07 15:43:54,0.28,6.58,5.92
2023-01-07 15:43:53,0.28,6.58,5.92
2023-01-07 15:43:52,0.36,6.81,5.96
2023-01-07 15:43:51,0.36,6.81,5.96
2023-01-07 15:43:50,0.44,7.04,6
2023-01-07 15:43:49,0.44,7.04,6
2023-01-07 15:43:48,0.53,7.28,6.05
2023-01-07 15:43:47,0.53,7.28,6.05
2023-01-07 15:43:46,0.65,7.52,6.09
2023-01-07 15:43:45,0.65,7.52,6.09
2023-01-07 15:43:44,0.8,7.78,6.13
2023-01-07 15:43:43,0.8,7.78,6.13
2023-01-07 15:43:42,0.98,8.03,6.17
2023-01-07 15:43:41,0.98,8.03,6.17
2023-01-07 15:43:40,1.19,8.31,6.22
2023-01-07 15:43:39,1.19,8.31,6.22
2023-01-07 15:43:38,1.46,8.6,6.26
2023-01-07 15:43:37,1.46,8.6,6.26
2023-01-07 15:43:36,1.78,8.89,6.3
2023-01-07 15:43:35,1.78,8.89,6.3
2023-01-07 15:43:34,2.18,9.19,6.35
2023-01-07 15:43:33,2.18,9.19,6.35
2023-01-07 15:43:32,2.66,9.5,6.39
2023-01-07 15:43:31,2.66,9.5,6.39
2023-01-07 15:43:30,3.25,9.82,6.43
2023-01-07 15:43:29,3.25,9.82,6.43
2023-01-07 15:43:28,3.97,10.15,6.48
2023-01-07 15:43:27,3.97,10.15,6.48
2023-01-07 15:43:26,4.86,10.5,6.52
2023-01-07 15:43:25,4.86,10.5,6.52
2023-01-07 15:43:24,5.93,10.85,6.57
2023-01-07 15:43:23,5.93,10.85,6.57
2023-01-07 15:43:22,7.24,11.22,6.61
2023-01-07 15:43:21,7.24,11.22,6.61
2023-01-07 15:43:20,8.85,11.6,6.66
2023-01-07 15:43:19,8.85,11.6,6.66
2023-01-07 15:43:18,10.81,11.99,6.71
2023-01-07 15:43:17,10.81,11.99,6.71
2023-01-07 15:43:16,13.2,12.4,6.75
2023-01-07 15:43:15,13.2,12.4,6.75
2023-01-07 15:43:14,16.12,12.82,6.8
2023-01-07 15:43:13,16.12,12.82,6.8
2023-01-07 15:43:12,19.69,13.25,6.85
2023-01-07 15:43:11,19.69,13.25,6.85
2023-01-07 15:43:10,21.39,13.29,6.81
2023-01-07 15:43:09,21.39,13.29,6.81
2023-01-07 15:43:08,18.82,12.63,6.63
2023-01-07 15:43:07,18.82,12.63,6.63
2023-01-07 15:43:06,16.35,12.04,6.47
2023-01-07 15:43:05,16.35,12.04,6.47
2023-01-07 15:43:04,14.44,11.6,6.34
2023-01-07 15:43:03,14.44,11.6,6.34
2023-01-07 15:43:02,17.64,11.99,6.38
2023-01-07 15:43:01,17.64,11.99,6.38
2023-01-07 15:43:00,19.55,12.1,6.37
2023-01-07 15:42:59,19.55,12.1,6.37
2023-01-07 15:42:58,15.69,11.25,6.16
2023-01-07 15:42:57,15.69,11.25,6.16
2023-01-07 15:42:56,12.3,10.58,5.98
2023-01-07 15:42:55,12.3,10.58,5.98
2023-01-07 15:42:54,7.28,9.76,5.78
2023-01-07 15:42:53,7.28,9.76,5.78
2023-01-07 15:42:52,8.44,10.02,5.81
2023-01-07 15:42:51,8.44,10.02,5.81
2023-01-07 15:42:50,10.33,10.36,5.85
2023-01-07 15:42:49,10.33,10.36,5.85
2023-01-07 15:42:48,12.61,10.71,5.89
2023-01-07 15:42:47,12.61,10.71,5.89
2023-01-07 15:42:46,12.53,10.63,5.84
2023-01-07 15:42:45,12.53,10.63,5.84
2023-01-07 15:42:44,11.54,10.42,5.77
2023-01-07 15:42:43,11.54,10.42,5.77
2023-01-07 15:42:42,9.44,10.06,5.66
2023-01-07 15:42:41,9.44,10.06,5.66
2023-01-07 15:42:40,11.32,10.37,5.69
2023-01-07 15:42:39,11.32,10.37,5.69
2023-01-07 15:42:38,13.82,10.72,5.73
2023-01-07 15:42:37,13.82,10.72,5.73
2023-01-07 15:42:36,16.88,11.08,5.77
2023-01-07 15:42:35,16.88,11.08,5.77
2023-01-07 15:42:34,17.52,10.98,5.71
2023-01-07 15:42:33,17.52,10.98,5.71
2023-01-07 15:42:32,17.19,10.71,5.62
