time,read,write
2023-01-07 15:44:15,0,0
2023-01-07 15:44:14,0,0
2023-01-07 15:44:13,0,0
2023-01-07 15:44:12,0,0
2023-01-07 15:44:11,0,0
2023-01-07 15:44:10,0,0
2023-01-07 15:44:09,0,0
2023-01-07 15:44:08,0,0
2023-01-07 15:44:07,0,0
2023-01-07 15:44:06,0,0
2023-01-07 15:44:05,0,0
2023-01-07 15:44:04,0,0
2023-01-07 15:44:03,0,0
2023-01-07 15:44:02,0,0
2023-01-07 15:44:01,0,0
2023-01-07 15:44:00,0,0
2023-01-07 15:43:59,0,0
2023-01-07 15:43:58,0,0
2023-01-07 15:43:57,0,0
2023-01-07 15:43:56,0,0
2023-01-07 15:43:55,0,0
2023-01-07 15:43:54,0,0
2023-01-07 15:43:53,0,0
2023-01-07 15:43:52,0,0
2023-01-07 15:43:51,0,0
2023-01-07 15:43:50,0,0
2023-01-07 15:43:49,0,0
2023-01-07 15:43:48,0,0
2023-01-07 15:43:47,0,0
2023-01-07 15:43:46,0,0
2023-01-07 15:43:45,0,0
2023-01-07 15:43:44,0,0
2023-01-07 15:43:43,0,0
2023-01-07 15:43:42,0,0
2023-01-07 15:43:41,0,0
2023-01-07 15:43:40,0,0
2023-01-07 15:43:39,0,0
2023-01-07 15:43:38,0,0
2023-01-07 15:43:37,0,0
2023-01-07 15:43:36,0,0
2023-01-07 15:43:35,0,0
2023-01-07 15:43:34,0,0
2023-01-07 15:43:33,0,0
2023-01-07 15:43:32,0,0
2023-01-07 15:43:31,0,0
2023-01-07 15:43:30,0,0
2023-01-07 15:43:29,0,0
2023-01-07 15:43:28,0,0
2023-01-07 15:43:27,0,0
2023-01-07 15:43:26,0,0
2023-01-07 15:43:25,0,0
2023-01-07 15:43:24,0,0
2023-01-07 15:43:23,0,0
2023-01-07 15:43:22,0,0
2023-01-07 15:43:21,0,0
2023-01-07 15:43:20,0,0
2023-01-07 15:43:19,0,0
2023-01-07 15:43:18,0,0
2023-01-07 15:43:17,0,0
2023-01-07 15:43:16,0,0
2023-01-07 15:43:15,0,0
2023-01-07 15:43:14,0,0
2023-01-07 15:43:13,0,0
2023-01-07 15:43:12,0,0
2023-01-07 15:43:11,0,0
2023-01-07 15:43:10,0,-0.5432411
2023-01-07 15:43:09,0,-1.4567589
2023-01-07 15:43:08,0,0
2023-01-07 15:43:07,0,0
2023-01-07 15:43:06,0,0
2023-01-07 15:43:05,1.6283846,0
2023-01-07 15:43:04,4.371615,0
2023-01-07 15:43:03,0,0
2023-01-07 15:43:02,0,0
2023-01-07 15:43:01,0,0
2023-01-07 15:43:00,0,-0.2711177
2023-01-07 15:42:59,0,-1.0020723
2023-01-07 15:42:58,0,-0.7268101
2023-01-07 15:42:57,0,0
2023-01-07 15:42:56,0,0
2023-01-07 15:42:55,0,0
2023-01-07 15:42:54,14.64541,0
2023-01-07 15:42:53,39.35459,0
2023-01-07 15:42:52,0,0
2023-01-07 15:42:51,0,0
2023-01-07 15:42:50,0,0
2023-01-07 15:42:49,0,0
2023-01-07 15:42:48,0,0
2023-01-07 15:42:47,16.582837,-0.2718498
2023-01-07 15:42:46,44.41716,-0.7281502
2023-01-07 15:42:45,0,0
2023-01-07 15:42:44,0,0
2023-01-07 15:42:43,0,0
2023-01-07 15:42:42,28.05178,0
2023-01-07 15:42:41,74.94822,0
2023-01-07 15:42:40,0,0
2023-01-07 15:42:39,0,0
2023-01-07 15:42:38,0,0
2023-01-07 15:42:37,0,0
2023-01-07 15:42:36,0,0
