time,some 10,some 60,some 300
2023-01-07 17:08:34,0.6,15.44,17.95
2023-01-07 17:08:33,0.6,15.44,17.95
2023-01-07 17:08:32,0.74,15.96,18.07
2023-01-07 17:08:31,0.74,15.96,18.07
2023-01-07 17:08:30,0.91,16.5,18.2
2023-01-07 17:08:29,0.91,16.5,18.2
2023-01-07 17:08:28,1.11,17.05,18.32
2023-01-07 17:08:27,1.11,17.05,18.32
2023-01-07 17:08:26,1.35,17.64,18.45
2023-01-07 17:08:25,1.35,17.64,18.45
2023-01-07 17:08:24,1.65,18.23,18.57
2023-01-07 17:08:23,1.65,18.23,18.57
2023-01-07 17:08:22,2.02,18.85,18.7
2023-01-07 17:08:21,2.02,18.85,18.7
2023-01-07 17:08:20,2.47,19.48,18.82
2023-01-07 17:08:19,2.47,19.48,18.82
2023-01-07 17:08:18,3.02,20.14,18.96
2023-01-07 17:08:17,3.02,20.14,18.96
2023-01-07 17:08:16,3.68,20.83,19.09
2023-01-07 17:08:15,3.68,20.83,19.09
2023-01-07 17:08:14,4.5,21.54,19.22
2023-01-07 17:08:13,4.5,21.54,19.22
2023-01-07 17:08:12,5.5,22.27,19.36
2023-01-07 17:08:11,5.5,22.27,19.36
2023-01-07 17:08:10,6.72,23.02,19.48
2023-01-07 17:08:09,6.72,23.02,19.48
2023-01-07 17:08:08,8.19,23.8,19.63
2023-01-07 17:08:07,8.19,23.8,19.63
2023-01-07 17:08:06,10.02,24.6,19.76
2023-01-07 17:08:05,10.02,24.6,19.76
2023-01-07 17:08:04,12.24,25.44,19.89
2023-01-07 17:08:03,12.24,25.44,19.89
2023-01-07 17:08:02,14.95,26.3,20.03
2023-01-07 17:08:01,14.95,26.3,20.03
2023-01-07 17:08:00,18.26,27.19,20.17
2023-01-07 17:07:59,18.26,27.19,20.17
2023-01-07 17:07:58,22.3,28.11,20.3
2023-01-07 17:07:57,22.3,28.11,20.3
2023-01-07 17:07:56,27.23,29.06,20.45
2023-01-07 17:07:55,27.23,29.06,20.45
2023-01-07 17:07:54,31.48,29.77,20.54
2023-01-07 17:07:53,31.48,29.77,20.54
