time,read,write
2023-01-07 17:08:34,0,0
2023-01-07 17:08:33,0,0
2023-01-07 17:08:32,0,0
2023-01-07 17:08:31,0,0
2023-01-07 17:08:30,0,0
2023-01-07 17:08:29,0,0
2023-01-07 17:08:28,0,0
2023-01-07 17:08:27,0,0
2023-01-07 17:08:26,0,0
2023-01-07 17:08:25,0,0
2023-01-07 17:08:24,0,0
2023-01-07 17:08:23,0,0
2023-01-07 17:08:22,0,0
2023-01-07 17:08:21,0,0
2023-01-07 17:08:20,0,0
2023-01-07 17:08:19,0,0
2023-01-07 17:08:18,0,0
2023-01-07 17:08:17,0,0
2023-01-07 17:08:16,0,0
2023-01-07 17:08:15,0,0
2023-01-07 17:08:14,0,-34.71471
2023-01-07 17:08:13,0,-93.28529
2023-01-07 17:08:12,0,0
2023-01-07 17:08:11,0,0
2023-01-07 17:08:10,0,0
2023-01-07 17:08:09,0,0
2023-01-07 17:08:08,0,0
2023-01-07 17:08:07,0,0
2023-01-07 17:08:06,0,0
2023-01-07 17:08:05,0,0
2023-01-07 17:08:04,0,0
2023-01-07 17:08:03,0,0
2023-01-07 17:08:02,0,0
2023-01-07 17:08:01,0,0
2023-01-07 17:08:00,0,0
2023-01-07 17:07:59,0,0
2023-01-07 17:07:58,0,0
2023-01-07 17:07:57,0,0
2023-01-07 17:07:56,0,0
2023-01-07 17:07:55,1013.5257,-1.0968892
2023-01-07 17:07:54,2682.474,-4.019997
2023-01-07 17:07:53,0,-2.883114
2023-01-07 17:07:52,53.34605,0
2023-01-07 17:07:51,142.65395,0
2023-01-07 17:07:50,0,0
2023-01-07 17:07:49,1180.6862,-1.0891939
2023-01-07 17:07:48,3155.314,-2.910806
2023-01-07 17:07:47,0,0
2023-01-07 17:07:46,2006.34,0
2023-01-07 17:07:45,6193.541,0
2023-01-07 17:07:44,3623.302,-1.0881074
2023-01-07 17:07:43,3872.817,-2.911893
2023-01-07 17:07:42,0,0
2023-01-07 17:07:41,0,0
2023-01-07 17:07:40,0,0
2023-01-07 17:07:39,284.7824,-1.2545482
2023-01-07 17:07:38,1328.5674,-2.745452
2023-01-07 17:07:37,1894.65,0
2023-01-07 17:07:36,2748.957,0
2023-01-07 17:07:35,7706.149,0
2023-01-07 17:07:34,1130.4054,-1.1032661
2023-01-07 17:07:33,597.0365,-2.896734
2023-01-07 17:07:32,1378.7722,0
2023-01-07 17:07:31,582.6803,0
2023-01-07 17:07:30,610.5659,0
2023-01-07 17:07:29,2627.96,-1.1067325
2023-01-07 17:07:28,4885.276,-2.893267
2023-01-07 17:07:27,5804.198,0
2023-01-07 17:07:26,0,0
2023-01-07 17:07:25,0,0
2023-01-07 17:07:24,0,-1.1415853
2023-01-07 17:07:23,124.09612,-2.858415
2023-01-07 17:07:22,1455.7279,0
2023-01-07 17:07:21,2908.176,0
2023-01-07 17:07:20,0,0
2023-01-07 17:07:19,0,0
2023-01-07 17:07:18,242.6119,-1.0977913
2023-01-07 17:07:17,690.2197,-2.902209
2023-01-07 17:07:16,943.4132,0
2023-01-07 17:07:15,3633.727,0
2023-01-07 17:07:14,3890.028,0
2023-01-07 17:07:13,0,-1.0862872
2023-01-07 17:07:12,0,-2.913713
2023-01-07 17:07:11,0,0
2023-01-07 17:07:10,0,0
2023-01-07 17:07:09,194.2889,0
2023-01-07 17:07:08,2158.568,-1.0888234
2023-01-07 17:07:07,6543.068,-2.911177
2023-01-07 17:07:06,5981.951,0
2023-01-07 17:07:05,1125.4564,0
2023-01-07 17:07:04,2294.214,0
2023-01-07 17:07:03,2979.191,-1.5350064
2023-01-07 17:07:02,791.263,-2.464994
2023-01-07 17:07:01,285.7245,0
2023-01-07 17:07:00,4179.496,0
2023-01-07 17:06:59,12669.8,0
2023-01-07 17:06:58,7919.401,0
2023-01-07 17:06:57,1101.5793,0
2023-01-07 17:06:56,0,0
2023-01-07 17:06:55,0,0
2023-01-07 17:06:54,0,0
2023-01-07 17:06:53,0,0
2023-01-07 17:06:52,0,0
2023-01-07 17:06:51,0,0
2023-01-07 17:06:50,0,0
2023-01-07 17:06:49,0,0
2023-01-07 17:06:48,1039.2461,-2.18329
2023-01-07 17:06:47,2768.754,-5.81671
2023-01-07 17:06:46,858.734,0
2023-01-07 17:06:45,2301.266,0
2023-01-07 17:06:44,0,0
2023-01-07 17:06:43,3237.347,-1.0914859
2023-01-07 17:06:42,8626.653,-2.908514
2023-01-07 17:06:41,0,0
2023-01-07 17:06:40,0,0
2023-01-07 17:06:39,0,0
2023-01-07 17:06:38,0,-1.0898358
2023-01-07 17:06:37,0,-2.910164
2023-01-07 17:06:36,0,0
2023-01-07 17:06:35,0,0
2023-01-07 17:06:34,0,0
2023-01-07 17:06:33,0,0
2023-01-07 17:06:32,1078.1047,-1.086799
2023-01-07 17:06:31,3673.515,-2.913201
2023-01-07 17:06:30,4970.771,0
2023-01-07 17:06:29,7501.609,0
2023-01-07 17:06:28,0,0
2023-01-07 17:06:27,0,-1.1083932
2023-01-07 17:06:26,0,-2.891607
2023-01-07 17:06:25,430.783,0
2023-01-07 17:06:24,1876.424,0
2023-01-07 17:06:23,1932.793,0
2023-01-07 17:06:22,0,-1.1022366
2023-01-07 17:06:21,0,-2.897763
2023-01-07 17:06:20,0,0
2023-01-07 17:06:19,186.7565,0
2023-01-07 17:06:18,501.2435,0
2023-01-07 17:06:17,0,-1.0960613
2023-01-07 17:06:16,578.2261,-2.903939
2023-01-07 17:06:15,1553.7739,0
2023-01-07 17:06:14,1579.1067,0
2023-01-07 17:06:13,4601.948,0
2023-01-07 17:06:12,1366.9457,-2.173862
2023-01-07 17:06:11,0,-5.826138
2023-01-07 17:06:10,0,0
2023-01-07 17:06:09,3754.669,0
2023-01-07 17:06:08,10444.814,0
2023-01-07 17:06:07,984.517,-1.0884849
2023-01-07 17:06:06,0,-2.911515
2023-01-07 17:06:05,239.4778,0
2023-01-07 17:06:04,3865.795,0
2023-01-07 17:06:03,10861.798,0
2023-01-07 17:06:02,4503.596,0
2023-01-07 17:06:01,1593.3333,0
2023-01-07 17:06:00,0,0
2023-01-07 17:05:59,0,0
2023-01-07 17:05:58,0,0
2023-01-07 17:05:57,0,0
2023-01-07 17:05:56,0,0
2023-01-07 17:05:55,0,0
2023-01-07 17:05:54,0,0
2023-01-07 17:05:53,0,0
2023-01-07 17:05:52,1001.9798,-1.0843937
2023-01-07 17:05:51,2694.02,-2.915606
2023-01-07 17:05:50,1407.129,0
2023-01-07 17:05:49,3764.871,0
2023-01-07 17:05:48,2293.206,-1.0847709
2023-01-07 17:05:47,6198.72,-2.915229
2023-01-07 17:05:46,1227.9941,0
2023-01-07 17:05:45,2992.08,0
2023-01-07 17:05:44,0,0
2023-01-07 17:05:43,467.8058,-1.2025856
2023-01-07 17:05:42,3905.291,-2.797414
2023-01-07 17:05:41,7077.283,0
