time,some 10,some 60,some 300
2023-01-07 17:08:34,0.02,0.85,0.92
2023-01-07 17:08:33,0.02,0.85,0.92
2023-01-07 17:08:32,0.02,0.88,0.92
2023-01-07 17:08:31,0.02,0.88,0.92
2023-01-07 17:08:30,0.03,0.91,0.93
2023-01-07 17:08:29,0.03,0.91,0.93
2023-01-07 17:08:28,0.03,0.94,0.94
2023-01-07 17:08:27,0.03,0.94,0.94
2023-01-07 17:08:26,0.04,0.98,0.94
2023-01-07 17:08:25,0.04,0.98,0.94
2023-01-07 17:08:24,0.06,1.01,0.95
2023-01-07 17:08:23,0.06,1.01,0.95
2023-01-07 17:08:22,0.07,1.04,0.96
2023-01-07 17:08:21,0.07,1.04,0.96
2023-01-07 17:08:20,0.09,1.08,0.96
2023-01-07 17:08:19,0.09,1.08,0.96
2023-01-07 17:08:18,0.11,1.12,0.97
2023-01-07 17:08:17,0.11,1.12,0.97
2023-01-07 17:08:16,0.13,1.15,0.98
2023-01-07 17:08:15,0.13,1.15,0.98
2023-01-07 17:08:14,0.16,1.2,0.98
2023-01-07 17:08:13,0.16,1.2,0.98
2023-01-07 17:08:12,0.2,1.24,0.99
2023-01-07 17:08:11,0.2,1.24,0.99
2023-01-07 17:08:10,0.24,1.28,1
2023-01-07 17:08:09,0.24,1.28,1
2023-01-07 17:08:08,0.3,1.32,1
2023-01-07 17:08:07,0.3,1.32,1
2023-01-07 17:08:06,0.37,1.37,1.01
2023-01-07 17:08:05,0.37,1.37,1.01
2023-01-07 17:08:04,0.45,1.41,1.02
2023-01-07 17:08:03,0.45,1.41,1.02
2023-01-07 17:08:02,0.55,1.46,1.03
2023-01-07 17:08:01,0.55,1.46,1.03
2023-01-07 17:08:00,0.67,1.51,1.03
2023-01-07 17:07:59,0.67,1.51,1.03
2023-01-07 17:07:58,0.82,1.56,1.04
2023-01-07 17:07:57,0.82,1.56,1.04
2023-01-07 17:07:56,1.01,1.62,1.05
2023-01-07 17:07:55,1.01,1.62,1.05
2023-01-07 17:07:54,1.23,1.67,1.06
2023-01-07 17:07:53,1.23,1.67,1.06
2023-01-07 17:07:52,1.5,1.73,1.06
2023-01-07 17:07:51,1.5,1.73,1.06
2023-01-07 17:07:50,1.84,1.79,1.07
2023-01-07 17:07:49,1.84,1.79,1.07
2023-01-07 17:07:48,2.02,1.81,1.07
2023-01-07 17:07:47,2.02,1.81,1.07
2023-01-07 17:07:46,2.47,1.88,1.08
2023-01-07 17:07:45,2.47,1.88,1.08
2023-01-07 17:07:44,1.91,1.77,1.05
2023-01-07 17:07:43,1.91,1.77,1.05
2023-01-07 17:07:42,2.34,1.83,1.06
2023-01-07 17:07:41,2.34,1.83,1.06
2023-01-07 17:07:40,2.86,1.89,1.07
2023-01-07 17:07:39,2.86,1.89,1.07
2023-01-07 17:07:38,3.49,1.96,1.08
2023-01-07 17:07:37,3.49,1.96,1.08
2023-01-07 17:07:36,2.94,1.82,1.04
2023-01-07 17:07:35,2.94,1.82,1.04
2023-01-07 17:07:34,3.37,1.85,1.04
2023-01-07 17:07:33,3.37,1.85,1.04
2023-01-07 17:07:32,2.78,1.71,1.01
2023-01-07 17:07:31,2.78,1.71,1.01
2023-01-07 17:07:30,2.74,1.67,0.99
2023-01-07 17:07:29,2.74,1.67,0.99
2023-01-07 17:07:28,1.79,1.48,0.95
2023-01-07 17:07:27,1.79,1.48,0.95
2023-01-07 17:07:26,1.09,1.37,0.92
2023-01-07 17:07:25,1.09,1.37,0.92
2023-01-07 17:07:24,1.33,1.41,0.93
2023-01-07 17:07:23,1.33,1.41,0.93
2023-01-07 17:07:22,1.18,1.39,0.92
2023-01-07 17:07:21,1.18,1.39,0.92
