time,some 10,some 60,some 300
2023-01-07 17:08:34,0.05,2.35,2.67
2023-01-07 17:08:33,0.05,2.35,2.67
2023-01-07 17:08:32,0.07,2.43,2.69
2023-01-07 17:08:31,0.07,2.43,2.69
2023-01-07 17:08:30,0.08,2.5,2.7
2023-01-07 17:08:29,0.08,2.5,2.7
2023-01-07 17:08:28,0.1,2.6,2.72
2023-01-07 17:08:27,0.1,2.6,2.72
2023-01-07 17:08:26,0.12,2.68,2.74
2023-01-07 17:08:25,0.12,2.68,2.74
2023-01-07 17:08:24,0.15,2.77,2.76
2023-01-07 17:08:23,0.15,2.77,2.76
2023-01-07 17:08:22,0.19,2.87,2.78
2023-01-07 17:08:21,0.19,2.87,2.78
2023-01-07 17:08:20,0.23,2.97,2.8
2023-01-07 17:08:19,0.23,2.97,2.8
2023-01-07 17:08:18,0.28,3.07,2.82
2023-01-07 17:08:17,0.28,3.07,2.82
2023-01-07 17:08:16,0.35,3.17,2.84
2023-01-07 17:08:15,0.35,3.17,2.84
2023-01-07 17:08:14,0.43,3.28,2.86
2023-01-07 17:08:13,0.43,3.28,2.86
2023-01-07 17:08:12,0.53,3.39,2.88
2023-01-07 17:08:11,0.53,3.39,2.88
2023-01-07 17:08:10,0.64,3.51,2.9
2023-01-07 17:08:09,0.64,3.51,2.9
2023-01-07 17:08:08,0.79,3.62,2.92
2023-01-07 17:08:07,0.79,3.62,2.92
2023-01-07 17:08:06,0.96,3.75,2.94
2023-01-07 17:08:05,0.96,3.75,2.94
2023-01-07 17:08:04,1.18,3.87,2.96
2023-01-07 17:08:03,1.18,3.87,2.96
2023-01-07 17:08:02,1.44,4.01,2.98
2023-01-07 17:08:01,1.44,4.01,2.98
2023-01-07 17:08:00,1.76,4.13,3
2023-01-07 17:07:59,1.76,4.13,3
2023-01-07 17:07:58,2.15,4.28,3.02
2023-01-07 17:07:57,2.15,4.28,3.02
2023-01-07 17:07:56,2.63,4.43,3.04
2023-01-07 17:07:55,2.63,4.43,3.04
2023-01-07 17:07:54,3.21,4.58,3.07
2023-01-07 17:07:53,3.21,4.58,3.07
2023-01-07 17:07:52,3.92,4.73,3.09
2023-01-07 17:07:51,3.92,4.73,3.09
2023-01-07 17:07:50,4.79,4.88,3.11
2023-01-07 17:07:49,4.79,4.88,3.11
2023-01-07 17:07:48,5.86,5.05,3.13
2023-01-07 17:07:47,5.86,5.05,3.13
2023-01-07 17:07:46,4.5,4.83,3.07
2023-01-07 17:07:45,4.5,4.83,3.07
2023-01-07 17:07:44,3.72,4.72,3.04
2023-01-07 17:07:43,3.72,4.72,3.04
2023-01-07 17:07:42,4.55,4.88,3.06
2023-01-07 17:07:41,4.55,4.88,3.06
2023-01-07 17:07:40,5.56,5.04,3.08
2023-01-07 17:07:39,5.56,5.04,3.08
2023-01-07 17:07:38,6.34,5.15,3.09
2023-01-07 17:07:37,6.34,5.15,3.09
2023-01-07 17:07:36,5.54,4.98,3.04
2023-01-07 17:07:35,5.54,4.98,3.04
2023-01-07 17:07:34,6.76,5.15,3.06
2023-01-07 17:07:33,6.76,5.15,3.06
2023-01-07 17:07:32,5.83,4.95,3
2023-01-07 17:07:31,5.83,4.95,3
2023-01-07 17:07:30,4.24,4.68,2.93
2023-01-07 17:07:29,4.24,4.68,2.93
2023-01-07 17:07:28,4.74,4.76,2.94
2023-01-07 17:07:27,4.74,4.76,2.94
2023-01-07 17:07:26,5.12,4.83,2.94
2023-01-07 17:07:25,5.12,4.83,2.94
2023-01-07 17:07:24,4.71,4.76,2.91
2023-01-07 17:07:23,4.71,4.76,2.91
2023-01-07 17:07:22,5.31,4.84,2.92
2023-01-07 17:07:21,5.31,4.84,2.92
2023-01-07 17:07:20,6.04,4.95,2.93
2023-01-07 17:07:19,6.04,4.95,2.93
2023-01-07 17:07:18,7.38,5.12,2.95
2023-01-07 17:07:17,7.38,5.12,2.95
2023-01-07 17:07:16,9.01,5.29,2.97
2023-01-07 17:07:15,9.01,5.29,2.97
2023-01-07 17:07:14,10.78,5.44,2.98
2023-01-07 17:07:13,10.78,5.44,2.98
2023-01-07 17:07:12,12.95,5.59,2.99
2023-01-07 17:07:11,12.95,5.59,2.99
2023-01-07 17:07:10,14.26,5.54,2.97
2023-01-07 17:07:09,14.26,5.54,2.97
2023-01-07 17:07:08,16.76,5.63,2.97
2023-01-07 17:07:07,16.76,5.63,2.97
2023-01-07 17:07:06,10.29,4.26,2.67
2023-01-07 17:07:05,10.29,4.26,2.67
2023-01-07 17:07:04,9.69,3.97,2.6
2023-01-07 17:07:03,9.69,3.97,2.6
2023-01-07 17:07:02,6.08,3.22,2.44
2023-01-07 17:07:01,6.08,3.22,2.44
2023-01-07 17:07:00,1.24,2.38,2.25
2023-01-07 17:06:59,1.24,2.38,2.25
2023-01-07 17:06:58,1.07,2.4,2.25
2023-01-07 17:06:57,1.07,2.4,2.25
2023-01-07 17:06:56,1.31,2.48,2.27
2023-01-07 17:06:55,1.31,2.48,2.27
2023-01-07 17:06:54,1.6,2.56,2.29
2023-01-07 17:06:53,1.6,2.56,2.29
2023-01-07 17:06:52,1.95,2.65,2.31
2023-01-07 17:06:51,1.95,2.65,2.31
2023-01-07 17:06:50,2.38,2.74,2.33
2023-01-07 17:06:49,2.38,2.74,2.33
2023-01-07 17:06:48,2.91,2.83,2.34
2023-01-07 17:06:47,2.91,2.83,2.34
2023-01-07 17:06:46,3.56,2.93,2.36
2023-01-07 17:06:45,3.56,2.93,2.36
2023-01-07 17:06:44,2.8,2.79,2.33
2023-01-07 17:06:43,2.8,2.79,2.33
2023-01-07 17:06:42,1.43,2.58,2.27
2023-01-07 17:06:41,1.43,2.58,2.27
2023-01-07 17:06:40,1.75,2.67,2.29
2023-01-07 17:06:39,1.75,2.67,2.29
2023-01-07 17:06:38,2.13,2.76,2.31
2023-01-07 17:06:37,2.13,2.76,2.31
2023-01-07 17:06:36,2.61,2.85,2.33
2023-01-07 17:06:35,2.61,2.85,2.33
2023-01-07 17:06:34,3.18,2.95,2.35
2023-01-07 17:06:33,3.18,2.95,2.35
2023-01-07 17:06:32,3.45,2.98,2.35
2023-01-07 17:06:31,3.45,2.98,2.35
2023-01-07 17:06:30,1.78,2.71,2.29
2023-01-07 17:06:29,1.78,2.71,2.29
2023-01-07 17:06:28,2.17,2.8,2.31
2023-01-07 17:06:27,2.17,2.8,2.31
2023-01-07 17:06:26,2.65,2.9,2.31
2023-01-07 17:06:25,2.65,2.9,2.31
2023-01-07 17:06:24,3.24,3,2.34
2023-01-07 17:06:23,3.24,3,2.34
2023-01-07 17:06:22,3.96,3.1,2.35
2023-01-07 17:06:21,3.96,3.1,2.35
2023-01-07 17:06:20,4.84,3.2,2.37
