time,read,write
2023-01-07 17:08:34,0,0
2023-01-07 17:08:33,0,0
2023-01-07 17:08:32,0,0
2023-01-07 17:08:31,0,0
2023-01-07 17:08:30,0,0
2023-01-07 17:08:29,0,0
2023-01-07 17:08:28,0,0
2023-01-07 17:08:27,0,0
2023-01-07 17:08:26,0,0
2023-01-07 17:08:25,0,0
2023-01-07 17:08:24,0,0
2023-01-07 17:08:23,0,0
2023-01-07 17:08:22,0,0
2023-01-07 17:08:21,0,0
2023-01-07 17:08:20,0,0
2023-01-07 17:08:19,0,0
2023-01-07 17:08:18,0,0
2023-01-07 17:08:17,0,0
2023-01-07 17:08:16,0,0
2023-01-07 17:08:15,0,0
2023-01-07 17:08:14,0,-2.169715
2023-01-07 17:08:13,0,-5.830285
2023-01-07 17:08:12,0,0
2023-01-07 17:08:11,0,0
2023-01-07 17:08:10,0,0
2023-01-07 17:08:09,0,0
2023-01-07 17:08:08,0,0
2023-01-07 17:08:07,0,0
2023-01-07 17:08:06,0,0
2023-01-07 17:08:05,0,0
2023-01-07 17:08:04,0,0
2023-01-07 17:08:03,0,0
2023-01-07 17:08:02,0,0
2023-01-07 17:08:01,0,0
2023-01-07 17:08:00,0,0
2023-01-07 17:07:59,0,0
2023-01-07 17:07:58,0,0
2023-01-07 17:07:57,0,0
2023-01-07 17:07:56,0,0
2023-01-07 17:07:55,15.35682,-0.2742289
2023-01-07 17:07:54,40.64318,-1.0049999
2023-01-07 17:07:53,0,-0.7207712
2023-01-07 17:07:52,1.6330888,0
2023-01-07 17:07:51,4.366911,0
2023-01-07 17:07:50,0,0
2023-01-07 17:07:49,30.22597,-0.272306
2023-01-07 17:07:48,80.77403,-0.727694
2023-01-07 17:07:47,0,0
2023-01-07 17:07:46,37.76915,0
2023-01-07 17:07:45,128.22752,0
2023-01-07 17:07:44,106.55228,-0.272039
2023-01-07 17:07:43,92.45104,-0.727961
2023-01-07 17:07:42,0,0
2023-01-07 17:07:41,0,0
2023-01-07 17:07:40,0,0
2023-01-07 17:07:39,5.646028,-0.3136682
2023-01-07 17:07:38,29.17429,-0.6863318
2023-01-07 17:07:37,45.17968,0
2023-01-07 17:07:36,64.58317,0
2023-01-07 17:07:35,179.8306,0
2023-01-07 17:07:34,23.41373,-0.2758254
2023-01-07 17:07:33,13.59044,-0.7241746
2023-01-07 17:07:32,39.71182,0
2023-01-07 17:07:31,28.87027,0
2023-01-07 17:07:30,16.83989,0
2023-01-07 17:07:29,67.57205,-0.2766905
2023-01-07 17:07:28,111.30795,-0.7233095
2023-01-07 17:07:27,133.28012,0
2023-01-07 17:07:26,0,0
2023-01-07 17:07:25,0,0
2023-01-07 17:07:24,0,-0.2854029
2023-01-07 17:07:23,3.294797,-0.7145971
2023-01-07 17:07:22,44.75763,0
2023-01-07 17:07:21,92.94757,0
2023-01-07 17:07:20,0,0
2023-01-07 17:07:19,0,0
2023-01-07 17:07:18,5.489105,-0.2744552
2023-01-07 17:07:17,15.324773,-0.7255448
2023-01-07 17:07:16,18.47477,0
2023-01-07 17:07:15,88.33278,0
2023-01-07 17:07:14,119.37858,0
2023-01-07 17:07:13,0,-0.2715781
2023-01-07 17:07:12,0,-0.7284219
2023-01-07 17:07:11,0,0
2023-01-07 17:07:10,0,0
2023-01-07 17:07:09,4.093266,0
2023-01-07 17:07:08,51.7844,-0.2725178
2023-01-07 17:07:07,162.46606,-0.7274822
2023-01-07 17:07:06,143.92976,0
2023-01-07 17:07:05,15.786171,0
2023-01-07 17:07:04,50.44484,0
2023-01-07 17:07:03,77.69548,-0.3837831
2023-01-07 17:07:02,22.80002,-0.6162169
2023-01-07 17:07:01,8.786466,0
2023-01-07 17:07:00,106.60556,0
2023-01-07 17:06:59,316.8172,0
2023-01-07 17:06:58,211.6066,0
2023-01-07 17:06:57,53.18425,0
2023-01-07 17:06:56,0,0
2023-01-07 17:06:55,0,0
2023-01-07 17:06:54,0,0
2023-01-07 17:06:53,0,0
2023-01-07 17:06:52,0,0
2023-01-07 17:06:51,0,0
2023-01-07 17:06:50,0,0
2023-01-07 17:06:49,0,0
2023-01-07 17:06:48,17.19418,-0.545847
2023-01-07 17:06:47,45.80582,-1.454153
2023-01-07 17:06:46,18.2079,0
2023-01-07 17:06:45,48.7921,0
2023-01-07 17:06:44,0,0
2023-01-07 17:06:43,81.05208,-0.2729026
2023-01-07 17:06:42,215.9479,-0.7270974
2023-01-07 17:06:41,0,0
2023-01-07 17:06:40,0,0
2023-01-07 17:06:39,0,0
2023-01-07 17:06:38,0,-0.2725283
2023-01-07 17:06:37,0,-0.7274717
2023-01-07 17:06:36,0,0
2023-01-07 17:06:35,0,0
2023-01-07 17:06:34,0,0
2023-01-07 17:06:33,0,0
2023-01-07 17:06:32,24.72518,-0.2717053
2023-01-07 17:06:31,87.92083,-0.7282947
2023-01-07 17:06:30,134.47665,0
2023-01-07 17:06:29,199.8773,0
2023-01-07 17:06:28,0,0
2023-01-07 17:06:27,0,-0.2782802
2023-01-07 17:06:26,0,-0.7217198
2023-01-07 17:06:25,10.037358,0
2023-01-07 17:06:24,44.86185,0
2023-01-07 17:06:23,48.10079,0
2023-01-07 17:06:22,0,-0.2755667
2023-01-07 17:06:21,0,-0.7244333
2023-01-07 17:06:20,0,0
2023-01-07 17:06:19,9.772422,0
2023-01-07 17:06:18,26.22758,0
2023-01-07 17:06:17,0,-0.2740582
2023-01-07 17:06:16,14.645826,-0.7259418
2023-01-07 17:06:15,39.35417,0
2023-01-07 17:06:14,35.22391,0
2023-01-07 17:06:13,112.92998,0
2023-01-07 17:06:12,54.84611,-0.5434839
2023-01-07 17:06:11,0,-1.4565161
2023-01-07 17:06:10,0,0
2023-01-07 17:06:09,92.56602,0
2023-01-07 17:06:08,256.5887,0
2023-01-07 17:06:07,21.84532,-0.2721493
2023-01-07 17:06:06,0,-0.7278507
2023-01-07 17:06:05,4.854601,0
2023-01-07 17:06:04,92.31317,0
2023-01-07 17:06:03,271.6827,0
2023-01-07 17:06:02,143.24172,0
2023-01-07 17:06:01,69.90783,0
2023-01-07 17:06:00,0,0
2023-01-07 17:05:59,0,0
2023-01-07 17:05:58,0,0
2023-01-07 17:05:57,0,0
2023-01-07 17:05:56,0,0
2023-01-07 17:05:55,0,0
2023-01-07 17:05:54,0,0
2023-01-07 17:05:53,0,0
2023-01-07 17:05:52,15.181808,-0.2711037
2023-01-07 17:05:51,40.81819,-0.7288963
2023-01-07 17:05:50,34.00958,0
2023-01-07 17:05:49,90.99042,0
2023-01-07 17:05:48,63.18924,-0.2711985
2023-01-07 17:05:47,170.8995,-0.7288015
2023-01-07 17:05:46,26.51981,0
2023-01-07 17:05:45,62.39146,0
2023-01-07 17:05:44,0,0
2023-01-07 17:05:43,9.649113,-0.3015348
2023-01-07 17:05:42,91.95886,-0.6984652
