time,some 10,some 60,some 300
2023-01-09 16:57:10,0,1.33,4.98
2023-01-09 16:57:09,0,1.37,5.01
2023-01-09 16:57:08,0,1.37,5.01
2023-01-09 16:57:07,0,1.42,5.05
2023-01-09 16:57:06,0,1.42,5.05
2023-01-09 16:57:05,0,1.47,5.09
2023-01-09 16:57:04,0,1.47,5.09
2023-01-09 16:57:03,0,1.52,5.12
2023-01-09 16:57:02,0,1.52,5.12
2023-01-09 16:57:01,0,1.57,5.16
2023-01-09 16:57:00,0,1.57,5.16
2023-01-09 16:56:59,0,1.63,5.2
2023-01-09 16:56:58,0,1.63,5.2
2023-01-09 16:56:57,0,1.68,5.23
2023-01-09 16:56:56,0,1.68,5.23
2023-01-09 16:56:55,0,1.74,5.27
2023-01-09 16:56:54,0,1.74,5.27
2023-01-09 16:56:53,0,1.8,5.3
2023-01-09 16:56:52,0,1.8,5.3
2023-01-09 16:56:51,0,1.86,5.34
2023-01-09 16:56:50,0,1.86,5.34
2023-01-09 16:56:49,0,1.92,5.38
2023-01-09 16:56:48,0,1.92,5.38
2023-01-09 16:56:47,0,1.99,5.42
2023-01-09 16:56:46,0,1.99,5.42
2023-01-09 16:56:45,0,2.04,5.45
2023-01-09 16:56:44,0,2.04,5.45
2023-01-09 16:56:43,0,2.12,5.49
2023-01-09 16:56:42,0,2.12,5.49
2023-01-09 16:56:41,0,2.2,5.53
2023-01-09 16:56:40,0,2.2,5.53
2023-01-09 16:56:39,0,2.27,5.57
2023-01-09 16:56:38,0,2.27,5.57
2023-01-09 16:56:37,0,2.35,5.61
2023-01-09 16:56:36,0,2.35,5.61
2023-01-09 16:56:35,0,2.43,5.64
2023-01-09 16:56:34,0,2.43,5.64
2023-01-09 16:56:33,0,2.5,5.68
2023-01-09 16:56:32,0,2.5,5.68
2023-01-09 16:56:31,0,2.6,5.72
2023-01-09 16:56:30,0,2.6,5.72
2023-01-09 16:56:29,0,2.68,5.76
2023-01-09 16:56:28,0,2.68,5.76
2023-01-09 16:56:27,0,2.78,5.8
2023-01-09 16:56:26,0,2.78,5.8
2023-01-09 16:56:25,0,2.87,5.84
2023-01-09 16:56:24,0,2.87,5.84
2023-01-09 16:56:23,0,2.97,5.88
2023-01-09 16:56:22,0,2.97,5.88
2023-01-09 16:56:21,0,3.07,5.92
2023-01-09 16:56:20,0,3.07,5.92
2023-01-09 16:56:19,0,3.17,5.97
2023-01-09 16:56:18,0,3.17,5.97
2023-01-09 16:56:17,0,3.28,6.01
2023-01-09 16:56:16,0,3.28,6.01
2023-01-09 16:56:15,0,3.39,6.05
2023-01-09 16:56:14,0,3.39,6.05
2023-01-09 16:56:13,0,3.51,6.09
2023-01-09 16:56:12,0,3.51,6.09
2023-01-09 16:56:11,0,3.63,6.13
2023-01-09 16:56:10,0,3.63,6.13
2023-01-09 16:56:09,0,3.75,6.18
2023-01-09 16:56:08,0,3.75,6.18
2023-01-09 16:56:07,0,3.88,6.22
2023-01-09 16:56:06,0,3.88,6.22
2023-01-09 16:56:05,0,4.01,6.26
2023-01-09 16:56:04,0,4.01,6.26
2023-01-09 16:56:03,0,4.13,6.3
2023-01-09 16:56:02,0,4.13,6.3
2023-01-09 16:56:01,0,4.28,6.35
2023-01-09 16:56:00,0,4.28,6.35
2023-01-09 16:55:59,0,4.43,6.39
2023-01-09 16:55:58,0,4.43,6.39
2023-01-09 16:55:57,0,4.58,6.44
2023-01-09 16:55:56,0,4.58,6.44
2023-01-09 16:55:55,0,4.73,6.48
2023-01-09 16:55:54,0,4.73,6.48
2023-01-09 16:55:53,0,4.88,6.53
2023-01-09 16:55:52,0,4.88,6.53
2023-01-09 16:55:51,0,5.05,6.57
2023-01-09 16:55:50,0,5.05,6.57
2023-01-09 16:55:49,0,5.23,6.62
2023-01-09 16:55:48,0,5.23,6.62
2023-01-09 16:55:47,0,5.41,6.66
2023-01-09 16:55:46,0,5.41,6.66
2023-01-09 16:55:45,0.01,5.59,6.71
2023-01-09 16:55:44,0.01,5.59,6.71
2023-01-09 16:55:43,0.01,5.78,6.75
2023-01-09 16:55:42,0.01,5.78,6.75
2023-01-09 16:55:41,0.01,5.98,6.8
2023-01-09 16:55:40,0.01,5.98,6.8
2023-01-09 16:55:39,0.02,6.18,6.85
2023-01-09 16:55:38,0.02,6.18,6.85
2023-01-09 16:55:37,0.02,6.39,6.9
2023-01-09 16:55:36,0.02,6.39,6.9
2023-01-09 16:55:35,0.03,6.61,6.94
2023-01-09 16:55:34,0.03,6.61,6.94
2023-01-09 16:55:33,0.04,6.83,6.99
2023-01-09 16:55:32,0.04,6.83,6.99
2023-01-09 16:55:31,0.05,7.06,7.04
2023-01-09 16:55:30,0.05,7.06,7.04
2023-01-09 16:55:29,0.06,7.3,7.09
2023-01-09 16:55:28,0.06,7.3,7.09
2023-01-09 16:55:27,0.08,7.55,7.14
2023-01-09 16:55:26,0.08,7.55,7.14
2023-01-09 16:55:25,0.09,7.81,7.19
2023-01-09 16:55:24,0.09,7.81,7.19
2023-01-09 16:55:23,0.12,8.07,7.24
2023-01-09 16:55:22,0.12,8.07,7.24
2023-01-09 16:55:21,0.14,8.34,7.29
2023-01-09 16:55:20,0.14,8.34,7.29
2023-01-09 16:55:19,0.18,8.63,7.34
2023-01-09 16:55:18,0.18,8.63,7.34
2023-01-09 16:55:17,0.22,8.92,7.39
2023-01-09 16:55:16,0.22,8.92,7.39
2023-01-09 16:55:15,0.27,9.22,7.44
2023-01-09 16:55:14,0.27,9.22,7.44
2023-01-09 16:55:13,0.33,9.52,7.49
2023-01-09 16:55:12,0.33,9.52,7.49
2023-01-09 16:55:11,0.4,9.86,7.54
2023-01-09 16:55:10,0.4,9.86,7.54
2023-01-09 16:55:09,0.49,10.19,7.59
2023-01-09 16:55:08,0.49,10.19,7.59
2023-01-09 16:55:07,0.6,10.53,7.65
2023-01-09 16:55:06,0.6,10.53,7.65
2023-01-09 16:55:05,0.74,10.89,7.7
2023-01-09 16:55:04,0.74,10.89,7.7
2023-01-09 16:55:03,0.9,11.26,7.75
2023-01-09 16:55:02,0.9,11.26,7.75
2023-01-09 16:55:01,1.1,11.64,7.81
2023-01-09 16:55:00,1.1,11.64,7.81
2023-01-09 16:54:59,1.35,12.04,7.86
2023-01-09 16:54:58,1.35,12.04,7.86
2023-01-09 16:54:57,1.65,12.44,7.92
2023-01-09 16:54:56,1.65,12.44,7.92
2023-01-09 16:54:55,2,12.86,7.97
2023-01-09 16:54:54,2,12.86,7.97
2023-01-09 16:54:53,2.46,13.3,8.02
2023-01-09 16:54:52,2.46,13.3,8.02
2023-01-09 16:54:51,3.01,13.75,8.08
2023-01-09 16:54:50,3.01,13.75,8.08
2023-01-09 16:54:49,3.67,14.22,8.14
2023-01-09 16:54:48,3.67,14.22,8.14
2023-01-09 16:54:47,4.49,14.7,8.19
2023-01-09 16:54:46,4.49,14.7,8.19
2023-01-09 16:54:45,5.48,15.19,8.25
2023-01-09 16:54:44,5.48,15.19,8.25
2023-01-09 16:54:43,6.7,15.71,8.31
2023-01-09 16:54:42,6.7,15.71,8.31
2023-01-09 16:54:41,8.18,16.23,8.36
2023-01-09 16:54:40,8.18,16.23,8.36
2023-01-09 16:54:39,9.99,16.79,8.42
2023-01-09 16:54:38,9.99,16.79,8.42
2023-01-09 16:54:37,12.2,17.36,8.48
2023-01-09 16:54:36,12.2,17.36,8.48
2023-01-09 16:54:35,14.9,17.95,8.53
2023-01-09 16:54:34,14.9,17.95,8.53
2023-01-09 16:54:33,18.2,18.55,8.6
2023-01-09 16:54:32,18.2,18.55,8.6
2023-01-09 16:54:31,22.23,19.18,8.66
2023-01-09 16:54:30,22.23,19.18,8.66
2023-01-09 16:54:29,27.15,19.82,8.72
2023-01-09 16:54:28,27.15,19.82,8.72
2023-01-09 16:54:27,28.74,19.82,8.64
2023-01-09 16:54:26,28.74,19.82,8.64
2023-01-09 16:54:25,24.7,18.91,8.38
2023-01-09 16:54:24,24.7,18.91,8.38
2023-01-09 16:54:23,17.11,17.55,8.02
2023-01-09 16:54:22,17.11,17.55,8.02
2023-01-09 16:54:21,12.27,16.82,7.81
2023-01-09 16:54:20,12.27,16.82,7.81
2023-01-09 16:54:19,14.98,17.39,7.87
2023-01-09 16:54:18,14.98,17.39,7.87
2023-01-09 16:54:17,18.3,17.98,7.92
2023-01-09 16:54:16,18.3,17.98,7.92
2023-01-09 16:54:15,22.34,18.59,7.98
2023-01-09 16:54:14,22.34,18.59,7.98
2023-01-09 16:54:13,22.2,18.44,7.87
2023-01-09 16:54:12,22.2,18.44,7.87
2023-01-09 16:54:11,16.27,17.41,7.59
2023-01-09 16:54:10,16.27,17.41,7.59
2023-01-09 16:54:09,10.8,16.61,7.36
2023-01-09 16:54:08,10.8,16.61,7.36
2023-01-09 16:54:07,13.19,17.17,7.41
2023-01-09 16:54:06,13.19,17.17,7.41
2023-01-09 16:54:05,16.11,17.75,7.46
2023-01-09 16:54:04,16.11,17.75,7.46
2023-01-09 16:54:03,19.68,18.35,7.51
2023-01-09 16:54:02,19.68,18.35,7.51
2023-01-09 16:54:01,24.04,18.97,7.57
2023-01-09 16:54:00,24.04,18.97,7.57
2023-01-09 16:53:59,27.36,19.3,7.56
2023-01-09 16:53:58,27.36,19.3,7.56
2023-01-09 16:53:57,19.26,17.8,7.17
2023-01-09 16:53:56,19.26,17.8,7.17
2023-01-09 16:53:55,17.55,17.48,7.03
2023-01-09 16:53:54,17.55,17.48,7.03
2023-01-09 16:53:53,21.43,18.07,7.08
2023-01-09 16:53:52,21.43,18.07,7.08
2023-01-09 16:53:51,26.17,18.69,7.13
2023-01-09 16:53:50,26.17,18.69,7.13
2023-01-09 16:53:49,23.56,18.04,6.91
2023-01-09 16:53:48,23.56,18.04,6.91
2023-01-09 16:53:47,17.71,16.96,6.62
2023-01-09 16:53:46,17.71,16.96,6.62
2023-01-09 16:53:45,20.96,17.43,6.64
2023-01-09 16:53:44,20.96,17.43,6.64
2023-01-09 16:53:43,25.6,18.02,6.69
2023-01-09 16:53:42,25.6,18.02,6.69
2023-01-09 16:53:41,28.39,18.19,6.65
2023-01-09 16:53:40,28.39,18.19,6.65
2023-01-09 16:53:39,24.28,17.22,6.37
2023-01-09 16:53:38,24.28,17.22,6.37
2023-01-09 16:53:37,18.36,16.07,6.06
2023-01-09 16:53:36,18.36,16.07,6.06
2023-01-09 16:53:35,19.77,16.21,6.02
2023-01-09 16:53:34,19.77,16.21,6.02
2023-01-09 16:53:33,24.15,16.76,6.06
2023-01-09 16:53:32,24.15,16.76,6.06
2023-01-09 16:53:31,29.49,17.32,6.1
2023-01-09 16:53:30,29.49,17.32,6.1
2023-01-09 16:53:29,30.49,17.07,5.97
2023-01-09 16:53:28,30.49,17.07,5.97
2023-01-09 16:53:27,25.73,15.89,5.66
2023-01-09 16:53:26,25.73,15.89,5.66
2023-01-09 16:53:25,21.47,14.91,5.38
2023-01-09 16:53:24,21.47,14.91,5.38
2023-01-09 16:53:23,23.34,14.97,5.33
2023-01-09 16:53:22,23.34,14.97,5.33
2023-01-09 16:53:21,28.51,15.48,5.37
2023-01-09 16:53:20,28.51,15.48,5.37
2023-01-09 16:53:19,33.27,15.76,5.36
2023-01-09 16:53:18,33.27,15.76,5.36
2023-01-09 16:53:17,29.79,14.64,5.05
2023-01-09 16:53:16,29.79,14.64,5.05
2023-01-09 16:53:15,24.65,13.34,4.73
2023-01-09 16:53:14,24.65,13.34,4.73
2023-01-09 16:53:13,22.59,12.64,4.51
2023-01-09 16:53:12,22.59,12.64,4.51
2023-01-09 16:53:11,27.58,13.07,4.55
2023-01-09 16:53:10,27.58,13.07,4.55
2023-01-09 16:53:09,31.25,13.14,4.51
2023-01-09 16:53:08,31.25,13.14,4.51
2023-01-09 16:53:07,26.89,11.86,4.19
2023-01-09 16:53:06,26.89,11.86,4.19
2023-01-09 16:53:05,21.78,10.57,3.88
2023-01-09 16:53:04,21.78,10.57,3.88
2023-01-09 16:53:03,25.49,10.76,3.87
2023-01-09 16:53:02,25.49,10.76,3.87
2023-01-09 16:53:01,31.13,11.13,3.89
2023-01-09 16:53:00,31.13,11.13,3.89
2023-01-09 16:52:59,30.05,10.28,3.67
2023-01-09 16:52:58,30.05,10.28,3.67
2023-01-09 16:52:57,25.86,8.97,3.36
2023-01-09 16:52:56,25.86,8.97,3.36
2023-01-09 16:52:55,18.3,7.25,2.97
2023-01-09 16:52:54,18.3,7.25,2.97
