time,some 10,some 60,some 300
2023-01-07 17:17:13,2.5,9.8,9.83
2023-01-07 17:17:12,3.07,10.13,9.9
2023-01-07 17:17:11,3.07,10.13,9.9
2023-01-07 17:17:10,3.75,10.47,9.97
2023-01-07 17:17:09,3.75,10.47,9.97
2023-01-07 17:17:08,4.58,10.83,10.03
2023-01-07 17:17:07,4.58,10.83,10.03
2023-01-07 17:17:06,5.59,11.2,10.1
2023-01-07 17:17:05,5.59,11.2,10.1
2023-01-07 17:17:04,6.83,11.58,10.17
2023-01-07 17:17:03,6.83,11.58,10.17
2023-01-07 17:17:02,8.35,11.97,10.24
2023-01-07 17:17:01,8.35,11.97,10.24
2023-01-07 17:17:00,10.19,12.37,10.32
2023-01-07 17:16:59,10.19,12.37,10.32
2023-01-07 17:16:58,12.45,12.79,10.39
2023-01-07 17:16:57,12.45,12.79,10.39
2023-01-07 17:16:56,15.21,13.22,10.46
2023-01-07 17:16:55,15.21,13.22,10.46
2023-01-07 17:16:54,13.7,12.93,10.38
2023-01-07 17:16:53,13.7,12.93,10.38
2023-01-07 17:16:52,9.66,12.28,10.23
2023-01-07 17:16:51,9.66,12.28,10.23
2023-01-07 17:16:50,11.8,12.7,10.3
2023-01-07 17:16:49,11.8,12.7,10.3
2023-01-07 17:16:48,14.41,13.13,10.37
2023-01-07 17:16:47,14.41,13.13,10.37
2023-01-07 17:16:46,17.6,13.57,10.44
2023-01-07 17:16:45,17.6,13.57,10.44
2023-01-07 17:16:44,21.49,14.03,10.52
2023-01-07 17:16:43,21.49,14.03,10.52
2023-01-07 17:16:42,21.6,13.8,10.44
2023-01-07 17:16:41,21.6,13.8,10.44
2023-01-07 17:16:40,17.09,12.84,10.23
2023-01-07 17:16:39,17.09,12.84,10.23
2023-01-07 17:16:38,20.87,13.28,10.3
2023-01-07 17:16:37,20.87,13.28,10.3
2023-01-07 17:16:36,17.53,12.51,10.11
2023-01-07 17:16:35,17.53,12.51,10.11
2023-01-07 17:16:34,18.3,12.46,10.09
2023-01-07 17:16:33,18.3,12.46,10.09
2023-01-07 17:16:32,21.92,12.81,10.15
2023-01-07 17:16:31,21.92,12.81,10.15
2023-01-07 17:16:30,17.03,11.76,9.92
2023-01-07 17:16:29,17.03,11.76,9.92
2023-01-07 17:16:28,18.14,11.75,9.9
2023-01-07 17:16:27,18.14,11.75,9.9
2023-01-07 17:16:26,22.16,12.15,9.97
2023-01-07 17:16:25,22.16,12.15,9.97
2023-01-07 17:16:24,17.55,11.1,9.74
2023-01-07 17:16:23,17.55,11.1,9.74
2023-01-07 17:16:22,19.22,11.14,9.74
2023-01-07 17:16:21,19.22,11.14,9.74
2023-01-07 17:16:20,20.6,11.08,9.72
2023-01-07 17:16:19,20.6,11.08,9.72
2023-01-07 17:16:18,12.99,9.59,9.41
2023-01-07 17:16:17,12.99,9.59,9.41
2023-01-07 17:16:16,14.76,9.75,9.44
2023-01-07 17:16:15,14.76,9.75,9.44
2023-01-07 17:16:14,13.39,9.36,9.36
2023-01-07 17:16:13,13.39,9.36,9.36
2023-01-07 17:16:12,9.71,8.67,9.21
2023-01-07 17:16:11,9.71,8.67,9.21
2023-01-07 17:16:10,11.86,8.96,9.27
2023-01-07 17:16:09,11.86,8.96,9.27
2023-01-07 17:16:08,14.48,9.27,9.34
2023-01-07 17:16:07,14.48,9.27,9.34
2023-01-07 17:16:06,17.69,9.58,9.41
2023-01-07 17:16:05,17.69,9.58,9.41
2023-01-07 17:16:04,12.98,8.59,9.19
2023-01-07 17:16:03,12.98,8.59,9.19
2023-01-07 17:16:02,13.42,8.5,9.19
2023-01-07 17:16:01,13.42,8.5,9.19
2023-01-07 17:16:00,13.07,8.27,9.15
2023-01-07 17:15:59,13.07,8.27,9.15
2023-01-07 17:15:58,6.89,7.18,8.93
2023-01-07 17:15:57,6.89,7.18,8.93
2023-01-07 17:15:56,8.41,7.42,8.99
2023-01-07 17:15:55,8.41,7.42,8.99
2023-01-07 17:15:54,5.85,7,8.92
2023-01-07 17:15:53,5.85,7,8.92
2023-01-07 17:15:52,0.07,6.15,8.76
2023-01-07 17:15:51,0.07,6.15,8.76
2023-01-07 17:15:50,0.08,6.36,8.82
2023-01-07 17:15:49,0.08,6.36,8.82
2023-01-07 17:15:48,0.1,6.57,8.88
2023-01-07 17:15:47,0.1,6.57,8.88
2023-01-07 17:15:46,0.13,6.8,8.94
2023-01-07 17:15:45,0.13,6.8,8.94
2023-01-07 17:15:44,0.16,7.03,9
2023-01-07 17:15:43,0.16,7.03,9
2023-01-07 17:15:42,0.19,7.27,9.06
2023-01-07 17:15:41,0.19,7.27,9.06
2023-01-07 17:15:40,0.24,7.51,9.13
2023-01-07 17:15:39,0.24,7.51,9.13
2023-01-07 17:15:38,0.28,7.77,9.19
2023-01-07 17:15:37,0.28,7.77,9.19
2023-01-07 17:15:36,0.36,8.02,9.25
2023-01-07 17:15:35,0.36,8.02,9.25
2023-01-07 17:15:34,0.44,8.3,9.32
2023-01-07 17:15:33,0.44,8.3,9.32
2023-01-07 17:15:32,0.54,8.58,9.38
2023-01-07 17:15:31,0.54,8.58,9.38
2023-01-07 17:15:30,0.66,8.86,9.44
2023-01-07 17:15:29,0.66,8.86,9.44
2023-01-07 17:15:28,0.8,9.17,9.51
2023-01-07 17:15:27,0.8,9.17,9.51
2023-01-07 17:15:26,0.98,9.48,9.58
2023-01-07 17:15:25,0.98,9.48,9.58
2023-01-07 17:15:24,1.2,9.8,9.64
2023-01-07 17:15:23,1.2,9.8,9.64
2023-01-07 17:15:22,1.47,10.14,9.71
2023-01-07 17:15:21,1.47,10.14,9.71
2023-01-07 17:15:20,1.79,10.48,9.77
2023-01-07 17:15:19,1.79,10.48,9.77
2023-01-07 17:15:18,2.19,10.83,9.85
2023-01-07 17:15:17,2.19,10.83,9.85
2023-01-07 17:15:16,2.68,11.2,9.91
2023-01-07 17:15:15,2.68,11.2,9.91
2023-01-07 17:15:14,3.27,11.58,9.98
