time,read,write
2023-01-07 17:17:13,0,0
2023-01-07 17:17:12,0,0
2023-01-07 17:17:11,0,0
2023-01-07 17:17:10,0,0
2023-01-07 17:17:09,0,0
2023-01-07 17:17:08,0,0
2023-01-07 17:17:07,0,0
2023-01-07 17:17:06,0,0
2023-01-07 17:17:05,0,0
2023-01-07 17:17:04,0,0
2023-01-07 17:17:03,0,0
2023-01-07 17:17:02,0,0
2023-01-07 17:17:01,0,0
2023-01-07 17:17:00,0,0
2023-01-07 17:16:59,0,0
2023-01-07 17:16:58,0,0
2023-01-07 17:16:57,0,0
2023-01-07 17:16:56,393.5309,-1.0841071
2023-01-07 17:16:55,1900.462,-2.915893
2023-01-07 17:16:54,2262.007,0
2023-01-07 17:16:53,1099.0867,0
2023-01-07 17:16:52,2944.913,0
2023-01-07 17:16:51,0,0
2023-01-07 17:16:50,0,0
2023-01-07 17:16:49,0,0
2023-01-07 17:16:48,0,0
2023-01-07 17:16:47,0,0
2023-01-07 17:16:46,0,0
2023-01-07 17:16:45,0,0
2023-01-07 17:16:44,0,-1.0842949
2023-01-07 17:16:43,257.5573,-2.915705
2023-01-07 17:16:42,690.4427,0
2023-01-07 17:16:41,311.4945,0
2023-01-07 17:16:40,808.5055,0
2023-01-07 17:16:39,0,0
2023-01-07 17:16:38,823.8321,-1.0839895
2023-01-07 17:16:37,2216.168,-2.91601
2023-01-07 17:16:36,696.4417,0
2023-01-07 17:16:35,1871.558,0
2023-01-07 17:16:34,0,0
2023-01-07 17:16:33,1102.754,-1.0843205
2023-01-07 17:16:32,4921.54,-2.915679
2023-01-07 17:16:31,5259.706,0
2023-01-07 17:16:30,1012.839,0
2023-01-07 17:16:29,2723.161,0
2023-01-07 17:16:28,0,0
2023-01-07 17:16:27,0,0
2023-01-07 17:16:26,1082.7528,-1.0838367
2023-01-07 17:16:25,3057.548,-2.916163
2023-01-07 17:16:24,683.8884,0
2023-01-07 17:16:23,795.8103,0
2023-01-07 17:16:22,0,0
2023-01-07 17:16:21,42.27553,-1.0839879
2023-01-07 17:16:20,113.72447,-2.916012
2023-01-07 17:16:19,0,0
2023-01-07 17:16:18,0,0
2023-01-07 17:16:17,0,0
2023-01-07 17:16:16,0,0
2023-01-07 17:16:15,0,-1.0848515
2023-01-07 17:16:14,0,-2.915148
2023-01-07 17:16:13,1023.6891,0
2023-01-07 17:16:12,2728.311,0
2023-01-07 17:16:11,0,0
2023-01-07 17:16:10,0,0
2023-01-07 17:16:09,0,0
2023-01-07 17:16:08,0,0
2023-01-07 17:16:07,0,0
2023-01-07 17:16:06,1113.2956,-1.0840269
2023-01-07 17:16:05,3153.106,-2.915973
2023-01-07 17:16:04,696.94,0
2023-01-07 17:16:03,728.6585,0
2023-01-07 17:16:02,0,0
2023-01-07 17:16:01,27.12775,-1.0851101
2023-01-07 17:16:00,72.87225,-2.91489
2023-01-07 17:15:59,510.3326,0
2023-01-07 17:15:58,1369.6674,0
2023-01-07 17:15:57,0,0
2023-01-07 17:15:56,0,0
2023-01-07 17:15:55,1535.9036,-1.0846777
2023-01-07 17:15:54,9939.672,-2.915322
2023-01-07 17:15:53,16039.463,0
2023-01-07 17:15:52,1136.9609,0
2023-01-07 17:15:51,0,0
2023-01-07 17:15:50,0,0
2023-01-07 17:15:49,0,0
2023-01-07 17:15:48,0,0
2023-01-07 17:15:47,0,0
2023-01-07 17:15:46,0,0
2023-01-07 17:15:45,0,0
2023-01-07 17:15:44,0,0
2023-01-07 17:15:43,0,0
2023-01-07 17:15:42,0,0
2023-01-07 17:15:41,0,0
2023-01-07 17:15:40,0,0
2023-01-07 17:15:39,0,0
2023-01-07 17:15:38,0,0
2023-01-07 17:15:37,0,0
2023-01-07 17:15:36,0,0
2023-01-07 17:15:35,0,0
2023-01-07 17:15:34,0,0
2023-01-07 17:15:33,0,0
2023-01-07 17:15:32,0,0
2023-01-07 17:15:31,0,0
2023-01-07 17:15:30,0,0
2023-01-07 17:15:29,0,0
2023-01-07 17:15:28,0,0
2023-01-07 17:15:27,0,0
2023-01-07 17:15:26,0,0
2023-01-07 17:15:25,0,0
2023-01-07 17:15:24,0,0
2023-01-07 17:15:23,0,0
2023-01-07 17:15:22,0,0
2023-01-07 17:15:21,0,0
2023-01-07 17:15:20,0,0
2023-01-07 17:15:19,0,0
2023-01-07 17:15:18,0,0
2023-01-07 17:15:17,0,0
2023-01-07 17:15:16,0,0
2023-01-07 17:15:15,0,0
2023-01-07 17:15:14,0,0
