time,time
2023-01-07 17:17:13,0
2023-01-07 17:17:12,0
2023-01-07 17:17:11,0
2023-01-07 17:17:10,0
2023-01-07 17:17:09,0
2023-01-07 17:17:08,0
2023-01-07 17:17:07,0
2023-01-07 17:17:06,0
2023-01-07 17:17:05,0
2023-01-07 17:17:04,0
2023-01-07 17:17:03,0
2023-01-07 17:17:02,0
2023-01-07 17:17:01,0
2023-01-07 17:17:00,0
2023-01-07 17:16:59,0
2023-01-07 17:16:58,0
2023-01-07 17:16:57,0
2023-01-07 17:16:56,1.0843433
2023-01-07 17:16:55,6.714552
2023-01-07 17:16:54,10.201104
2023-01-07 17:16:53,2.17492
2023-01-07 17:16:52,5.82508
2023-01-07 17:16:51,0
2023-01-07 17:16:50,0
2023-01-07 17:16:49,0
2023-01-07 17:16:48,0
2023-01-07 17:16:47,0
2023-01-07 17:16:46,0
2023-01-07 17:16:45,0
2023-01-07 17:16:44,0.2711316
2023-01-07 17:16:43,1.815961
2023-01-07 17:16:42,2.912907
2023-01-07 17:16:41,1.112709
2023-01-07 17:16:40,2.887291
2023-01-07 17:16:39,0
2023-01-07 17:16:38,2.710488
2023-01-07 17:16:37,7.289512
2023-01-07 17:16:36,1.898909
2023-01-07 17:16:35,5.101091
2023-01-07 17:16:34,0
2023-01-07 17:16:33,5.422657
2023-01-07 17:16:32,18.64481
2023-01-07 17:16:31,10.932537
2023-01-07 17:16:30,1.898078
2023-01-07 17:16:29,5.101922
2023-01-07 17:16:28,0
2023-01-07 17:16:27,0
2023-01-07 17:16:26,4.065185
2023-01-07 17:16:25,10.934815
2023-01-07 17:16:24,1.0884532
2023-01-07 17:16:23,2.911547
2023-01-07 17:16:22,0
2023-01-07 17:16:21,0.5420972
2023-01-07 17:16:20,1.4579028
2023-01-07 17:16:19,0
2023-01-07 17:16:18,0
2023-01-07 17:16:17,0
2023-01-07 17:16:16,0
2023-01-07 17:16:15,0
2023-01-07 17:16:14,0
2023-01-07 17:16:13,2.18314
2023-01-07 17:16:12,5.81686
2023-01-07 17:16:11,0
2023-01-07 17:16:10,0
2023-01-07 17:16:09,0
2023-01-07 17:16:08,0
2023-01-07 17:16:07,0
2023-01-07 17:16:06,8.674442
2023-01-07 17:16:05,23.59686
2023-01-07 17:16:04,2.085873
2023-01-07 17:16:03,3.642824
2023-01-07 17:16:02,0
2023-01-07 17:16:01,1.0853818
2023-01-07 17:16:00,2.914618
2023-01-07 17:15:59,1.3576421
2023-01-07 17:15:58,3.642358
2023-01-07 17:15:57,0
2023-01-07 17:15:56,0
2023-01-07 17:15:55,5.424439
2023-01-07 17:15:54,23.52775
2023-01-07 17:15:53,25.13278
2023-01-07 17:15:52,2.915024
2023-01-07 17:15:51,0
2023-01-07 17:15:50,0
2023-01-07 17:15:49,0
2023-01-07 17:15:48,0
2023-01-07 17:15:47,0
2023-01-07 17:15:46,0
2023-01-07 17:15:45,0
2023-01-07 17:15:44,0
2023-01-07 17:15:43,0
2023-01-07 17:15:42,0
2023-01-07 17:15:41,0
2023-01-07 17:15:40,0
2023-01-07 17:15:39,0
2023-01-07 17:15:38,0
2023-01-07 17:15:37,0
2023-01-07 17:15:36,0
2023-01-07 17:15:35,0
2023-01-07 17:15:34,0
2023-01-07 17:15:33,0
2023-01-07 17:15:32,0
2023-01-07 17:15:31,0
2023-01-07 17:15:30,0
2023-01-07 17:15:29,0
2023-01-07 17:15:28,0
2023-01-07 17:15:27,0
2023-01-07 17:15:26,0
2023-01-07 17:15:25,0
2023-01-07 17:15:24,0
2023-01-07 17:15:23,0
2023-01-07 17:15:22,0
2023-01-07 17:15:21,0
2023-01-07 17:15:20,0
2023-01-07 17:15:19,0
2023-01-07 17:15:18,0
2023-01-07 17:15:17,0
2023-01-07 17:15:16,0
2023-01-07 17:15:15,0
2023-01-07 17:15:14,0
