time,some 10,some 60,some 300
2023-01-07 17:17:13,0,0.39,1.1
2023-01-07 17:17:12,0,0.4,1.11
2023-01-07 17:17:11,0,0.4,1.11
2023-01-07 17:17:10,0,0.41,1.12
2023-01-07 17:17:09,0,0.41,1.12
2023-01-07 17:17:08,0,0.43,1.12
2023-01-07 17:17:07,0,0.43,1.12
2023-01-07 17:17:06,0,0.44,1.13
2023-01-07 17:17:05,0,0.44,1.13
2023-01-07 17:17:04,0,0.46,1.13
2023-01-07 17:17:03,0,0.46,1.13
2023-01-07 17:17:02,0.01,0.47,1.14
2023-01-07 17:17:01,0.01,0.47,1.14
2023-01-07 17:17:00,0.01,0.49,1.15
2023-01-07 17:16:59,0.01,0.49,1.15
2023-01-07 17:16:58,0.01,0.51,1.17
2023-01-07 17:16:57,0.01,0.51,1.17
2023-01-07 17:16:56,0.02,0.53,1.18
2023-01-07 17:16:55,0.02,0.53,1.18
2023-01-07 17:16:54,0.02,0.54,1.19
2023-01-07 17:16:53,0.02,0.54,1.19
2023-01-07 17:16:52,0.03,0.56,1.19
2023-01-07 17:16:51,0.03,0.56,1.19
2023-01-07 17:16:50,0.03,0.57,1.2
2023-01-07 17:16:49,0.03,0.57,1.2
2023-01-07 17:16:48,0.04,0.6,1.21
2023-01-07 17:16:47,0.04,0.6,1.21
2023-01-07 17:16:46,0.05,0.62,1.22
2023-01-07 17:16:45,0.05,0.62,1.22
2023-01-07 17:16:44,0.07,0.64,1.23
2023-01-07 17:16:43,0.07,0.64,1.23
2023-01-07 17:16:42,0.08,0.67,1.24
2023-01-07 17:16:41,0.08,0.67,1.24
2023-01-07 17:16:40,0.1,0.69,1.25
2023-01-07 17:16:39,0.1,0.69,1.25
2023-01-07 17:16:38,0.13,0.71,1.25
2023-01-07 17:16:37,0.13,0.71,1.25
2023-01-07 17:16:36,0.16,0.74,1.26
2023-01-07 17:16:35,0.16,0.74,1.26
2023-01-07 17:16:34,0.19,0.76,1.27
2023-01-07 17:16:33,0.19,0.76,1.27
2023-01-07 17:16:32,0.02,0.75,1.27
2023-01-07 17:16:31,0.02,0.75,1.27
2023-01-07 17:16:30,0.02,0.78,1.28
2023-01-07 17:16:29,0.02,0.78,1.28
2023-01-07 17:16:28,0.03,0.81,1.29
2023-01-07 17:16:27,0.03,0.81,1.29
2023-01-07 17:16:26,0.03,0.84,1.3
2023-01-07 17:16:25,0.03,0.84,1.3
2023-01-07 17:16:24,0.04,0.86,1.31
2023-01-07 17:16:23,0.04,0.86,1.31
2023-01-07 17:16:22,0.05,0.89,1.32
2023-01-07 17:16:21,0.05,0.89,1.32
2023-01-07 17:16:20,0.07,0.92,1.33
2023-01-07 17:16:19,0.07,0.92,1.33
2023-01-07 17:16:18,0.08,0.96,1.34
2023-01-07 17:16:17,0.08,0.96,1.34
2023-01-07 17:16:16,0.1,0.99,1.35
2023-01-07 17:16:15,0.1,0.99,1.35
2023-01-07 17:16:14,0.13,1.02,1.36
2023-01-07 17:16:13,0.13,1.02,1.36
2023-01-07 17:16:12,0.16,1.06,1.37
2023-01-07 17:16:11,0.16,1.06,1.37
2023-01-07 17:16:10,0.2,1.09,1.38
2023-01-07 17:16:09,0.2,1.09,1.38
2023-01-07 17:16:08,0.24,1.12,1.39
2023-01-07 17:16:07,0.24,1.12,1.39
2023-01-07 17:16:06,0.28,1.17,1.4
2023-01-07 17:16:05,0.28,1.17,1.4
2023-01-07 17:16:04,0.36,1.21,1.41
2023-01-07 17:16:03,0.36,1.21,1.41
2023-01-07 17:16:02,0.44,1.25,1.42
2023-01-07 17:16:01,0.44,1.25,1.42
2023-01-07 17:16:00,0.54,1.29,1.43
2023-01-07 17:15:59,0.54,1.29,1.43
2023-01-07 17:15:58,0.66,1.34,1.44
2023-01-07 17:15:57,0.66,1.34,1.44
2023-01-07 17:15:56,0.81,1.39,1.45
2023-01-07 17:15:55,0.81,1.39,1.45
2023-01-07 17:15:54,0.55,1.36,1.44
2023-01-07 17:15:53,0.55,1.36,1.44
2023-01-07 17:15:52,0.01,1.31,1.43
2023-01-07 17:15:51,0.01,1.31,1.43
2023-01-07 17:15:50,0.01,1.35,1.44
2023-01-07 17:15:49,0.01,1.35,1.44
2023-01-07 17:15:48,0.01,1.4,1.45
2023-01-07 17:15:47,0.01,1.4,1.45
2023-01-07 17:15:46,0.01,1.45,1.46
2023-01-07 17:15:45,0.01,1.45,1.46
2023-01-07 17:15:44,0.02,1.5,1.47
2023-01-07 17:15:43,0.02,1.5,1.47
2023-01-07 17:15:42,0.03,1.55,1.48
2023-01-07 17:15:41,0.03,1.55,1.48
2023-01-07 17:15:40,0.03,1.6,1.49
2023-01-07 17:15:39,0.03,1.6,1.49
2023-01-07 17:15:38,0.04,1.66,1.51
2023-01-07 17:15:37,0.04,1.66,1.51
2023-01-07 17:15:36,0.05,1.71,1.52
2023-01-07 17:15:35,0.05,1.71,1.52
2023-01-07 17:15:34,0.06,1.77,1.53
2023-01-07 17:15:33,0.06,1.77,1.53
2023-01-07 17:15:32,0.08,1.83,1.54
2023-01-07 17:15:31,0.08,1.83,1.54
2023-01-07 17:15:30,0.1,1.89,1.55
2023-01-07 17:15:29,0.1,1.89,1.55
2023-01-07 17:15:28,0.12,1.96,1.56
2023-01-07 17:15:27,0.12,1.96,1.56
2023-01-07 17:15:26,0.15,2.02,1.57
2023-01-07 17:15:25,0.15,2.02,1.57
