time,utilization
2023-01-07 17:17:13,0
2023-01-07 17:17:12,0
2023-01-07 17:17:11,0
2023-01-07 17:17:10,0
2023-01-07 17:17:09,0
2023-01-07 17:17:08,0
2023-01-07 17:17:07,0
2023-01-07 17:17:06,0
2023-01-07 17:17:05,0
2023-01-07 17:17:04,0
2023-01-07 17:17:03,0
2023-01-07 17:17:02,0
2023-01-07 17:17:01,0
2023-01-07 17:17:00,0
2023-01-07 17:16:59,0
2023-01-07 17:16:58,0
2023-01-07 17:16:57,0
2023-01-07 17:16:56,0
2023-01-07 17:16:55,0
2023-01-07 17:16:54,18
2023-01-07 17:16:53,33
2023-01-07 17:16:52,12
2023-01-07 17:16:51,0
2023-01-07 17:16:50,0
2023-01-07 17:16:49,0
2023-01-07 17:16:48,0
2023-01-07 17:16:47,0
2023-01-07 17:16:46,0
2023-01-07 17:16:45,0
2023-01-07 17:16:44,0
2023-01-07 17:16:43,0
2023-01-07 17:16:42,23
2023-01-07 17:16:41,30
2023-01-07 17:16:40,16
2023-01-07 17:16:39,0
2023-01-07 17:16:38,0
2023-01-07 17:16:37,0
2023-01-07 17:16:36,38
2023-01-07 17:16:35,14
2023-01-07 17:16:34,0
2023-01-07 17:16:33,0
2023-01-07 17:16:32,0
2023-01-07 17:16:31,43
2023-01-07 17:16:30,32
2023-01-07 17:16:29,13
2023-01-07 17:16:28,0
2023-01-07 17:16:27,0
2023-01-07 17:16:26,0
2023-01-07 17:16:25,0
2023-01-07 17:16:24,28
2023-01-07 17:16:23,9
2023-01-07 17:16:22,0
2023-01-07 17:16:21,0
2023-01-07 17:16:20,0
2023-01-07 17:16:19,39
2023-01-07 17:16:18,26
2023-01-07 17:16:17,5
2023-01-07 17:16:16,0
2023-01-07 17:16:15,0
2023-01-07 17:16:14,0
2023-01-07 17:16:13,25
2023-01-07 17:16:12,9
2023-01-07 17:16:11,0
2023-01-07 17:16:10,0
2023-01-07 17:16:09,0
2023-01-07 17:16:08,0
2023-01-07 17:16:07,0
2023-01-07 17:16:06,0
2023-01-07 17:16:05,0
2023-01-07 17:16:04,35
2023-01-07 17:16:03,11
2023-01-07 17:16:02,0
2023-01-07 17:16:01,0
2023-01-07 17:16:00,0
2023-01-07 17:15:59,34
2023-01-07 17:15:58,18
2023-01-07 17:15:57,0
2023-01-07 17:15:56,0
2023-01-07 17:15:55,0
2023-01-07 17:15:54,0
2023-01-07 17:15:53,25
2023-01-07 17:15:52,11
2023-01-07 17:15:51,0
2023-01-07 17:15:50,0
2023-01-07 17:15:49,0
2023-01-07 17:15:48,0
2023-01-07 17:15:47,0
2023-01-07 17:15:46,0
2023-01-07 17:15:45,0
2023-01-07 17:15:44,0
2023-01-07 17:15:43,0
2023-01-07 17:15:42,0
2023-01-07 17:15:41,0
2023-01-07 17:15:40,0
2023-01-07 17:15:39,0
2023-01-07 17:15:38,0
2023-01-07 17:15:37,0
2023-01-07 17:15:36,0
2023-01-07 17:15:35,0
2023-01-07 17:15:34,0
2023-01-07 17:15:33,0
2023-01-07 17:15:32,0
2023-01-07 17:15:31,0
2023-01-07 17:15:30,0
2023-01-07 17:15:29,0
2023-01-07 17:15:28,0
2023-01-07 17:15:27,0
2023-01-07 17:15:26,0
2023-01-07 17:15:25,0
2023-01-07 17:15:24,0
2023-01-07 17:15:23,0
2023-01-07 17:15:22,0
2023-01-07 17:15:21,0
2023-01-07 17:15:20,0
2023-01-07 17:15:19,0
2023-01-07 17:15:18,0
2023-01-07 17:15:17,0
2023-01-07 17:15:16,0
2023-01-07 17:15:15,0
2023-01-07 17:15:14,0
