time,read,write
2023-01-07 17:17:13,0,0
2023-01-07 17:17:12,0,0
2023-01-07 17:17:11,0,0
2023-01-07 17:17:10,0,0
2023-01-07 17:17:09,0,0
2023-01-07 17:17:08,0,0
2023-01-07 17:17:07,0,0
2023-01-07 17:17:06,0,0
2023-01-07 17:17:05,0,0
2023-01-07 17:17:04,0,0
2023-01-07 17:17:03,0,0
2023-01-07 17:17:02,0,0
2023-01-07 17:17:01,0,0
2023-01-07 17:17:00,0,0
2023-01-07 17:16:59,0,0
2023-01-07 17:16:58,0,0
2023-01-07 17:16:57,0,0
2023-01-07 17:16:56,7.317873,-0.2710323
2023-01-07 17:16:55,36.22975,-0.7289677
2023-01-07 17:16:54,44.45237,0
2023-01-07 17:16:53,45.93263,0
2023-01-07 17:16:52,123.06737,0
2023-01-07 17:16:51,0,0
2023-01-07 17:16:50,0,0
2023-01-07 17:16:49,0,0
2023-01-07 17:16:48,0,0
2023-01-07 17:16:47,0,0
2023-01-07 17:16:46,0,0
2023-01-07 17:16:45,0,0
2023-01-07 17:16:44,0,-0.2710814
2023-01-07 17:16:43,2.445294,-0.7289186
2023-01-07 17:16:42,6.554706,0
2023-01-07 17:16:41,13.906289,0
2023-01-07 17:16:40,36.09371,0
2023-01-07 17:16:39,0,0
2023-01-07 17:16:38,14.363155,-0.2710029
2023-01-07 17:16:37,38.63684,-0.7289971
2023-01-07 17:16:36,31.73107,0
2023-01-07 17:16:35,85.26893,0
2023-01-07 17:16:34,0,0
2023-01-07 17:16:33,23.04228,-0.2710857
2023-01-07 17:16:32,121.60229,-0.7289143
2023-01-07 17:16:31,160.35542,0
2023-01-07 17:16:30,45.00389,0
2023-01-07 17:16:29,120.99611,0
2023-01-07 17:16:28,0,0
2023-01-07 17:16:27,0,0
2023-01-07 17:16:26,17.61271,-0.2709647
2023-01-07 17:16:25,51.99855,-0.7290353
2023-01-07 17:16:24,24.8659,0
2023-01-07 17:16:23,33.52285,0
2023-01-07 17:16:22,0,0
2023-01-07 17:16:21,1.355009,-0.2710018
2023-01-07 17:16:20,3.644991,-0.7289982
2023-01-07 17:16:19,0,0
2023-01-07 17:16:18,0,0
2023-01-07 17:16:17,0,0
2023-01-07 17:16:16,0,0
2023-01-07 17:16:15,0,-0.2712185
2023-01-07 17:16:14,0,-0.7287815
2023-01-07 17:16:13,44.20072,0
2023-01-07 17:16:12,117.79928,0
2023-01-07 17:16:11,0,0
2023-01-07 17:16:10,0,0
2023-01-07 17:16:09,0,0
2023-01-07 17:16:08,0,0
2023-01-07 17:16:07,0,0
2023-01-07 17:16:06,20.59693,-0.2710123
2023-01-07 17:16:05,60.55667,-0.7289877
2023-01-07 17:16:04,26.32846,0
2023-01-07 17:16:03,33.51794,0
2023-01-07 17:16:02,0,0
2023-01-07 17:16:01,0.8138539,-0.2712846
2023-01-07 17:16:00,2.186146,-0.7287154
2023-01-07 17:15:59,26.06037,0
2023-01-07 17:15:58,69.93963,0
2023-01-07 17:15:57,0,0
2023-01-07 17:15:56,0,0
2023-01-07 17:15:55,31.18509,-0.2711747
2023-01-07 17:15:54,230.5451,-0.7288253
2023-01-07 17:15:53,415.1511,0
2023-01-07 17:15:52,56.11872,0
2023-01-07 17:15:51,0,0
2023-01-07 17:15:50,0,0
2023-01-07 17:15:49,0,0
2023-01-07 17:15:48,0,0
2023-01-07 17:15:47,0,0
2023-01-07 17:15:46,0,0
2023-01-07 17:15:45,0,0
2023-01-07 17:15:44,0,0
2023-01-07 17:15:43,0,0
2023-01-07 17:15:42,0,0
2023-01-07 17:15:41,0,0
2023-01-07 17:15:40,0,0
2023-01-07 17:15:39,0,0
2023-01-07 17:15:38,0,0
2023-01-07 17:15:37,0,0
2023-01-07 17:15:36,0,0
2023-01-07 17:15:35,0,0
2023-01-07 17:15:34,0,0
2023-01-07 17:15:33,0,0
2023-01-07 17:15:32,0,0
2023-01-07 17:15:31,0,0
2023-01-07 17:15:30,0,0
2023-01-07 17:15:29,0,0
2023-01-07 17:15:28,0,0
2023-01-07 17:15:27,0,0
2023-01-07 17:15:26,0,0
2023-01-07 17:15:25,0,0
2023-01-07 17:15:24,0,0
2023-01-07 17:15:23,0,0
2023-01-07 17:15:22,0,0
2023-01-07 17:15:21,0,0
2023-01-07 17:15:20,0,0
2023-01-07 17:15:19,0,0
2023-01-07 17:15:18,0,0
2023-01-07 17:15:17,0,0
2023-01-07 17:15:16,0,0
2023-01-07 17:15:15,0,0
2023-01-07 17:15:14,0,0
