time,time
2023-01-07 17:39:32,0
2023-01-07 17:39:31,0
2023-01-07 17:39:30,0
2023-01-07 17:39:29,0
2023-01-07 17:39:28,0
2023-01-07 17:39:27,36.89835
2023-01-07 17:39:26,115.41702
2023-01-07 17:39:25,101.71887
2023-01-07 17:39:24,245.3672
2023-01-07 17:39:23,269.9506
2023-01-07 17:39:22,177.0691
2023-01-07 17:39:21,338.5046
2023-01-07 17:39:20,295.4321
2023-01-07 17:39:19,221.2634
2023-01-07 17:39:18,193.1814
2023-01-07 17:39:17,287.5343
2023-01-07 17:39:16,223.8905
2023-01-07 17:39:15,209.4701
2023-01-07 17:39:14,227.4645
2023-01-07 17:39:13,339.8737
2023-01-07 17:39:12,376.9146
2023-01-07 17:39:11,388.3786
2023-01-07 17:39:10,165.67096
2023-01-07 17:39:09,0
2023-01-07 17:39:08,0
2023-01-07 17:39:07,0
2023-01-07 17:39:06,0.271276
2023-01-07 17:39:05,74.80399
2023-01-07 17:39:04,281.1781
2023-01-07 17:39:03,336.3833
2023-01-07 17:39:02,405.7513
2023-01-07 17:39:01,314.5408
2023-01-07 17:39:00,187.4302
2023-01-07 17:38:59,219.988
2023-01-07 17:38:58,307.1765
2023-01-07 17:38:57,325.6277
2023-01-07 17:38:56,290.4274
2023-01-07 17:38:55,252.7955
2023-01-07 17:38:54,311.1794
2023-01-07 17:38:53,257.164
2023-01-07 17:38:52,222.8116
2023-01-07 17:38:51,312.0894
2023-01-07 17:38:50,339.2171
2023-01-07 17:38:49,407.8196
2023-01-07 17:38:48,311.3142
2023-01-07 17:38:47,24.03065
2023-01-07 17:38:46,0
2023-01-07 17:38:45,0
2023-01-07 17:38:44,0
2023-01-07 17:38:43,0
2023-01-07 17:38:42,0
2023-01-07 17:38:41,0
2023-01-07 17:38:40,0.5977261
2023-01-07 17:38:39,132.64834
2023-01-07 17:38:38,346.5911
2023-01-07 17:38:37,315.2023
2023-01-07 17:38:36,330.3948
2023-01-07 17:38:35,283.1354
2023-01-07 17:38:34,189.7119
2023-01-07 17:38:33,247.4358
2023-01-07 17:38:32,275.3692
2023-01-07 17:38:31,306.4513
2023-01-07 17:38:30,233.7738
2023-01-07 17:38:29,377.3484
2023-01-07 17:38:28,390.6764
2023-01-07 17:38:27,320.8899
2023-01-07 17:38:26,169.8749
2023-01-07 17:38:25,262.6788
2023-01-07 17:38:24,373.627
2023-01-07 17:38:23,409.4289
2023-01-07 17:38:22,285.3841
2023-01-07 17:38:21,67.78002
2023-01-07 17:38:20,5.521315
2023-01-07 17:38:19,106.76266
2023-01-07 17:38:18,278.3299
2023-01-07 17:38:17,171.4125
2023-01-07 17:38:16,226.3194
2023-01-07 17:38:15,275.9801
2023-01-07 17:38:14,260.5038
2023-01-07 17:38:13,260.0703
2023-01-07 17:38:12,295.9065
2023-01-07 17:38:11,385.7175
2023-01-07 17:38:10,309.9045
2023-01-07 17:38:09,243.4962
2023-01-07 17:38:08,189.6974
2023-01-07 17:38:07,295.4904
2023-01-07 17:38:06,384.15
2023-01-07 17:38:05,344.4946
2023-01-07 17:38:04,162.47379
2023-01-07 17:38:03,215.9323
2023-01-07 17:38:02,302.8985
2023-01-07 17:38:01,347.075
2023-01-07 17:38:00,362.0624
2023-01-07 17:37:59,134.80084
2023-01-07 17:37:58,0
2023-01-07 17:37:57,0
2023-01-07 17:37:56,19.78782
2023-01-07 17:37:55,116.99196
2023-01-07 17:37:54,211.9898
2023-01-07 17:37:53,162.40441
2023-01-07 17:37:52,286.5034
2023-01-07 17:37:51,525.2172
2023-01-07 17:37:50,500.2544
2023-01-07 17:37:49,424.1943
2023-01-07 17:37:48,312.6434
2023-01-07 17:37:47,283.0027
2023-01-07 17:37:46,264.4178
2023-01-07 17:37:45,295.3533
2023-01-07 17:37:44,195.1579
2023-01-07 17:37:43,325.1691
2023-01-07 17:37:42,338.8294
2023-01-07 17:37:41,384.3105
2023-01-07 17:37:40,416.3635
2023-01-07 17:37:39,360.7947
2023-01-07 17:37:38,455.8433
2023-01-07 17:37:37,399.4295
