time,some 10,some 60,some 300
2023-01-07 17:39:32,12.1,18.2,9.38
2023-01-07 17:39:31,14.78,18.82,9.44
2023-01-07 17:39:30,14.78,18.82,9.44
2023-01-07 17:39:29,18.05,19.45,9.51
2023-01-07 17:39:28,18.05,19.45,9.51
2023-01-07 17:39:27,22.04,20.11,9.58
2023-01-07 17:39:26,22.04,20.11,9.58
2023-01-07 17:39:25,23.82,20.32,9.55
2023-01-07 17:39:24,23.82,20.32,9.55
2023-01-07 17:39:23,23.78,20.19,9.44
2023-01-07 17:39:22,23.78,20.19,9.44
2023-01-07 17:39:21,22.85,19.93,9.32
2023-01-07 17:39:20,22.85,19.93,9.32
2023-01-07 17:39:19,22.59,19.79,9.22
2023-01-07 17:39:18,22.59,19.79,9.22
2023-01-07 17:39:17,22.28,19.64,9.11
2023-01-07 17:39:16,22.28,19.64,9.11
2023-01-07 17:39:15,23.23,19.71,9.06
2023-01-07 17:39:14,23.23,19.71,9.06
2023-01-07 17:39:13,21.74,19.36,8.91
2023-01-07 17:39:12,21.74,19.36,8.91
2023-01-07 17:39:11,17.25,18.59,8.68
2023-01-07 17:39:10,17.25,18.59,8.68
2023-01-07 17:39:09,18.64,18.85,8.67
2023-01-07 17:39:08,18.64,18.85,8.67
2023-01-07 17:39:07,22.76,19.48,8.73
2023-01-07 17:39:06,22.76,19.48,8.73
2023-01-07 17:39:05,26.03,19.88,8.73
2023-01-07 17:39:04,26.03,19.88,8.73
2023-01-07 17:39:03,26.04,19.67,8.61
2023-01-07 17:39:02,26.04,19.67,8.61
2023-01-07 17:39:01,22.95,18.98,8.4
2023-01-07 17:39:00,22.95,18.98,8.4
2023-01-07 17:38:59,24.27,19.05,8.34
2023-01-07 17:38:58,24.27,19.05,8.34
2023-01-07 17:38:57,21.9,18.51,8.16
2023-01-07 17:38:56,21.9,18.51,8.16
2023-01-07 17:38:55,21.21,18.29,8.03
2023-01-07 17:38:54,21.21,18.29,8.03
2023-01-07 17:38:53,20.37,18.05,7.92
2023-01-07 17:38:52,20.37,18.05,7.92
2023-01-07 17:38:51,18.69,17.73,7.78
2023-01-07 17:38:50,18.69,17.73,7.78
2023-01-07 17:38:49,14.86,17.11,7.59
2023-01-07 17:38:48,14.86,17.11,7.59
2023-01-07 17:38:47,13.28,16.94,7.49
2023-01-07 17:38:46,13.28,16.94,7.49
2023-01-07 17:38:45,16.22,17.52,7.54
2023-01-07 17:38:44,16.22,17.52,7.54
2023-01-07 17:38:43,19.8,18.11,7.59
2023-01-07 17:38:42,19.8,18.11,7.59
