time,time
2023-01-07 17:39:32,0
2023-01-07 17:39:31,0
2023-01-07 17:39:30,0
2023-01-07 17:39:29,0
2023-01-07 17:39:28,0
2023-01-07 17:39:27,36.8969
2023-01-07 17:39:26,115.41767
2023-01-07 17:39:25,101.71769
2023-01-07 17:39:24,245.3652
2023-01-07 17:39:23,269.9528
2023-01-07 17:39:22,177.067
2023-01-07 17:39:21,338.5049
2023-01-07 17:39:20,295.4325
2023-01-07 17:39:19,221.2637
2023-01-07 17:39:18,193.1761
2023-01-07 17:39:17,287.5402
2023-01-07 17:39:16,223.8902
2023-01-07 17:39:15,209.4709
2023-01-07 17:39:14,227.4624
2023-01-07 17:39:13,339.8727
2023-01-07 17:39:12,376.9102
2023-01-07 17:39:11,388.382
2023-01-07 17:39:10,165.67691
2023-01-07 17:39:09,0
2023-01-07 17:39:08,0
2023-01-07 17:39:07,0
2023-01-07 17:39:06,0.2712667
2023-01-07 17:39:05,74.8012
2023-01-07 17:39:04,281.1746
2023-01-07 17:39:03,336.3734
2023-01-07 17:39:02,405.7615
2023-01-07 17:39:01,314.5428
2023-01-07 17:39:00,187.4296
2023-01-07 17:38:59,219.9894
2023-01-07 17:38:58,307.1757
2023-01-07 17:38:57,325.6286
2023-01-07 17:38:56,290.4279
2023-01-07 17:38:55,252.7934
2023-01-07 17:38:54,311.1814
2023-01-07 17:38:53,257.1648
2023-01-07 17:38:52,222.8098
2023-01-07 17:38:51,312.0895
2023-01-07 17:38:50,339.2166
2023-01-07 17:38:49,407.8192
2023-01-07 17:38:48,311.3184
2023-01-07 17:38:47,24.03099
2023-01-07 17:38:46,0
2023-01-07 17:38:45,0
2023-01-07 17:38:44,0
2023-01-07 17:38:43,0
2023-01-07 17:38:42,0
2023-01-07 17:38:41,0
2023-01-07 17:38:40,0.5977043
2023-01-07 17:38:39,132.64415
2023-01-07 17:38:38,346.5919
2023-01-07 17:38:37,315.202
2023-01-07 17:38:36,330.3949
2023-01-07 17:38:35,283.1372
2023-01-07 17:38:34,189.7111
2023-01-07 17:38:33,247.4357
2023-01-07 17:38:32,275.3633
2023-01-07 17:38:31,306.3713
2023-01-07 17:38:30,233.4281
2023-01-07 17:38:29,377.7752
2023-01-07 17:38:28,390.6598
2023-01-07 17:38:27,320.8922
2023-01-07 17:38:26,169.8945
2023-01-07 17:38:25,262.6773
2023-01-07 17:38:24,373.6258
2023-01-07 17:38:23,409.4296
2023-01-07 17:38:22,285.3873
2023-01-07 17:38:21,67.78093
2023-01-07 17:38:20,5.520686
2023-01-07 17:38:19,106.73479
2023-01-07 17:38:18,278.3442
2023-01-07 17:38:17,171.4219
2023-01-07 17:38:16,226.3058
2023-01-07 17:38:15,275.9772
2023-01-07 17:38:14,260.4981
2023-01-07 17:38:13,260.0791
2023-01-07 17:38:12,295.8664
2023-01-07 17:38:11,385.7172
2023-01-07 17:38:10,309.9521
2023-01-07 17:38:09,243.5056
2023-01-07 17:38:08,189.6912
2023-01-07 17:38:07,295.4756
2023-01-07 17:38:06,384.1679
2023-01-07 17:38:05,344.4978
2023-01-07 17:38:04,162.47186
2023-01-07 17:38:03,215.9252
2023-01-07 17:38:02,302.9052
2023-01-07 17:38:01,347.0737
2023-01-07 17:38:00,362.0655
2023-01-07 17:37:59,134.80286
2023-01-07 17:37:58,0
2023-01-07 17:37:57,0
2023-01-07 17:37:56,19.78716
2023-01-07 17:37:55,116.9898
2023-01-07 17:37:54,211.99
2023-01-07 17:37:53,162.40494
2023-01-07 17:37:52,286.4992
2023-01-07 17:37:51,525.2154
2023-01-07 17:37:50,500.2561
2023-01-07 17:37:49,424.1946
2023-01-07 17:37:48,312.6426
2023-01-07 17:37:47,283.0069
2023-01-07 17:37:46,264.4173
2023-01-07 17:37:45,295.355
2023-01-07 17:37:44,195.1557
2023-01-07 17:37:43,325.1693
2023-01-07 17:37:42,338.8272
2023-01-07 17:37:41,384.3075
2023-01-07 17:37:40,416.3689
2023-01-07 17:37:39,360.7928
2023-01-07 17:37:38,455.8394
2023-01-07 17:37:37,399.4214
