time,read,write
2023-01-07 17:39:32,0,0
2023-01-07 17:39:31,0,0
2023-01-07 17:39:30,0,0
2023-01-07 17:39:29,0,0
2023-01-07 17:39:28,0,0
2023-01-07 17:39:27,1245.7254,-2.170253
2023-01-07 17:39:26,3346.275,-5.829747
2023-01-07 17:39:25,721.2911,0
2023-01-07 17:39:24,3102.969,0
2023-01-07 17:39:23,3107.74,0
2023-01-07 17:39:22,0,-1.085177
2023-01-07 17:39:21,2144.319,-2.914823
2023-01-07 17:39:20,5759.681,0
2023-01-07 17:39:19,413.2059,0
2023-01-07 17:39:18,1505.1556,0
2023-01-07 17:39:17,1440.5323,0
2023-01-07 17:39:16,985.1062,-1.0866076
2023-01-07 17:39:15,281.9267,-2.913392
2023-01-07 17:39:14,911.0771,0
2023-01-07 17:39:13,410.9961,0
2023-01-07 17:39:12,0,0
2023-01-07 17:39:11,420.8743,0
2023-01-07 17:39:10,1119.1257,0
2023-01-07 17:39:09,0,0
2023-01-07 17:39:08,0,0
2023-01-07 17:39:07,0,0
2023-01-07 17:39:06,251.7211,-1.0850046
2023-01-07 17:39:05,1138.5905,-2.914995
2023-01-07 17:39:04,1370.6113,-1.0925668
2023-01-07 17:39:03,1703.529,-2.907433
2023-01-07 17:39:02,3559.548,0
2023-01-07 17:39:01,169.9068,0
2023-01-07 17:39:00,454.0932,0
2023-01-07 17:38:59,0,-1.1360225
2023-01-07 17:38:58,0,-2.863977
2023-01-07 17:38:57,0,0
2023-01-07 17:38:56,0,0
2023-01-07 17:38:55,0,0
2023-01-07 17:38:54,20.62934,-1.0857546
2023-01-07 17:38:53,800.0266,-2.914245
2023-01-07 17:38:52,1991.344,0
2023-01-07 17:38:51,231.5502,0
2023-01-07 17:38:50,3613.068,0
2023-01-07 17:38:49,9652.396,0
2023-01-07 17:38:48,4850.561,0
2023-01-07 17:38:47,1424.4248,0
2023-01-07 17:38:46,0,0
2023-01-07 17:38:45,0,0
2023-01-07 17:38:44,0,0
2023-01-07 17:38:43,0,0
2023-01-07 17:38:42,0,0
2023-01-07 17:38:41,0,0
2023-01-07 17:38:40,0,-1.1953345
2023-01-07 17:38:39,578.2287,-2.804665
2023-01-07 17:38:38,1157.7713,-1.0851364
2023-01-07 17:38:37,1397.0829,-2.914864
2023-01-07 17:38:36,3754.917,0
2023-01-07 17:38:35,0,0
2023-01-07 17:38:34,0,0
2023-01-07 17:38:33,1388.4407,-1.0847193
2023-01-07 17:38:32,3731.559,-2.915281
2023-01-07 17:38:31,0,0
2023-01-07 17:38:30,286.7755,0
2023-01-07 17:38:29,1323.7736,0
2023-01-07 17:38:28,1537.4509,-1.0938695
2023-01-07 17:38:27,2370.244,-2.90613
2023-01-07 17:38:26,6351.096,0
2023-01-07 17:38:25,543.6734,0
2023-01-07 17:38:24,410.9857,0
2023-01-07 17:38:23,0,0
2023-01-07 17:38:22,937.1088,0
2023-01-07 17:38:21,2518.891,0
2023-01-07 17:38:20,1803.821,-1.1019067
2023-01-07 17:38:19,7350.08,-2.898093
2023-01-07 17:38:18,6937.876,0
2023-01-07 17:38:17,1388.2228,0
2023-01-07 17:38:16,8052.676,-1.81653
2023-01-07 17:38:15,9679.324,-2.18347
2023-01-07 17:38:14,0,0
2023-01-07 17:38:13,0,0
2023-01-07 17:38:12,0,0
2023-01-07 17:38:11,0,-1.3533439
2023-01-07 17:38:10,0,-2.646656
2023-01-07 17:38:09,0,0
2023-01-07 17:38:08,1440.8546,0
2023-01-07 17:38:07,7696.269,0
2023-01-07 17:38:06,9842.877,-1.0889106
2023-01-07 17:38:05,374.1499,-2.911089
2023-01-07 17:38:04,1005.8501,0
2023-01-07 17:38:03,356.1109,0
2023-01-07 17:38:02,5134.42,0
2023-01-07 17:38:01,13571.786,-1.0852529
2023-01-07 17:38:00,6969.118,-2.914747
2023-01-07 17:37:59,1792.566,0
2023-01-07 17:37:58,0,0
2023-01-07 17:37:57,0,0
2023-01-07 17:37:56,1205.5891,-2.168326
2023-01-07 17:37:55,3288.001,-5.831674
2023-01-07 17:37:54,122.40976,0
2023-01-07 17:37:53,4767.728,0
2023-01-07 17:37:52,12808.272,0
2023-01-07 17:37:51,0,0
2023-01-07 17:37:50,0,-1.0896846
2023-01-07 17:37:49,0,-2.910315
2023-01-07 17:37:48,0,0
2023-01-07 17:37:47,0,0
2023-01-07 17:37:46,310.9257,0
2023-01-07 17:37:45,833.0743,-1.0892142
2023-01-07 17:37:44,0,-2.910786
2023-01-07 17:37:43,0,0
2023-01-07 17:37:42,4026.734,0
2023-01-07 17:37:41,10895.005,0
2023-01-07 17:37:40,968.9382,-1.0843934
2023-01-07 17:37:39,1405.3224,-2.915607
2023-01-07 17:37:38,1102.5163,0
2023-01-07 17:37:37,3368.554,0
2023-01-07 17:37:36,3331.207,0
2023-01-07 17:37:35,5033.102,-1.1330263
2023-01-07 17:37:34,3203.177,-2.866974
2023-01-07 17:37:33,1231.9195,0
2023-01-07 17:37:32,49.524,0
2023-01-07 17:37:31,0,0
2023-01-07 17:37:30,3852.292,0
2023-01-07 17:37:29,10347.708,0
2023-01-07 17:37:28,0,0
2023-01-07 17:37:27,0,0
2023-01-07 17:37:26,0,0
2023-01-07 17:37:25,0,0
2023-01-07 17:37:24,0,0
2023-01-07 17:37:23,0,0
2023-01-07 17:37:22,0,0
2023-01-07 17:37:21,0,0
2023-01-07 17:37:20,0,0
2023-01-07 17:37:19,0,0
2023-01-07 17:37:18,0,0
2023-01-07 17:37:17,0,0
2023-01-07 17:37:16,0,0
2023-01-07 17:37:15,0,0
2023-01-07 17:37:14,0,0
2023-01-07 17:37:13,0,0
2023-01-07 17:37:12,0,0
2023-01-07 17:37:11,0,0
2023-01-07 17:37:10,0,0
2023-01-07 17:37:09,0,0
2023-01-07 17:37:08,0,0
2023-01-07 17:37:07,0,0
2023-01-07 17:37:06,0,0
2023-01-07 17:37:05,214.689,0
2023-01-07 17:37:04,577.311,0
2023-01-07 17:37:03,0,0
2023-01-07 17:37:02,0,0
2023-01-07 17:37:01,0,0
2023-01-07 17:37:00,0,0
2023-01-07 17:36:59,0,0
2023-01-07 17:36:58,0,0
2023-01-07 17:36:57,0,0
2023-01-07 17:36:56,0,0
2023-01-07 17:36:55,0,0
2023-01-07 17:36:54,0,0
2023-01-07 17:36:53,0,0
2023-01-07 17:36:52,0,0
2023-01-07 17:36:51,0,0
2023-01-07 17:36:50,0,0
2023-01-07 17:36:49,0,0
2023-01-07 17:36:48,0,0
2023-01-07 17:36:47,0,0
2023-01-07 17:36:46,0,0
2023-01-07 17:36:45,0,0
2023-01-07 17:36:44,0,0
2023-01-07 17:36:43,0,0
2023-01-07 17:36:42,0,0
2023-01-07 17:36:41,0,0
2023-01-07 17:36:40,0,0
2023-01-07 17:36:39,0,0
2023-01-07 17:36:38,0,0
2023-01-07 17:36:37,0,0
2023-01-07 17:36:36,0,0
2023-01-07 17:36:35,0,0
2023-01-07 17:36:34,0,0
