time,some 10,some 60,some 300
2023-01-07 17:39:32,0.04,0.51,0.38
2023-01-07 17:39:31,0.06,0.52,0.38
2023-01-07 17:39:30,0.06,0.52,0.38
2023-01-07 17:39:29,0.07,0.54,0.38
2023-01-07 17:39:28,0.07,0.54,0.38
2023-01-07 17:39:27,0.09,0.56,0.38
2023-01-07 17:39:26,0.09,0.56,0.38
2023-01-07 17:39:25,0.11,0.57,0.39
2023-01-07 17:39:24,0.11,0.57,0.39
2023-01-07 17:39:23,0.13,0.6,0.39
2023-01-07 17:39:22,0.13,0.6,0.39
2023-01-07 17:39:21,0.16,0.62,0.39
2023-01-07 17:39:20,0.16,0.62,0.39
2023-01-07 17:39:19,0.2,0.64,0.4
2023-01-07 17:39:18,0.2,0.64,0.4
2023-01-07 17:39:17,0.25,0.66,0.4
2023-01-07 17:39:16,0.25,0.66,0.4
2023-01-07 17:39:15,0.3,0.69,0.4
2023-01-07 17:39:14,0.3,0.69,0.4
2023-01-07 17:39:13,0.37,0.71,0.4
2023-01-07 17:39:12,0.37,0.71,0.4
2023-01-07 17:39:11,0.45,0.73,0.41
2023-01-07 17:39:10,0.45,0.73,0.41
2023-01-07 17:39:09,0.55,0.76,0.41
2023-01-07 17:39:08,0.55,0.76,0.41
2023-01-07 17:39:07,0.68,0.79,0.41
2023-01-07 17:39:06,0.68,0.79,0.41
2023-01-07 17:39:05,0.83,0.81,0.42
2023-01-07 17:39:04,0.83,0.81,0.42
2023-01-07 17:39:03,0.56,0.77,0.41
2023-01-07 17:39:02,0.56,0.77,0.41
2023-01-07 17:39:01,0.03,0.7,0.39
2023-01-07 17:39:00,0.03,0.7,0.39
2023-01-07 17:38:59,0.04,0.72,0.39
2023-01-07 17:38:58,0.04,0.72,0.39
2023-01-07 17:38:57,0.05,0.75,0.39
2023-01-07 17:38:56,0.05,0.75,0.39
2023-01-07 17:38:55,0.07,0.77,0.4
2023-01-07 17:38:54,0.07,0.77,0.4
2023-01-07 17:38:53,0.08,0.8,0.4
2023-01-07 17:38:52,0.08,0.8,0.4
2023-01-07 17:38:51,0.1,0.83,0.4
2023-01-07 17:38:50,0.1,0.83,0.4
2023-01-07 17:38:49,0.13,0.85,0.4
2023-01-07 17:38:48,0.13,0.85,0.4
2023-01-07 17:38:47,0.16,0.88,0.41
2023-01-07 17:38:46,0.16,0.88,0.41
2023-01-07 17:38:45,0.19,0.91,0.41
2023-01-07 17:38:44,0.19,0.91,0.41
2023-01-07 17:38:43,0.24,0.95,0.41
2023-01-07 17:38:42,0.24,0.95,0.41
2023-01-07 17:38:41,0.28,0.98,0.42
2023-01-07 17:38:40,0.28,0.98,0.42
2023-01-07 17:38:39,0.36,1.01,0.42
2023-01-07 17:38:38,0.36,1.01,0.42
2023-01-07 17:38:37,0.44,1.05,0.42
2023-01-07 17:38:36,0.44,1.05,0.42
2023-01-07 17:38:35,0.53,1.08,0.43
2023-01-07 17:38:34,0.53,1.08,0.43
2023-01-07 17:38:33,0.65,1.12,0.43
2023-01-07 17:38:32,0.65,1.12,0.43
2023-01-07 17:38:31,0.8,1.15,0.43
2023-01-07 17:38:30,0.8,1.15,0.43
