time,anon,kernel_stack,slab,sock,anon_thp,file
2023-01-07 17:39:32,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:31,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:30,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:29,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:28,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:27,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:26,0.2304688,0.015625,0.4414444,0,0,42.28906
2023-01-07 17:39:25,4275.762,1.796875,1.4899292,0,50,34.12109
2023-01-07 17:39:24,4276.934,2.0625,1.6432037,0,50,34.12109
2023-01-07 17:39:23,4278.461,2.9375,2.096527,0,50,29.25781
2023-01-07 17:39:22,4273.285,2.828125,2.036926,0,50,26
2023-01-07 17:39:21,4254.336,2.828125,2.036926,0,50,26
2023-01-07 17:39:20,3845.781,2.75,2.05381,0,50,26
2023-01-07 17:39:19,3672.242,2.5625,1.987526,0,50,17.85156
2023-01-07 17:39:18,4261.812,2.484375,1.84948,0,50,17.85156
2023-01-07 17:39:17,4224.426,2.453125,1.836868,0,50,15.914062
2023-01-07 17:39:16,3572.762,2.375,1.855156,0,50,28.32031
2023-01-07 17:39:15,3596.746,2.25,1.784065,0,48,33.15234
2023-01-07 17:39:14,3963.641,2.203125,1.696793,0,52,35.82422
2023-01-07 17:39:13,3705.594,2.15625,1.6704025,0,52,33.3125
2023-01-07 17:39:12,3153.035,1.875,1.518158,0,52,32.17188
2023-01-07 17:39:11,1810.293,1.703125,1.4245453,0,40,32.17188
2023-01-07 17:39:10,520.0664,1.328125,1.2202225,0,30,32.17188
2023-01-07 17:39:09,0.2109375,0.015625,0.4412537,0,0,44.12891
2023-01-07 17:39:08,0.1953125,0.015625,0.4412537,0,0,44.12891
2023-01-07 17:39:07,0.1953125,0.015625,0.4412537,0,0,44.12891
