time,some 10,some 60,some 300
2023-01-07 17:39:32,0.06,1.51,1.18
2023-01-07 17:39:31,0.08,1.56,1.19
2023-01-07 17:39:30,0.08,1.56,1.19
2023-01-07 17:39:29,0.09,1.62,1.2
2023-01-07 17:39:28,0.09,1.62,1.2
2023-01-07 17:39:27,0.12,1.67,1.2
2023-01-07 17:39:26,0.12,1.67,1.2
2023-01-07 17:39:25,0.14,1.73,1.21
2023-01-07 17:39:24,0.14,1.73,1.21
2023-01-07 17:39:23,0.18,1.79,1.22
2023-01-07 17:39:22,0.18,1.79,1.22
2023-01-07 17:39:21,0.22,1.85,1.23
2023-01-07 17:39:20,0.22,1.85,1.23
2023-01-07 17:39:19,0.27,1.91,1.24
2023-01-07 17:39:18,0.27,1.91,1.24
2023-01-07 17:39:17,0.33,1.98,1.25
2023-01-07 17:39:16,0.33,1.98,1.25
2023-01-07 17:39:15,0.18,2,1.25
2023-01-07 17:39:14,0.18,2,1.25
2023-01-07 17:39:13,0.22,2.08,1.26
2023-01-07 17:39:12,0.22,2.08,1.26
2023-01-07 17:39:11,0.27,2.15,1.27
2023-01-07 17:39:10,0.27,2.15,1.27
2023-01-07 17:39:09,0.33,2.22,1.28
2023-01-07 17:39:08,0.33,2.22,1.28
2023-01-07 17:39:07,0.41,2.29,1.29
2023-01-07 17:39:06,0.41,2.29,1.29
2023-01-07 17:39:05,0.5,2.38,1.3
2023-01-07 17:39:04,0.5,2.38,1.3
2023-01-07 17:39:03,0.61,2.46,1.3
2023-01-07 17:39:02,0.61,2.46,1.3
2023-01-07 17:39:01,0.53,2.5,1.31
2023-01-07 17:39:00,0.53,2.5,1.31
2023-01-07 17:38:59,0.42,2.56,1.31
2023-01-07 17:38:58,0.42,2.56,1.31
2023-01-07 17:38:57,0.52,2.65,1.32
2023-01-07 17:38:56,0.52,2.65,1.32
2023-01-07 17:38:55,0.63,2.74,1.33
2023-01-07 17:38:54,0.63,2.74,1.33
2023-01-07 17:38:53,0.55,2.79,1.33
2023-01-07 17:38:52,0.55,2.79,1.33
2023-01-07 17:38:51,0.68,2.89,1.34
2023-01-07 17:38:50,0.68,2.89,1.34
2023-01-07 17:38:49,0.61,2.95,1.34
2023-01-07 17:38:48,0.61,2.95,1.34
2023-01-07 17:38:47,0.74,3.05,1.35
2023-01-07 17:38:46,0.74,3.05,1.35
2023-01-07 17:38:45,0.91,3.16,1.36
2023-01-07 17:38:44,0.91,3.16,1.36
2023-01-07 17:38:43,1.11,3.26,1.37
2023-01-07 17:38:42,1.11,3.26,1.37
2023-01-07 17:38:41,1.36,3.38,1.38
2023-01-07 17:38:40,1.36,3.38,1.38
2023-01-07 17:38:39,1.66,3.49,1.39
2023-01-07 17:38:38,1.66,3.49,1.39
2023-01-07 17:38:37,2.02,3.61,1.4
2023-01-07 17:38:36,2.02,3.61,1.4
2023-01-07 17:38:35,2.48,3.73,1.41
2023-01-07 17:38:34,2.48,3.73,1.41
2023-01-07 17:38:33,3.03,3.86,1.42
2023-01-07 17:38:32,3.03,3.86,1.42
2023-01-07 17:38:31,3.7,3.99,1.43
2023-01-07 17:38:30,3.7,3.99,1.43
2023-01-07 17:38:29,3.85,4.01,1.42
2023-01-07 17:38:28,3.85,4.01,1.42
2023-01-07 17:38:27,3.6,3.99,1.39
2023-01-07 17:38:26,3.6,3.99,1.39
2023-01-07 17:38:25,4.18,4.09,1.4
2023-01-07 17:38:24,4.18,4.09,1.4
2023-01-07 17:38:23,5.09,4.23,1.41
2023-01-07 17:38:22,5.09,4.23,1.41
2023-01-07 17:38:21,6.23,4.37,1.42
2023-01-07 17:38:20,6.23,4.37,1.42
2023-01-07 17:38:19,7.61,4.51,1.43
2023-01-07 17:38:18,7.61,4.51,1.43
2023-01-07 17:38:17,6.2,4.2,1.34
2023-01-07 17:38:16,6.2,4.2,1.34
2023-01-07 17:38:15,5.81,4.07,1.29
2023-01-07 17:38:14,5.81,4.07,1.29
2023-01-07 17:38:13,5.76,4.01,1.26
2023-01-07 17:38:12,5.76,4.01,1.26
2023-01-07 17:38:11,6.16,4.01,1.24
2023-01-07 17:38:10,6.16,4.01,1.24
2023-01-07 17:38:09,3.31,3.5,1.12
2023-01-07 17:38:08,3.31,3.5,1.12
2023-01-07 17:38:07,2.06,3.31,1.06
2023-01-07 17:38:06,2.06,3.31,1.06
2023-01-07 17:38:05,2.06,3.36,1.06
2023-01-07 17:38:04,2.06,3.36,1.06
2023-01-07 17:38:03,2.52,3.47,1.07
2023-01-07 17:38:02,2.52,3.47,1.07
2023-01-07 17:38:01,2.87,3.56,1.07
2023-01-07 17:38:00,2.87,3.56,1.07
2023-01-07 17:37:59,3.51,3.68,1.07
2023-01-07 17:37:58,3.51,3.68,1.07
2023-01-07 17:37:57,4.29,3.8,1.08
2023-01-07 17:37:56,4.29,3.8,1.08
2023-01-07 17:37:55,5.24,3.93,1.09
2023-01-07 17:37:54,5.24,3.93,1.09
2023-01-07 17:37:53,6.4,4.05,1.1
2023-01-07 17:37:52,6.4,4.05,1.1
2023-01-07 17:37:51,7.15,4.09,1.08
2023-01-07 17:37:50,7.15,4.09,1.08
2023-01-07 17:37:49,8.73,4.24,1.09
2023-01-07 17:37:48,8.73,4.24,1.09
2023-01-07 17:37:47,10.67,4.38,1.1
2023-01-07 17:37:46,10.67,4.38,1.1
2023-01-07 17:37:45,13.03,4.53,1.11
2023-01-07 17:37:44,13.03,4.53,1.11
2023-01-07 17:37:43,15.47,4.62,1.1
2023-01-07 17:37:42,15.47,4.62,1.1
2023-01-07 17:37:41,13.8,4,0.95
2023-01-07 17:37:40,13.8,4,0.95
2023-01-07 17:37:39,16.41,4.07,0.94
2023-01-07 17:37:38,16.41,4.07,0.94
2023-01-07 17:37:37,16.51,3.66,0.84
2023-01-07 17:37:36,16.51,3.66,0.84
2023-01-07 17:37:35,15.74,3.11,0.71
2023-01-07 17:37:34,15.74,3.11,0.71
2023-01-07 17:37:33,9.93,1.79,0.42
2023-01-07 17:37:32,9.93,1.79,0.42
2023-01-07 17:37:31,0.18,0.03,0.05
2023-01-07 17:37:30,0.18,0.03,0.05
2023-01-07 17:37:29,0,0,0.05
2023-01-07 17:37:28,0,0,0.05
2023-01-07 17:37:27,0,0,0.05
2023-01-07 17:37:26,0,0,0.05
2023-01-07 17:37:25,0,0,0.05
2023-01-07 17:37:24,0,0,0.05
2023-01-07 17:37:23,0,0,0.05
2023-01-07 17:37:22,0,0,0.05
2023-01-07 17:37:21,0,0,0.05
2023-01-07 17:37:20,0,0,0.05
2023-01-07 17:37:19,0,0,0.05
2023-01-07 17:37:18,0,0,0.05
2023-01-07 17:37:17,0,0,0.05
2023-01-07 17:37:16,0,0,0.05
2023-01-07 17:37:15,0,0,0.05
2023-01-07 17:37:14,0,0,0.05
2023-01-07 17:37:13,0,0,0.05
2023-01-07 17:37:12,0,0,0.05
2023-01-07 17:37:11,0,0,0.05
2023-01-07 17:37:10,0,0,0.05
2023-01-07 17:37:09,0,0,0.05
2023-01-07 17:37:08,0,0,0.05
2023-01-07 17:37:07,0,0,0.05
2023-01-07 17:37:06,0,0,0.05
2023-01-07 17:37:05,0,0,0.05
2023-01-07 17:37:04,0,0,0.05
2023-01-07 17:37:03,0,0,0.05
2023-01-07 17:37:02,0,0,0.05
2023-01-07 17:37:01,0,0,0.05
2023-01-07 17:37:00,0,0,0.05
2023-01-07 17:36:59,0,0,0.05
2023-01-07 17:36:58,0,0,0.05
2023-01-07 17:36:57,0,0,0.05
2023-01-07 17:36:56,0,0,0.05
2023-01-07 17:36:55,0,0,0.05
2023-01-07 17:36:54,0,0,0.05
2023-01-07 17:36:53,0,0,0.05
2023-01-07 17:36:52,0,0,0.05
2023-01-07 17:36:51,0,0,0.06
2023-01-07 17:36:50,0,0,0.06
2023-01-07 17:36:49,0,0,0.06
2023-01-07 17:36:48,0,0,0.06
2023-01-07 17:36:47,0,0,0.06
2023-01-07 17:36:46,0,0,0.06
2023-01-07 17:36:45,0,0,0.06
2023-01-07 17:36:44,0,0,0.06
2023-01-07 17:36:43,0,0,0.06
2023-01-07 17:36:42,0,0,0.06
2023-01-07 17:36:41,0,0,0.06
2023-01-07 17:36:40,0,0,0.06
2023-01-07 17:36:39,0,0,0.06
2023-01-07 17:36:38,0,0,0.06
2023-01-07 17:36:37,0,0,0.06
2023-01-07 17:36:36,0,0,0.06
2023-01-07 17:36:35,0,0,0.06
2023-01-07 17:36:34,0,0,0.06
2023-01-07 17:36:33,0,0,0.06
