time,utilization
2023-01-07 17:39:32,0
2023-01-07 17:39:31,0
2023-01-07 17:39:30,0
2023-01-07 17:39:29,0
2023-01-07 17:39:28,0
2023-01-07 17:39:27,0
2023-01-07 17:39:26,0
2023-01-07 17:39:25,54
2023-01-07 17:39:24,54
2023-01-07 17:39:23,54
2023-01-07 17:39:22,54
2023-01-07 17:39:21,54
2023-01-07 17:39:20,49
2023-01-07 17:39:19,46
2023-01-07 17:39:18,54
2023-01-07 17:39:17,53
2023-01-07 17:39:16,45
2023-01-07 17:39:15,45
2023-01-07 17:39:14,50
2023-01-07 17:39:13,47
2023-01-07 17:39:12,40
2023-01-07 17:39:11,23
2023-01-07 17:39:10,7
2023-01-07 17:39:09,0
2023-01-07 17:39:08,0
2023-01-07 17:39:07,0
2023-01-07 17:39:06,0
2023-01-07 17:39:05,0
2023-01-07 17:39:04,40
2023-01-07 17:39:03,54
2023-01-07 17:39:02,54
2023-01-07 17:39:01,54
2023-01-07 17:39:00,54
2023-01-07 17:38:59,54
2023-01-07 17:38:58,52
2023-01-07 17:38:57,50
2023-01-07 17:38:56,52
2023-01-07 17:38:55,54
2023-01-07 17:38:54,50
2023-01-07 17:38:53,44
2023-01-07 17:38:52,54
2023-01-07 17:38:51,51
2023-01-07 17:38:50,48
2023-01-07 17:38:49,34
2023-01-07 17:38:48,19
2023-01-07 17:38:47,0
2023-01-07 17:38:46,0
2023-01-07 17:38:45,0
2023-01-07 17:38:44,0
2023-01-07 17:38:43,0
2023-01-07 17:38:42,0
2023-01-07 17:38:41,0
2023-01-07 17:38:40,0
2023-01-07 17:38:39,0
2023-01-07 17:38:38,42
2023-01-07 17:38:37,54
2023-01-07 17:38:36,54
2023-01-07 17:38:35,54
2023-01-07 17:38:34,54
2023-01-07 17:38:33,54
2023-01-07 17:38:32,52
2023-01-07 17:38:31,51
2023-01-07 17:38:30,54
2023-01-07 17:38:29,53
2023-01-07 17:38:28,49
2023-01-07 17:38:27,41
2023-01-07 17:38:26,51
2023-01-07 17:38:25,50
2023-01-07 17:38:24,46
2023-01-07 17:38:23,35
2023-01-07 17:38:22,20
2023-01-07 17:38:21,2
2023-01-07 17:38:20,0
2023-01-07 17:38:19,0
2023-01-07 17:38:18,53
2023-01-07 17:38:17,54
2023-01-07 17:38:16,53
2023-01-07 17:38:15,54
2023-01-07 17:38:14,53
2023-01-07 17:38:13,53
2023-01-07 17:38:12,52
2023-01-07 17:38:11,53
2023-01-07 17:38:10,54
2023-01-07 17:38:09,54
2023-01-07 17:38:08,51
2023-01-07 17:38:07,52
2023-01-07 17:38:06,53
2023-01-07 17:38:05,54
2023-01-07 17:38:04,54
2023-01-07 17:38:03,52
2023-01-07 17:38:02,50
2023-01-07 17:38:01,41
2023-01-07 17:38:00,26
2023-01-07 17:37:59,9
2023-01-07 17:37:58,0
2023-01-07 17:37:57,0
2023-01-07 17:37:56,0
2023-01-07 17:37:55,0
2023-01-07 17:37:54,54
2023-01-07 17:37:53,54
2023-01-07 17:37:52,54
2023-01-07 17:37:51,54
2023-01-07 17:37:50,54
2023-01-07 17:37:49,54
2023-01-07 17:37:48,54
2023-01-07 17:37:47,54
2023-01-07 17:37:46,52
2023-01-07 17:37:45,51
2023-01-07 17:37:44,54
2023-01-07 17:37:43,54
2023-01-07 17:37:42,52
2023-01-07 17:37:41,52
2023-01-07 17:37:40,50
2023-01-07 17:37:39,48
2023-01-07 17:37:38,47
2023-01-07 17:37:37,45
2023-01-07 17:37:36,44
2023-01-07 17:37:35,41
2023-01-07 17:37:34,41
2023-01-07 17:37:33,40
2023-01-07 17:37:32,37
2023-01-07 17:37:31,36
2023-01-07 17:37:30,32
2023-01-07 17:37:29,14
2023-01-07 17:37:28,0
2023-01-07 17:37:27,0
2023-01-07 17:37:26,0
2023-01-07 17:37:25,0
2023-01-07 17:37:24,0
2023-01-07 17:37:23,0
2023-01-07 17:37:22,0
2023-01-07 17:37:21,0
2023-01-07 17:37:20,0
2023-01-07 17:37:19,0
2023-01-07 17:37:18,0
2023-01-07 17:37:17,0
2023-01-07 17:37:16,0
2023-01-07 17:37:15,0
2023-01-07 17:37:14,0
2023-01-07 17:37:13,0
2023-01-07 17:37:12,0
2023-01-07 17:37:11,0
2023-01-07 17:37:10,0
2023-01-07 17:37:09,0
2023-01-07 17:37:08,0
2023-01-07 17:37:07,0
2023-01-07 17:37:06,0
2023-01-07 17:37:05,0
2023-01-07 17:37:04,0
2023-01-07 17:37:03,0
2023-01-07 17:37:02,0
2023-01-07 17:37:01,0
2023-01-07 17:37:00,0
2023-01-07 17:36:59,0
2023-01-07 17:36:58,0
2023-01-07 17:36:57,0
2023-01-07 17:36:56,0
2023-01-07 17:36:55,0
2023-01-07 17:36:54,0
2023-01-07 17:36:53,0
2023-01-07 17:36:52,0
2023-01-07 17:36:51,0
2023-01-07 17:36:50,0
2023-01-07 17:36:49,0
2023-01-07 17:36:48,0
2023-01-07 17:36:47,0
2023-01-07 17:36:46,0
2023-01-07 17:36:45,0
2023-01-07 17:36:44,0
2023-01-07 17:36:43,0
2023-01-07 17:36:42,0
2023-01-07 17:36:41,0
2023-01-07 17:36:40,0
2023-01-07 17:36:39,0
2023-01-07 17:36:38,0
2023-01-07 17:36:37,0
2023-01-07 17:36:36,0
2023-01-07 17:36:35,0
2023-01-07 17:36:34,0
2023-01-07 17:36:33,0
