time,read,write
2023-01-07 17:39:32,0,0
2023-01-07 17:39:31,0,0
2023-01-07 17:39:30,0,0
2023-01-07 17:39:29,0,0
2023-01-07 17:39:28,0,0
2023-01-07 17:39:27,33.63971,-0.542576
2023-01-07 17:39:26,90.36029,-1.457424
2023-01-07 17:39:25,14.371854,0
2023-01-07 17:39:24,68.33493,0
2023-01-07 17:39:23,79.29322,0
2023-01-07 17:39:22,0,-0.2713005
2023-01-07 17:39:21,47.47787,-0.7286995
2023-01-07 17:39:20,127.52213,0
2023-01-07 17:39:19,8.722696,0
2023-01-07 17:39:18,32.27414,0
2023-01-07 17:39:17,34.58692,0
2023-01-07 17:39:16,28.41624,-0.2716591
2023-01-07 17:39:15,18.16296,-0.7283409
2023-01-07 17:39:14,53.99156,0
2023-01-07 17:39:13,13.845477,0
2023-01-07 17:39:12,0,0
2023-01-07 17:39:11,21.31977,0
2023-01-07 17:39:10,56.68023,0
2023-01-07 17:39:09,0,0
2023-01-07 17:39:08,0,0
2023-01-07 17:39:07,0,0
2023-01-07 17:39:06,5.696369,-0.2712557
2023-01-07 17:39:05,19.64468,-0.7287443
2023-01-07 17:39:04,15.209933,-0.2731529
2023-01-07 17:39:03,36.54929,-0.7268471
2023-01-07 17:39:02,70.89972,0
2023-01-07 17:39:01,3.812246,0
2023-01-07 17:39:00,10.187754,0
2023-01-07 17:38:59,0,-0.2840122
2023-01-07 17:38:58,0,-0.7159878
2023-01-07 17:38:57,0,0
2023-01-07 17:38:56,0,0
2023-01-07 17:38:55,0,0
2023-01-07 17:38:54,1.0857776,-0.2714444
2023-01-07 17:38:53,18.42819,-0.7285556
2023-01-07 17:38:52,41.48603,0
2023-01-07 17:38:51,4.892044,0
2023-01-07 17:38:50,89.5795,0
2023-01-07 17:38:49,246.2435,0
2023-01-07 17:38:48,133.20109,0
2023-01-07 17:38:47,64.08386,0
2023-01-07 17:38:46,0,0
2023-01-07 17:38:45,0,0
2023-01-07 17:38:44,0,0
2023-01-07 17:38:43,0,0
2023-01-07 17:38:42,0,0
2023-01-07 17:38:41,0,0
2023-01-07 17:38:40,0,-0.2988398
2023-01-07 17:38:39,5.995579,-0.7011602
2023-01-07 17:38:38,12.004421,-0.2712916
2023-01-07 17:38:37,36.06683,-0.7287084
2023-01-07 17:38:36,96.93317,0
2023-01-07 17:38:35,0,0
2023-01-07 17:38:34,0,0
2023-01-07 17:38:33,27.66093,-0.2711856
2023-01-07 17:38:32,74.33907,-0.7288144
2023-01-07 17:38:31,0,0
2023-01-07 17:38:30,6.090848,0
2023-01-07 17:38:29,30.87192,0
2023-01-07 17:38:28,40.03723,-0.2734933
2023-01-07 17:38:27,62.47559,-0.7265067
2023-01-07 17:38:26,172.2016,0
2023-01-07 17:38:25,28.47762,0
2023-01-07 17:38:24,13.845143,0
2023-01-07 17:38:23,0,0
2023-01-07 17:38:22,30.91223,0
2023-01-07 17:38:21,83.08777,0
2023-01-07 17:38:20,42.97636,-0.2754895
2023-01-07 17:38:19,182.4593,-0.7245105
2023-01-07 17:38:18,184.449,0
2023-01-07 17:38:17,36.11533,0
2023-01-07 17:38:16,191.2009,-0.454159
2023-01-07 17:38:15,229.7991,-0.545841
2023-01-07 17:38:14,0,0
2023-01-07 17:38:13,0,0
2023-01-07 17:38:12,0,0
2023-01-07 17:38:11,0,-0.3383964
2023-01-07 17:38:10,0,-0.6616036
2023-01-07 17:38:09,0,0
2023-01-07 17:38:08,40.08712,0
2023-01-07 17:38:07,197.2901,0
2023-01-07 17:38:06,231.6228,-0.2722344
2023-01-07 17:38:05,8.676123,-0.7277656
2023-01-07 17:38:04,23.32388,0
2023-01-07 17:38:03,15.519671,0
2023-01-07 17:38:02,141.64894,0
2023-01-07 17:38:01,327.1653,-0.2713205
2023-01-07 17:38:00,187.5968,-0.7286795
2023-01-07 17:37:59,83.06929,0
2023-01-07 17:37:58,0,0
2023-01-07 17:37:57,0,0
2023-01-07 17:37:56,27.91771,-0.5420914
2023-01-07 17:37:55,76.71055,-1.4579086
2023-01-07 17:37:54,4.371739,0
2023-01-07 17:37:53,107.6939,0
2023-01-07 17:37:52,289.3061,0
2023-01-07 17:37:51,0,0
2023-01-07 17:37:50,0,-0.272429
2023-01-07 17:37:49,0,-0.727571
2023-01-07 17:37:48,0,0
2023-01-07 17:37:47,0,0
2023-01-07 17:37:46,6.523036,0
2023-01-07 17:37:45,17.47696,-0.2723091
2023-01-07 17:37:44,0,-0.7276909
2023-01-07 17:37:43,0,0
2023-01-07 17:37:42,98.54398,0
2023-01-07 17:37:41,266.5896,0
2023-01-07 17:37:40,21.43943,-0.2711033
2023-01-07 17:37:39,28.42697,-0.7288967
2023-01-07 17:37:38,20.97301,0
2023-01-07 17:37:37,73.24029,0
2023-01-07 17:37:36,86.19264,0
2023-01-07 17:37:35,126.77136,-0.2832748
2023-01-07 17:37:34,87.9717,-0.7167252
2023-01-07 17:37:33,33.39441,0
2023-01-07 17:37:32,1.4565783,0
2023-01-07 17:37:31,0,0
2023-01-07 17:37:30,96.30984,0
2023-01-07 17:37:29,258.6902,0
2023-01-07 17:37:28,0,0
2023-01-07 17:37:27,0,0
2023-01-07 17:37:26,0,0
2023-01-07 17:37:25,0,0
2023-01-07 17:37:24,0,0
2023-01-07 17:37:23,0,0
2023-01-07 17:37:22,0,0
2023-01-07 17:37:21,0,0
2023-01-07 17:37:20,0,0
2023-01-07 17:37:19,0,0
2023-01-07 17:37:18,0,0
2023-01-07 17:37:17,0,0
2023-01-07 17:37:16,0,0
2023-01-07 17:37:15,0,0
2023-01-07 17:37:14,0,0
2023-01-07 17:37:13,0,0
2023-01-07 17:37:12,0,0
2023-01-07 17:37:11,0,0
2023-01-07 17:37:10,0,0
2023-01-07 17:37:09,0,0
2023-01-07 17:37:08,0,0
2023-01-07 17:37:07,0,0
2023-01-07 17:37:06,0,0
2023-01-07 17:37:05,4.066154,0
2023-01-07 17:37:04,10.933846,0
2023-01-07 17:37:03,0,0
2023-01-07 17:37:02,0,0
2023-01-07 17:37:01,0,0
2023-01-07 17:37:00,0,0
2023-01-07 17:36:59,0,0
2023-01-07 17:36:58,0,0
2023-01-07 17:36:57,0,0
2023-01-07 17:36:56,0,0
2023-01-07 17:36:55,0,0
2023-01-07 17:36:54,0,0
2023-01-07 17:36:53,0,0
2023-01-07 17:36:52,0,0
2023-01-07 17:36:51,0,0
2023-01-07 17:36:50,0,0
2023-01-07 17:36:49,0,0
2023-01-07 17:36:48,0,0
2023-01-07 17:36:47,0,0
2023-01-07 17:36:46,0,0
2023-01-07 17:36:45,0,0
2023-01-07 17:36:44,0,0
2023-01-07 17:36:43,0,0
2023-01-07 17:36:42,0,0
2023-01-07 17:36:41,0,0
2023-01-07 17:36:40,0,0
2023-01-07 17:36:39,0,0
2023-01-07 17:36:38,0,0
2023-01-07 17:36:37,0,0
2023-01-07 17:36:36,0,0
2023-01-07 17:36:35,0,0
2023-01-07 17:36:34,0,0
