time,some 10,some 60,some 300
2023-01-07 17:32:58,5.16,9.17,5.14
2023-01-07 17:32:57,6.3,9.48,5.17
2023-01-07 17:32:56,6.3,9.48,5.17
2023-01-07 17:32:55,7.7,9.8,5.21
2023-01-07 17:32:54,7.7,9.8,5.21
2023-01-07 17:32:53,9.4,10.13,5.24
2023-01-07 17:32:52,9.4,10.13,5.24
2023-01-07 17:32:51,11.49,10.48,5.28
2023-01-07 17:32:50,11.49,10.48,5.28
2023-01-07 17:32:49,14.03,10.83,5.32
2023-01-07 17:32:48,14.03,10.83,5.32
2023-01-07 17:32:47,17.13,11.2,5.35
2023-01-07 17:32:46,17.13,11.2,5.35
2023-01-07 17:32:45,20.93,11.58,5.39
2023-01-07 17:32:44,20.93,11.58,5.39
2023-01-07 17:32:43,18.92,10.95,5.22
2023-01-07 17:32:42,18.92,10.95,5.22
2023-01-07 17:32:41,18.46,10.61,5.11
2023-01-07 17:32:40,18.46,10.61,5.11
2023-01-07 17:32:39,22.54,10.97,5.15
2023-01-07 17:32:38,22.54,10.97,5.15
2023-01-07 17:32:37,21.78,10.47,5
2023-01-07 17:32:36,21.78,10.47,5
2023-01-07 17:32:35,20.39,9.86,4.84
2023-01-07 17:32:34,20.39,9.86,4.84
2023-01-07 17:32:33,24.92,10.21,4.88
2023-01-07 17:32:32,24.92,10.21,4.88
2023-01-07 17:32:31,20.26,9,4.59
2023-01-07 17:32:30,20.26,9,4.59
2023-01-07 17:32:29,24.3,9.23,4.61
2023-01-07 17:32:28,24.3,9.23,4.61
2023-01-07 17:32:27,18.61,7.85,4.3
2023-01-07 17:32:26,18.61,7.85,4.3
2023-01-07 17:32:25,21.18,7.88,4.28
2023-01-07 17:32:24,21.18,7.88,4.28
2023-01-07 17:32:23,21.22,7.44,4.17
2023-01-07 17:32:22,21.22,7.44,4.17
2023-01-07 17:32:21,15.3,6.07,3.87
2023-01-07 17:32:20,15.3,6.07,3.87
2023-01-07 17:32:19,18.47,6.24,3.89
2023-01-07 17:32:18,18.47,6.24,3.89
2023-01-07 17:32:17,15.91,5.44,3.7
2023-01-07 17:32:16,15.91,5.44,3.7
2023-01-07 17:32:15,14.79,4.91,3.59
2023-01-07 17:32:14,14.79,4.91,3.59
2023-01-07 17:32:13,16.96,4.91,3.58
2023-01-07 17:32:12,16.96,4.91,3.58
2023-01-07 17:32:11,13.41,3.96,3.37
2023-01-07 17:32:10,13.41,3.96,3.37
2023-01-07 17:32:09,15.94,4.01,3.38
2023-01-07 17:32:08,15.94,4.01,3.38
2023-01-07 17:32:07,10.61,2.81,3.13
2023-01-07 17:32:06,10.61,2.81,3.13
2023-01-07 17:32:05,12.96,2.9,3.15
2023-01-07 17:32:04,12.96,2.9,3.15
2023-01-07 17:32:03,7.42,1.71,2.91
2023-01-07 17:32:02,7.42,1.71,2.91
2023-01-07 17:32:01,7.74,1.57,2.89
2023-01-07 17:32:00,7.74,1.57,2.89
2023-01-07 17:31:59,5.25,0.98,2.78
2023-01-07 17:31:58,5.25,0.98,2.78
2023-01-07 17:31:57,0,0.03,2.6
2023-01-07 17:31:56,0,0.03,2.6
2023-01-07 17:31:55,0,0.03,2.62
2023-01-07 17:31:54,0,0.03,2.62
2023-01-07 17:31:53,0,0.03,2.64
2023-01-07 17:31:52,0,0.03,2.64
2023-01-07 17:31:51,0,0.04,2.65
2023-01-07 17:31:50,0,0.04,2.65
2023-01-07 17:31:49,0,0.04,2.67
2023-01-07 17:31:48,0,0.04,2.67
2023-01-07 17:31:47,0,0.04,2.69
2023-01-07 17:31:46,0,0.04,2.69
2023-01-07 17:31:45,0,0.04,2.71
2023-01-07 17:31:44,0,0.04,2.71
2023-01-07 17:31:43,0,0.04,2.73
2023-01-07 17:31:42,0,0.04,2.73
2023-01-07 17:31:41,0,0.04,2.75
2023-01-07 17:31:40,0,0.04,2.75
2023-01-07 17:31:39,0,0.05,2.77
2023-01-07 17:31:38,0,0.05,2.77
2023-01-07 17:31:37,0,0.05,2.79
2023-01-07 17:31:36,0,0.05,2.79
2023-01-07 17:31:35,0,0.05,2.81
2023-01-07 17:31:34,0,0.05,2.81
2023-01-07 17:31:33,0,0.05,2.83
2023-01-07 17:31:32,0,0.05,2.83
2023-01-07 17:31:31,0,0.05,2.85
2023-01-07 17:31:30,0,0.05,2.85
2023-01-07 17:31:29,0,0.06,2.87
2023-01-07 17:31:28,0,0.06,2.87
2023-01-07 17:31:27,0,0.06,2.89
2023-01-07 17:31:26,0,0.06,2.89
2023-01-07 17:31:25,0,0.06,2.91
2023-01-07 17:31:24,0,0.06,2.91
2023-01-07 17:31:23,0,0.06,2.93
2023-01-07 17:31:22,0,0.06,2.93
2023-01-07 17:31:21,0,0.07,2.95
2023-01-07 17:31:20,0,0.07,2.95
2023-01-07 17:31:19,0,0.07,2.97
2023-01-07 17:31:18,0,0.07,2.97
2023-01-07 17:31:17,0,0.07,2.99
2023-01-07 17:31:16,0,0.07,2.99
2023-01-07 17:31:15,0,0.08,3.01
2023-01-07 17:31:14,0,0.08,3.01
2023-01-07 17:31:13,0,0.08,3.03
2023-01-07 17:31:12,0,0.08,3.03
2023-01-07 17:31:11,0,0.08,3.05
2023-01-07 17:31:10,0,0.08,3.05
2023-01-07 17:31:09,0,0.08,3.07
2023-01-07 17:31:08,0,0.08,3.07
2023-01-07 17:31:07,0,0.09,3.09
2023-01-07 17:31:06,0,0.09,3.09
2023-01-07 17:31:05,0,0.09,3.11
2023-01-07 17:31:04,0,0.09,3.11
2023-01-07 17:31:03,0,0.1,3.14
2023-01-07 17:31:02,0,0.1,3.14
2023-01-07 17:31:01,0,0.1,3.16
2023-01-07 17:31:00,0,0.1,3.16
2023-01-07 17:30:59,0,0.1,3.18
2023-01-07 17:30:58,0,0.1,3.18
2023-01-07 17:30:57,0,0.11,3.2
2023-01-07 17:30:56,0,0.11,3.2
2023-01-07 17:30:55,0,0.11,3.22
2023-01-07 17:30:54,0,0.11,3.22
2023-01-07 17:30:53,0,0.11,3.25
2023-01-07 17:30:52,0,0.11,3.25
2023-01-07 17:30:51,0,0.12,3.27
2023-01-07 17:30:50,0,0.12,3.27
2023-01-07 17:30:49,0,0.12,3.29
2023-01-07 17:30:48,0,0.12,3.29
2023-01-07 17:30:47,0,0.13,3.32
2023-01-07 17:30:46,0,0.13,3.32
2023-01-07 17:30:45,0,0.13,3.34
2023-01-07 17:30:44,0,0.13,3.34
2023-01-07 17:30:43,0,0.14,3.36
2023-01-07 17:30:42,0,0.14,3.36
2023-01-07 17:30:41,0,0.14,3.39
2023-01-07 17:30:40,0,0.14,3.39
2023-01-07 17:30:39,0,0.15,3.41
2023-01-07 17:30:38,0,0.15,3.41
2023-01-07 17:30:37,0,0.15,3.43
2023-01-07 17:30:36,0,0.15,3.43
2023-01-07 17:30:35,0,0.16,3.46
2023-01-07 17:30:34,0,0.16,3.46
2023-01-07 17:30:33,0,0.16,3.48
2023-01-07 17:30:32,0,0.16,3.48
2023-01-07 17:30:31,0,0.17,3.5
2023-01-07 17:30:30,0,0.17,3.5
2023-01-07 17:30:29,0,0.18,3.53
2023-01-07 17:30:28,0,0.18,3.53
2023-01-07 17:30:27,0,0.18,3.55
2023-01-07 17:30:26,0,0.18,3.55
2023-01-07 17:30:25,0,0.19,3.58
2023-01-07 17:30:24,0,0.19,3.58
2023-01-07 17:30:23,0,0.2,3.6
2023-01-07 17:30:22,0,0.2,3.6
2023-01-07 17:30:21,0,0.2,3.63
2023-01-07 17:30:20,0,0.2,3.63
2023-01-07 17:30:19,0,0.21,3.65
2023-01-07 17:30:18,0,0.21,3.65
2023-01-07 17:30:17,0,0.22,3.68
2023-01-07 17:30:16,0,0.22,3.68
2023-01-07 17:30:15,0,0.23,3.7
2023-01-07 17:30:14,0,0.23,3.7
2023-01-07 17:30:13,0,0.23,3.73
2023-01-07 17:30:12,0,0.23,3.73
2023-01-07 17:30:11,0,0.24,3.76
2023-01-07 17:30:10,0,0.24,3.76
2023-01-07 17:30:09,0,0.25,3.78
2023-01-07 17:30:08,0,0.25,3.78
2023-01-07 17:30:07,0,0.26,3.81
2023-01-07 17:30:06,0,0.26,3.81
2023-01-07 17:30:05,0,0.27,3.84
2023-01-07 17:30:04,0,0.27,3.84
2023-01-07 17:30:03,0,0.28,3.86
2023-01-07 17:30:02,0,0.28,3.86
2023-01-07 17:30:01,0,0.28,3.89
2023-01-07 17:30:00,0,0.28,3.89
2023-01-07 17:29:59,0,0.3,3.92
