time,read,write
2023-01-07 17:32:58,0,0
2023-01-07 17:32:57,0,0
2023-01-07 17:32:56,0,0
2023-01-07 17:32:55,0,0
2023-01-07 17:32:54,0,0
2023-01-07 17:32:53,0,0
2023-01-07 17:32:52,0,0
2023-01-07 17:32:51,0,0
2023-01-07 17:32:50,0,0
2023-01-07 17:32:49,0,0
2023-01-07 17:32:48,0,0
2023-01-07 17:32:47,0,0
2023-01-07 17:32:46,0,0
2023-01-07 17:32:45,0,-0.2709582
2023-01-07 17:32:44,1.0850872,-0.7290418
2023-01-07 17:32:43,2.914913,-0.2716309
2023-01-07 17:32:42,25.26568,-0.7283691
2023-01-07 17:32:41,67.73432,0
2023-01-07 17:32:40,0,0
2023-01-07 17:32:39,6.232093,-0.2709606
2023-01-07 17:32:38,177.3049,-1.0002167
2023-01-07 17:32:37,431.4631,-0.7288227
2023-01-07 17:32:36,1.0861427,0
2023-01-07 17:32:35,14.569363,0
2023-01-07 17:32:34,31.34449,0
2023-01-07 17:32:33,0.5420986,-0.2710493
2023-01-07 17:32:32,2.000344,-1.0001719
2023-01-07 17:32:31,1.4575576,-0.7287788
2023-01-07 17:32:30,0,0
2023-01-07 17:32:29,0,-0.2713337
2023-01-07 17:32:28,0,-0.7286663
2023-01-07 17:32:27,14.109559,0
2023-01-07 17:32:26,37.89044,0
2023-01-07 17:32:25,0,0
2023-01-07 17:32:24,1.0846249,-0.2711562
2023-01-07 17:32:23,2.915375,-0.7288438
2023-01-07 17:32:22,0,0
2023-01-07 17:32:21,43.74949,0
2023-01-07 17:32:20,117.25051,0
2023-01-07 17:32:19,0,0
2023-01-07 17:32:18,20.87618,-0.2711192
2023-01-07 17:32:17,56.12382,-0.7288808
2023-01-07 17:32:16,14.920307,0
2023-01-07 17:32:15,40.07969,0
2023-01-07 17:32:14,0.8162575,-0.2720858
2023-01-07 17:32:13,2.183743,-1.0023721
2023-01-07 17:32:12,34.04691,-0.7255421
2023-01-07 17:32:11,90.95309,0
2023-01-07 17:32:10,0,-0.2710281
2023-01-07 17:32:09,17.90757,-0.7289719
2023-01-07 17:32:08,48.09243,-0.2716411
2023-01-07 17:32:07,22.24395,-0.7283589
2023-01-07 17:32:06,59.75605,0
2023-01-07 17:32:05,0,-0.2710116
2023-01-07 17:32:04,3.800955,-0.7289884
2023-01-07 17:32:03,24.33509,-0.2718471
2023-01-07 17:32:02,37.86395,-0.7281529
2023-01-07 17:32:01,0,0
2023-01-07 17:32:00,0.8134248,-0.2711416
2023-01-07 17:31:59,2.186575,-0.7288584
2023-01-07 17:31:58,128.78262,0
2023-01-07 17:31:57,346.2174,0
2023-01-07 17:31:56,0,0
2023-01-07 17:31:55,0,0
2023-01-07 17:31:54,5.964775,0
2023-01-07 17:31:53,16.035225,0
2023-01-07 17:31:52,0,0
2023-01-07 17:31:51,0,0
2023-01-07 17:31:50,0,0
2023-01-07 17:31:49,0,0
2023-01-07 17:31:48,0,0
2023-01-07 17:31:47,0,0
2023-01-07 17:31:46,0,0
2023-01-07 17:31:45,0,0
2023-01-07 17:31:44,0,0
2023-01-07 17:31:43,0,0
2023-01-07 17:31:42,0,0
2023-01-07 17:31:41,0,0
2023-01-07 17:31:40,0,0
2023-01-07 17:31:39,0,0
2023-01-07 17:31:38,0,0
2023-01-07 17:31:37,0,0
2023-01-07 17:31:36,0,0
2023-01-07 17:31:35,0,0
2023-01-07 17:31:34,0,0
2023-01-07 17:31:33,0,0
2023-01-07 17:31:32,0,0
2023-01-07 17:31:31,0,0
2023-01-07 17:31:30,0,0
2023-01-07 17:31:29,0,0
2023-01-07 17:31:28,0,0
2023-01-07 17:31:27,0,0
2023-01-07 17:31:26,0,0
2023-01-07 17:31:25,0,0
2023-01-07 17:31:24,0,0
2023-01-07 17:31:23,0,0
2023-01-07 17:31:22,0,0
2023-01-07 17:31:21,0,0
2023-01-07 17:31:20,0,0
2023-01-07 17:31:19,0,0
2023-01-07 17:31:18,0,0
2023-01-07 17:31:17,0,0
2023-01-07 17:31:16,0,0
2023-01-07 17:31:15,0,0
2023-01-07 17:31:14,0,0
2023-01-07 17:31:13,0,0
2023-01-07 17:31:12,0,0
2023-01-07 17:31:11,0,0
2023-01-07 17:31:10,0,0
2023-01-07 17:31:09,0,0
2023-01-07 17:31:08,0,0
2023-01-07 17:31:07,0,0
2023-01-07 17:31:06,0,0
2023-01-07 17:31:05,0,0
2023-01-07 17:31:04,0,0
2023-01-07 17:31:03,0,0
2023-01-07 17:31:02,0,0
2023-01-07 17:31:01,0,0
2023-01-07 17:31:00,0,0
2023-01-07 17:30:59,0,0
2023-01-07 17:30:58,0,0
2023-01-07 17:30:57,0,0
2023-01-07 17:30:56,0,0
2023-01-07 17:30:55,0,0
2023-01-07 17:30:54,0,0
2023-01-07 17:30:53,0,0
2023-01-07 17:30:52,0,0
2023-01-07 17:30:51,0,0
2023-01-07 17:30:50,0,0
2023-01-07 17:30:49,0,0
2023-01-07 17:30:48,0,0
2023-01-07 17:30:47,0,0
2023-01-07 17:30:46,0,0
2023-01-07 17:30:45,0,0
2023-01-07 17:30:44,0,0
2023-01-07 17:30:43,0,0
2023-01-07 17:30:42,0,0
2023-01-07 17:30:41,0,0
2023-01-07 17:30:40,0,0
2023-01-07 17:30:39,0,0
2023-01-07 17:30:38,0,0
2023-01-07 17:30:37,0,0
2023-01-07 17:30:36,0,0
2023-01-07 17:30:35,0,0
2023-01-07 17:30:34,0,0
2023-01-07 17:30:33,0,0
2023-01-07 17:30:32,0,0
2023-01-07 17:30:31,0,0
2023-01-07 17:30:30,0,0
2023-01-07 17:30:29,0,0
2023-01-07 17:30:28,0,0
2023-01-07 17:30:27,0,0
2023-01-07 17:30:26,0,0
2023-01-07 17:30:25,0,0
2023-01-07 17:30:24,0,0
2023-01-07 17:30:23,0,0
2023-01-07 17:30:22,0,0
2023-01-07 17:30:21,0,0
2023-01-07 17:30:20,0,0
2023-01-07 17:30:19,0,0
2023-01-07 17:30:18,0,0
2023-01-07 17:30:17,0,0
2023-01-07 17:30:16,0,0
2023-01-07 17:30:15,0,0
2023-01-07 17:30:14,0,0
2023-01-07 17:30:13,0,0
2023-01-07 17:30:12,0,0
2023-01-07 17:30:11,0,0
2023-01-07 17:30:10,0,0
2023-01-07 17:30:09,0,0
2023-01-07 17:30:08,0,0
2023-01-07 17:30:07,0,0
2023-01-07 17:30:06,0,0
2023-01-07 17:30:05,0,0
2023-01-07 17:30:04,0,0
2023-01-07 17:30:03,0,0
2023-01-07 17:30:02,0,0
2023-01-07 17:30:01,0,0
2023-01-07 17:30:00,0,0
2023-01-07 17:29:59,0,0
